depth,surface_diff,svd_threshold,expansion_order,runtime,min_rel_err,mean_rel_err,max_rel_err,rel_l2_err,n_iter,n_oversamples,setup_time,cutoff_rank,rsvd
5,2,0.0,8,15136,2.36339e-10,1.1860555e-09,2.6318686e-09,1.2588247e-09,0,10,9989,244,1
5,2,1e-07,8,13497,2.412571e-10,1.1790596e-09,2.6192374e-09,1.251773e-09,0,10,10008,244,1
5,2,1e-05,8,13206,1.0792628e-09,2.5598887e-09,4.2112699e-09,2.6146628e-09,0,10,10544,242,1
5,2,0.001,8,12374,2.22757e-11,6.0862848e-09,2.3498389e-08,7.9356137e-09,0,10,10707,127,1
5,2,0.1,8,11503,3.81636382e-08,2.3547737226e-06,4.0120484198e-06,2.6260249453e-06,0,10,10847,49,1
5,1,0.0,7,12865,2.35694e-11,7.8043815e-09,2.63442818e-08,1.00255095e-08,0,10,5828,148,1
5,1,1e-07,7,11864,1.57611e-11,7.7974878e-09,2.63295734e-08,1.00172228e-08,0,10,5817,148,1
5,1,1e-05,7,12226,4.38799e-11,6.4081038e-09,2.23392494e-08,8.1012187e-09,0,10,5968,148,1
5,1,0.001,7,11448,4.000352662e-07,5.59922527e-07,7.319363806e-07,5.623656846e-07,0,10,6517,116,1
5,1,0.1,7,10839,2.24565518e-08,4.2977134855e-06,2.02287580948e-05,5.3740724347e-06,0,10,6770,39,1
6,0,0.0,7,20390,1.537991426e-07,2.468159929e-07,3.443941891e-07,2.51237889e-07,0,5,12723,109,1
6,0,1e-07,7,16123,1.537763627e-07,2.467902247e-07,3.443623411e-07,2.512121941e-07,0,5,13407,109,1
6,0,1e-05,7,16125,1.494552761e-07,2.422064455e-07,3.389377908e-07,2.466616024e-07,0,5,13920,109,1
6,0,0.001,7,15374,3.649137909e-07,4.216122555e-07,4.978071187e-07,4.231897833e-07,0,5,13655,108,1
6,0,0.1,7,9259,4.81785104e-06,9.1469800411e-06,1.72283619473e-05,1.03373385344e-05,0,5,13810,39,1
5,0,0.0,6,11136,8.266886354e-07,1.4759473793e-06,2.3899077878e-06,1.5187143106e-06,0,20,4487,76,1
5,0,1e-07,6,10942,8.266476811e-07,1.4758725168e-06,2.3897742971e-06,1.5186358386e-06,0,20,4369,76,1
5,0,1e-05,6,10729,8.176618874e-07,1.464261646e-06,2.3734640612e-06,1.5069094484e-06,0,20,4356,76,1
5,0,0.001,6,10739,3.277315499e-07,8.809979493e-07,1.6355696427e-06,9.276815293e-07,0,20,4918,76,1
5,0,0.1,6,10448,4.03889647551e-05,4.96674167928e-05,5.27653604647e-05,4.97181222741e-05,0,20,5202,39,1
5,0,0.0,4,9799,6.58429399204e-05,0.0001100093894547,0.000171167537232,0.0001112151123075,0,20,3929,28,1
5,0,1e-07,4,9861,6.58429454695e-05,0.000110009433204,0.0001711675375876,0.00011121515654,0,20,3977,28,1
5,0,1e-05,4,9849,6.58508982151e-05,0.0001100153837162,0.0001711712487329,0.0001112211094238,0,20,3961,28,1
5,0,0.001,4,9819,6.50279516042e-05,0.0001091596581738,0.0001703679675051,0.0001103764925509,0,20,4036,28,1
5,0,0.1,4,9840,9.49609076943e-05,0.0002027895285734,0.0002317690741151,0.0002035791780167,0,20,4815,28,1
5,2,0.0,10,19433,2.508e-13,1.91372e-11,3.52464e-11,1.976e-11,0,5,22901,364,1
5,2,1e-07,10,15950,8.4794e-12,2.59748e-11,4.51208e-11,2.65787e-11,0,5,24427,364,1
5,2,1e-05,10,14517,1.5007144e-09,2.9679965e-09,5.028415e-09,3.0462786e-09,0,5,23619,268,1
5,2,0.001,10,13580,2.36366073e-08,3.81643735e-08,5.13964858e-08,3.89602311e-08,0,5,23020,136,1
5,2,0.1,10,12602,3.7008779e-09,1.4473326811e-06,4.3104018999e-06,1.669955839e-06,0,5,22343,50,1
5,2,0.0,7,13992,1.07721e-11,3.0908547e-09,1.0581354e-08,3.723618e-09,0,20,7479,193,1
5,2,1e-07,7,12611,1.86412e-11,3.091714e-09,1.05994018e-08,3.7246837e-09,0,20,7471,193,1
5,2,1e-05,7,12381,1.17618e-11,3.1776878e-09,1.46666451e-08,4.2265625e-09,0,20,7837,193,1
5,2,0.001,7,11681,3.399098546e-07,4.844788111e-07,6.473669032e-07,4.870942434e-07,0,20,8285,124,1
