
experiment_id, rank, runtime, p2m, m2m, l2l, m2l, p2p, source_tree, target_tree, source_domain, target_domain, layout, ghost_exchange_v, ghost_exchange_u, gather_global_fmm, scatter_global_fmm, source_to_target_data, source_data, target_data, global_fmm, ghost_fmm_v, ghost_fmm_u, expansion_order, n_points, local_depth, global_depth, block_size, n_threads, n_samples
"0_0_0_0", 17, 1796, 3, 0, 0, 51, 67, 2377, 2350, 5, 3, 1, 982, 18, 0, 685, 47, 0, 0, 0, 0, 0, 3, 250000, 4, 2, 1e-7, 4, 5000
"0_0_0_0", 24, 1797, 3, 0, 0, 52, 67, 2377, 2350, 5, 3, 1, 983, 18, 509, 175, 47, 0, 0, 0, 0, 0, 3, 250000, 4, 2, 1e-7, 4, 5000
"0_0_0_0", 3, 1484, 7, 0, 0, 56, 67, 2377, 2350, 5, 3, 1, 632, 18, 0, 715, 46, 0, 0, 0, 0, 0, 3, 250000, 4, 2, 1e-7, 4, 5000
"0_0_0_0", 21, 1785, 3, 0, 0, 55, 70, 2377, 2350, 6, 3, 1, 1052, 22, 0, 597, 46, 0, 0, 0, 0, 0, 3, 250000, 4, 2, 1e-7, 4, 5000
"0_0_0_0", 28, 1782, 3, 0, 0, 56, 73, 2377, 2350, 5, 3, 1, 1056, 22, 142, 444, 47, 0, 0, 0, 0, 0, 3, 250000, 4, 2, 1e-7, 4, 5000
"0_0_0_0", 0, 1610, 7, 0, 1, 89, 126, 2377, 2350, 4, 3, 0, 651, 18, 726, 0, 46, 0, 0, 0, 0, 0, 3, 250000, 4, 2, 1e-7, 4, 5000
"0_0_0_0", 9, 1614, 7, 0, 1, 89, 127, 2377, 2350, 5, 3, 1, 653, 17, 0, 728, 46, 0, 0, 0, 0, 0, 3, 250000, 4, 2, 1e-7, 4, 5000
"0_0_0_0", 13, 1618, 8, 0, 1, 91, 130, 2377, 2350, 5, 3, 1, 662, 18, 0, 718, 46, 0, 0, 0, 0, 0, 3, 250000, 4, 2, 1e-7, 4, 5000
"0_0_0_0", 8, 1590, 7, 0, 0, 95, 131, 2377, 2350, 6, 3, 1, 738, 23, 466, 143, 47, 1, 0, 0, 0, 0, 3, 250000, 4, 2, 1e-7, 4, 5000
"0_0_0_0", 5, 1592, 7, 0, 1, 95, 131, 2377, 2350, 6, 3, 1, 736, 24, 0, 614, 46, 0, 0, 0, 0, 0, 3, 250000, 4, 2, 1e-7, 4, 5000
