
experiment_id, rank, runtime, p2m, m2m, l2l, m2l, p2p, source_tree, target_tree, source_domain, target_domain, layout, ghost_exchange_v, ghost_exchange_u, gather_global_fmm, scatter_global_fmm, source_to_target_data, source_data, target_data, global_fmm, ghost_fmm_v, ghost_fmm_u, expansion_order, n_points, local_depth, global_depth, block_size, n_threads, n_samples
"0_0_0_0", 0, 1080, 7, 0, 0, 49, 61, 2411, 2382, 7, 3, 1, 183, 950, 14, 3, 0, 47, 0, 0, 0, 0, 0, 3, 250000, 4, 2, 1e-7, 4, 5000
"0_0_0_0", 24, 835, 7, 0, 0, 56, 67, 2411, 2382, 6, 3, 1, 371, 693, 23, 0, 4, 46, 0, 0, 0, 0, 0, 3, 250000, 4, 2, 1e-7, 4, 5000
"0_0_0_0", 7, 1020, 3, 0, 0, 56, 69, 2411, 2383, 5, 3, 1, 467, 882, 24, 0, 3, 46, 0, 0, 0, 0, 0, 3, 250000, 4, 2, 1e-7, 4, 5000
"0_0_0_0", 16, 569, 7, 0, 1, 91, 129, 2411, 2382, 7, 3, 1, 711, 331, 66, 0, 2, 46, 0, 0, 0, 0, 0, 3, 250000, 4, 2, 1e-7, 4, 5000
"0_0_0_0", 22, 716, 7, 0, 1, 87, 133, 2411, 2382, 7, 3, 1, 582, 476, 56, 0, 3, 46, 0, 0, 0, 0, 0, 3, 250000, 4, 2, 1e-7, 4, 5000
"0_0_0_0", 9, 607, 7, 0, 1, 93, 130, 2411, 2382, 5, 3, 1, 689, 363, 63, 0, 3, 46, 0, 0, 0, 0, 0, 3, 250000, 4, 2, 1e-7, 4, 5000
"0_0_0_0", 23, 587, 7, 0, 0, 94, 132, 2411, 2382, 6, 3, 1, 706, 342, 62, 0, 3, 46, 0, 0, 0, 0, 0, 3, 250000, 4, 2, 1e-7, 4, 5000
"0_0_0_0", 27, 769, 7, 0, 1, 98, 129, 2411, 2382, 6, 3, 1, 482, 523, 27, 0, 3, 46, 0, 0, 0, 0, 0, 3, 250000, 4, 2, 1e-7, 4, 5000
"0_0_0_0", 2, 380, 7, 0, 0, 95, 131, 2411, 2382, 6, 3, 1, 855, 136, 69, 0, 1, 46, 0, 0, 0, 0, 0, 3, 250000, 4, 2, 1e-7, 4, 5000
"0_0_0_0", 1, 632, 7, 0, 0, 93, 135, 2411, 2382, 7, 3, 1, 663, 387, 61, 0, 2, 47, 0, 0, 0, 0, 0, 3, 250000, 4, 2, 1e-7, 4, 5000
"0_0_0_0", 18, 383, 7, 0, 0, 96, 132, 2411, 2382, 6, 3, 1, 910, 137, 72, 0, 3, 46, 0, 0, 0, 0, 0, 3, 250000, 4, 2, 1e-7, 4, 5000
"0_0_0_0", 20, 798, 7, 0, 0, 96, 133, 2411, 2382, 6, 3, 1, 450, 549, 25, 0, 3, 46, 0, 0, 0, 0, 0, 3, 250000, 4, 2, 1e-7, 4, 5000
