
experiment_id,rank,runtime,p2m,m2m,l2l,m2l,p2p,source_tree,target_tree,source_domain,target_domain, layout,ghost_exchange_v,ghost_exchange_v_runtime,ghost_exchange_u,gather_global_fmm,scatter_global_fmm,source_to_target_data,source_data,target_data,global_fmm,ghost_fmm_v,ghost_fmm_u,expansion_order,n_points,local_depth,global_depth,block_size,n_threads,n_samples
"0_0_0_0",0,739,4,1,1,97,92, 3875,3876,8,7,0,242,530,25,4,0, 43,0,0,0,0,0,3,500000,4,2,1e-7,8,5000
"0_0_0_0",12,497,7,1,1,112,89, 3875,3876,8,7,0,310,274,33,0,5, 41,0,0,0,0,0,3,500000,4,2,1e-7,8,5000
"0_0_0_0",5,610,5,1,1,113,89, 3875,3876,9,7,0,350,390,34,0,4, 45,0,0,0,0,0,3,500000,4,2,1e-7,8,5000
"0_0_0_0",13,421,7,1,2,144,121, 3875,3876,8,7,0,440,134,76,0,3, 41,0,0,0,0,0,3,500000,4,2,1e-7,8,5000
"0_0_0_0",11,506,9,2,2,145,124, 3875,3876,8,7,0,236,212,28,0,5, 41,1,0,0,0,0,3,500000,4,2,1e-7,8,5000
"0_0_0_0",9,495,7,1,2,144,125, 3875,3876,8,7,0,367,204,68,0,4, 42,0,0,0,0,0,3,500000,4,2,1e-7,8,5000
"0_0_0_0",3,445,5,1,2,141,128, 3875,3876,8,7,0,530,157,87,0,3, 42,0,0,0,0,0,3,500000,4,2,1e-7,8,5000
"0_0_0_0",2,343,9,1,2,149,123, 3875,3876,8,7,0,379,46,42,0,4, 44,0,0,0,0,0,3,500000,4,2,1e-7,8,5000
"0_0_0_0",6,474,7,1,2,148,128, 3875,3876,9,7,0,390,176,48,0,3, 42,0,0,0,0,0,3,500000,4,2,1e-7,8,5000
"0_0_0_0",1,447,7,1,2,151,124, 3875,3876,8,7,0,407,149,48,0,4, 42,0,0,0,0,0,3,500000,4,2,1e-7,8,5000
"0_0_0_0",8,362,7,1,2,150,128, 3875,3876,8,7,0,491,63,84,0,2, 42,0,0,0,0,0,3,500000,4,2,1e-7,8,5000
"0_0_0_0",14,306,7,1,2,151,128, 3875,3876,8,7,0,530,7,86,0,1, 43,1,0,0,0,0,3,500000,4,2,1e-7,8,5000
"0_0_0_0",10,361,7,1,2,149,132, 3875,3877,8,7,0,484,59,80,0,2, 41,0,0,0,0,0,3,500000,4,2,1e-7,8,5000
"0_0_0_0",15,474,6,1,2,166,155, 3875,3876,8,7,0,424,131,74,0,3, 42,0,0,0,0,0,3,500000,4,2,1e-7,8,5000
"0_0_0_0",7,384,6,1,2,172,157, 3875,3876,9,7,0,496,34,83,0,1, 43,0,0,0,0,0,3,500000,4,2,1e-7,8,5000
"0_0_0_0",4,388,9,2,3,185,153, 3875,3876,9,7,0,386,26,45,0,2, 41,0,0,0,0,0,3,500000,4,2,1e-7,8,5000
"1_0_0_0",3,6027,57,14,27,2054,685, 4165,4194,8,7,0,1468,3141,47,0,39, 41,0,0,0,0,0,3,500000,5,2,1e-7,8,5000
"1_0_0_0",12,5782,60,14,28,2034,711, 4165,4194,8,7,0,1715,2888,52,0,37, 41,0,0,0,0,0,3,500000,5,2,1e-7,8,5000
"1_0_0_0",11,5170,57,14,38,2504,819, 4165,4194,8,7,0,2982,1702,112,0,26, 41,0,0,0,0,0,3,500000,5,2,1e-7,8,5000
"1_0_0_0",9,4816,58,14,36,2619,824, 4165,4194,8,7,0,3491,1235,119,0,21, 40,0,0,0,0,0,3,500000,5,2,1e-7,8,5000
"1_0_0_0",7,4591,60,14,38,2644,828, 4165,4194,8,7,0,3599,978,124,0,18, 42,0,0,0,0,0,3,500000,5,2,1e-7,8,5000
"1_0_0_0",4,4696,59,14,38,2620,851, 4165,4194,8,7,0,3639,1076,119,0,27, 42,0,0,0,0,0,3,500000,5,2,1e-7,8,5000
"1_0_0_0",6,4705,58,14,38,2612,889, 4165,4194,9,7,0,3683,1056,124,0,28, 42,0,0,0,0,0,3,500000,5,2,1e-7,8,5000
"1_0_0_0",13,4913,74,17,35,2592,914, 4165,4194,8,7,0,1553,1237,48,0,33, 41,0,0,0,0,0,3,500000,5,2,1e-7,8,5000
"1_0_0_0",2,5281,73,17,37,2592,925, 4165,4194,9,7,0,1248,1590,43,0,35, 41,0,0,0,0,0,3,500000,5,2,1e-7,8,5000
"1_0_0_0",8,4529,60,14,40,2608,933, 4165,4194,8,7,0,3700,849,127,0,17, 42,0,0,0,0,0,3,500000,5,2,1e-7,8,5000
"1_0_0_0",5,4529,61,15,39,2629,924, 4165,4194,9,7,0,3644,824,125,0,28, 41,0,0,0,0,0,3,500000,5,2,1e-7,8,5000
"1_0_0_0",1,6301,41,10,37,2673,887, 4165,4194,9,7,0,3708,2616,124,0,27, 42,0,0,0,0,0,3,500000,5,2,1e-7,8,5000
"1_0_0_0",14,4430,60,14,39,2695,953, 4165,4194,8,7,0,3923,643,130,0,16, 43,0,0,0,0,0,3,500000,5,2,1e-7,8,5000
"1_0_0_0",0,7170,53,14,37,2806,905, 4165,4194,9,7,0,1264,3305,41,39,0, 43,0,0,0,0,0,3,500000,5,2,1e-7,8,5000
"1_0_0_0",10,4399,36,10,43,3072,1179, 4165,4194,8,7,0,6210,47,204,0,1, 44,1,0,0,0,0,3,500000,5,2,1e-7,8,5000
"1_0_0_0",15,5639,57,14,44,3173,1151, 4165,4194,7,7,0,3344,1168,115,0,21, 42,0,0,0,0,0,3,500000,5,2,1e-7,8,5000
