
experiment_id,rank,runtime,p2m,m2m,l2l,m2l,p2p,source_tree,target_tree,source_domain,target_domain, layout,ghost_exchange_v,ghost_exchange_v_runtime,ghost_exchange_u,gather_global_fmm,scatter_global_fmm,source_to_target_data,source_data,target_data,global_fmm,ghost_fmm_v,ghost_fmm_u,expansion_order,n_points,local_depth,global_depth,block_size,n_threads,n_samples
"0_0_0_0",3,1380,58,9,11,805,28, 1207,1192,4,2,1,303,441,17,0,15, 4219,25,19,0,0,0,6,125000,4,2,1e-7,4,5000
"0_0_0_0",2,2048,29,4,28,1552,56, 1207,1192,3,2,1,692,347,43,0,12, 4262,25,19,0,0,0,6,125000,4,2,1e-7,4,5000
"0_0_0_0",0,2591,60,8,25,1952,52, 1207,1192,3,2,0,278,459,16,10,0, 4265,25,19,0,0,0,6,125000,4,2,1e-7,4,5000
"0_0_0_0",1,2505,62,9,29,1993,55, 1207,1192,4,2,1,381,324,20,0,14, 4235,25,19,0,0,0,6,125000,4,2,1e-7,4,5000
"0_0_0_0",16,2715,60,7,29,2261,53, 1207,1192,5,2,0,436,272,22,0,14, 4253,25,19,0,0,0,6,125000,4,2,1e-7,4,5000
"0_0_0_0",19,2768,59,9,23,2270,52, 1207,1192,4,2,1,401,324,21,0,14, 4238,25,19,0,0,0,6,125000,4,2,1e-7,4,5000
"0_0_0_0",13,2785,62,8,30,2271,56, 1207,1192,4,2,1,401,324,21,0,14, 4260,25,19,0,0,0,6,125000,4,2,1e-7,4,5000
"0_0_0_0",23,2774,61,10,29,2283,57, 1207,1192,4,2,1,419,302,21,0,13, 4224,25,19,0,0,0,6,125000,4,2,1e-7,4,5000
"0_0_0_0",18,2649,65,10,28,2292,56, 1207,1192,4,2,1,535,169,23,0,11, 4269,25,19,0,0,0,6,125000,4,2,1e-7,4,5000
"0_0_0_0",5,2790,62,9,23,2310,52, 1207,1192,3,2,1,418,302,21,0,13, 4273,25,19,0,0,0,6,125000,4,2,1e-7,4,5000
"0_0_0_0",22,2700,61,10,31,2302,54, 1207,1192,4,2,1,497,211,22,0,12, 4268,25,19,0,0,0,6,125000,4,2,1e-7,4,5000
"0_0_0_0",9,2787,63,8,29,2308,53, 1207,1192,3,2,1,427,293,21,0,14, 4271,25,19,0,0,0,6,125000,4,2,1e-7,4,5000
"0_0_0_0",6,2691,62,7,27,2311,53, 1207,1192,4,2,1,501,199,24,0,12, 4278,25,19,0,0,0,6,125000,4,2,1e-7,4,5000
"0_0_0_0",14,2667,67,9,30,2308,53, 1207,1192,4,2,0,536,168,23,0,12, 4229,25,19,0,0,0,6,125000,4,2,1e-7,4,5000
"0_0_0_0",24,2690,62,9,28,2310,55, 1207,1192,3,2,1,514,196,23,0,10, 4244,25,19,0,0,0,6,125000,4,2,1e-7,4,5000
"0_0_0_0",27,2801,62,9,27,2319,56, 1207,1192,4,2,1,417,297,21,0,13, 4254,26,20,0,0,0,6,125000,4,2,1e-7,4,5000
"0_0_0_0",26,2710,64,10,28,2329,55, 1207,1192,3,2,1,502,193,23,0,12, 4269,25,19,0,0,0,6,125000,4,2,1e-7,4,5000
"0_0_0_0",8,2702,61,10,29,2334,56, 1207,1192,3,2,1,518,180,22,0,13, 4233,25,19,0,0,0,6,125000,4,2,1e-7,4,5000
"0_0_0_0",17,2671,63,9,27,2338,54, 1207,1192,4,2,1,544,148,25,0,12, 4252,25,19,0,0,0,6,125000,4,2,1e-7,4,5000
"0_0_0_0",10,2733,63,10,28,2339,54, 1207,1192,4,2,1,499,209,22,0,12, 4250,25,19,0,0,0,6,125000,4,2,1e-7,4,5000
"0_0_0_0",15,2678,67,10,29,2335,55, 1207,1192,4,2,1,541,152,24,0,10, 4214,25,19,0,0,0,6,125000,4,2,1e-7,4,5000
"0_0_0_0",12,2656,66,9,28,2340,56, 1207,1192,3,2,0,566,127,25,0,11, 4263,25,19,0,0,0,6,125000,4,2,1e-7,4,5000
"0_0_0_0",7,2661,64,8,30,2343,55, 1207,1192,5,2,1,562,130,25,0,12, 4275,25,19,0,0,0,6,125000,4,2,1e-7,4,5000
"0_0_0_0",30,2708,60,9,28,2344,56, 1207,1192,4,2,1,500,181,23,0,9, 4239,25,19,0,0,0,6,125000,4,2,1e-7,4,5000
"0_0_0_0",21,2652,64,9,28,2354,53, 1207,1192,3,2,1,560,118,24,0,5, 4259,25,19,0,0,0,6,125000,4,2,1e-7,4,5000
"0_0_0_0",25,2651,61,9,25,2355,57, 1207,1192,3,2,1,559,119,25,0,5, 4244,25,19,0,0,0,6,125000,4,2,1e-7,4,5000
"0_0_0_0",4,2637,65,9,27,2354,56, 1207,1192,3,2,0,587,96,26,0,11, 4264,25,19,0,0,0,6,125000,4,2,1e-7,4,5000
"0_0_0_0",11,2671,65,10,29,2358,57, 1207,1192,4,2,1,564,123,24,0,11, 4252,25,19,0,0,0,6,125000,4,2,1e-7,4,5000
"0_0_0_0",20,2676,68,9,29,2364,56, 1207,1192,4,2,1,571,118,25,0,11, 4272,25,19,0,0,0,6,125000,4,2,1e-7,4,5000
"0_0_0_0",28,2673,65,7,27,2406,56, 1207,1192,3,2,1,592,85,25,0,6, 4259,25,20,0,0,0,6,125000,4,2,1e-7,4,5000
"0_0_0_0",29,2749,63,8,27,2414,57, 1207,1192,4,2,1,544,153,24,0,6, 4261,25,19,0,0,0,6,125000,4,2,1e-7,4,5000
"0_0_0_0",31,3232,89,13,35,2971,79, 1207,1191,3,2,1,365,12,20,0,8, 4243,25,19,0,0,0,6,125000,4,2,1e-7,4,5000
"1_0_0_0",3,20393,432,73,96,13308,86, 1385,1374,4,2,0,1221,6303,25,0,65, 4241,25,19,0,0,0,6,125000,5,2,1e-7,4,5000
"1_0_0_0",28,23430,191,36,89,13633,98, 1385,1374,3,2,1,1850,9251,29,0,102, 4265,25,20,0,0,0,6,125000,5,2,1e-7,4,5000
"1_0_0_0",2,27176,404,72,182,21302,186, 1385,1374,4,2,1,1955,4960,31,0,41, 4264,25,19,0,0,0,6,125000,5,2,1e-7,4,5000
"1_0_0_0",29,26917,440,72,201,21530,191, 1385,1374,3,2,1,2801,4360,36,0,95, 4258,25,19,0,0,0,6,125000,5,2,1e-7,4,5000
"1_0_0_0",0,31177,396,74,181,24446,194, 1385,1374,3,2,0,1453,5799,27,58,0, 4242,25,19,0,0,0,6,125000,5,2,1e-7,4,5000
"1_0_0_0",30,30131,417,76,197,24651,199, 1385,1374,4,2,1,2547,4463,35,0,97, 4242,25,19,0,0,0,6,125000,5,2,1e-7,4,5000
"1_0_0_0",1,30811,416,73,194,24705,196, 1385,1374,4,2,1,1947,5160,31,0,44, 4249,25,19,0,0,0,6,125000,5,2,1e-7,4,5000
"1_0_0_0",13,33429,401,73,180,26607,208, 1385,1374,3,2,1,1399,5824,27,0,106, 4245,25,19,0,0,0,6,125000,5,2,1e-7,4,5000
"1_0_0_0",12,33190,416,72,179,26956,197, 1385,1374,3,2,1,1943,5289,31,0,53, 4263,25,19,0,0,0,6,125000,5,2,1e-7,4,5000
"1_0_0_0",9,34104,401,70,178,27308,183, 1385,1374,4,2,1,1374,5826,26,0,106, 4237,25,19,0,0,0,6,125000,5,2,1e-7,4,5000
"1_0_0_0",14,32906,466,77,194,27469,147, 1385,1374,3,2,1,2584,4495,35,0,37, 4270,25,19,0,0,0,6,125000,5,2,1e-7,4,5000
"1_0_0_0",5,33772,419,76,191,27438,200, 1385,1374,3,2,1,1939,5345,32,0,54, 4230,25,19,0,0,0,6,125000,5,2,1e-7,4,5000
"1_0_0_0",18,34336,401,71,175,27525,189, 1385,1374,4,2,1,1379,5843,26,0,106, 4288,25,19,0,0,0,6,125000,5,2,1e-7,4,5000
"1_0_0_0",11,33783,427,74,190,27559,208, 1385,1374,4,2,0,1959,5193,31,0,103, 4232,25,19,0,0,0,6,125000,5,2,1e-7,4,5000
"1_0_0_0",22,34546,406,70,180,27649,181, 1385,1374,3,2,0,1388,5931,27,0,106, 4228,25,19,0,0,0,6,125000,5,2,1e-7,4,5000
