
experiment_id, rank, runtime, p2m, m2m, l2l, m2l, p2p, source_tree, target_tree, source_domain, target_domain, layout, ghost_exchange_v, ghost_exchange_u, gather_global_fmm, scatter_global_fmm, source_to_target_data, source_data, target_data, global_fmm, ghost_fmm_v, ghost_fmm_u expansion_order, n_points, local_depth, global_depth, block_size, n_threads, n_samples

"0_0_0_0", 29, 547, 7, 0, 0, 306, 131, 2421, 2388, 5, 3, 1, 82, 22, 0, 13, 375, 1, 0, 0, 0, 0 3, 250000, 4, 2. 256. 2, 5000,
         
"0_0_0_0", 3, 553, 14, 0, 0, 312, 132, 2422, 2388, 5, 3, 1, 74, 22, 0, 13, 377, 0, 0, 0, 0, 0 3, 250000, 4, 2. 256. 2, 5000,
         
"0_0_0_0", 19, 935, 14, 0, 1, 611, 253, 2422, 2388, 6, 3, 1, 36, 67, 0, 7, 374, 1, 0, 0, 0, 0 3, 250000, 4, 2. 256. 2, 5000,
         
"0_0_0_0", 27, 979, 13, 0, 1, 612, 252, 2422, 2388, 5, 3, 1, 75, 23, 0, 12, 378, 0, 0, 0, 0, 0 3, 250000, 4, 2. 256. 2, 5000,
         
"0_0_0_0", 22, 930, 14, 0, 1, 606, 260, 2422, 2388, 4, 3, 1, 30, 74, 0, 5, 378, 0, 0, 0, 0, 0 3, 250000, 4, 2. 256. 2, 5000,
         
"0_0_0_0", 23, 939, 14, 0, 1, 605, 263, 2422, 2388, 5, 3, 1, 36, 66, 0, 7, 376, 0, 0, 0, 0, 0 3, 250000, 4, 2. 256. 2, 5000,
         
"0_0_0_0", 13, 939, 14, 0, 1, 614, 254, 2422, 2388, 4, 3, 1, 36, 66, 0, 7, 376, 0, 0, 0, 0, 0 3, 250000, 4, 2. 256. 2, 5000,
         
"0_0_0_0", 20, 930, 14, 0, 1, 605, 264, 2422, 2388, 5, 3, 0, 28, 77, 0, 4, 377, 1, 0, 0, 0, 0 3, 250000, 4, 2. 256. 2, 5000,
         
"0_0_0_0", 5, 942, 14, 0, 1, 609, 262, 2421, 2388, 6, 3, 1, 37, 65, 0, 7, 378, 0, 0, 0, 0, 0 3, 250000, 4, 2. 256. 2, 5000,
         
"0_0_0_0", 0, 985, 13, 0, 1, 619, 252, 2421, 2388, 5, 3, 1, 72, 22, 13, 0, 375, 1, 0, 0, 0, 0 3, 250000, 4, 2. 256. 2, 5000,
         
"0_0_0_0", 9, 945, 14, 0, 1, 611, 262, 2422, 2388, 4, 3, 1, 36, 66, 0, 7, 377, 0, 0, 0, 0, 0 3, 250000, 4, 2. 256. 2, 5000,
         
"0_0_0_0", 16, 948, 14, 0, 1, 629, 251, 2422, 2388, 4, 3, 0, 35, 69, 3, 2, 375, 0, 0, 0, 0, 0 3, 250000, 4, 2. 256. 2, 5000,
         
