
experiment_id, rank, runtime, p2m, m2m, l2l, m2l, p2p, source_tree, target_tree, source_domain, target_domain, layout, ghost_exchange_v, ghost_exchange_u, gather_global_fmm, scatter_global_fmm, source_to_target_data, source_data, target_data, global_fmm, ghost_fmm_v, ghost_fmm_u, expansion_order, n_points, local_depth, global_depth, block_size, n_threads, n_samples
"0_0_0_0", 10, 256, 7, 0, 0, 161, 66, 2355, 2372, 6, 3, 1, 63, 11, 24, 0, 4, 375, 0, 0, 0, 0, 0, 3, 250000, 4, 2, 128, 4, 5000
"0_0_0_0", 17, 256, 7, 0, 0, 160, 66, 2355, 2372, 5, 3, 1, 63, 11, 24, 0, 3, 374, 0, 0, 0, 0, 0, 3, 250000, 4, 2, 128, 4, 5000
"0_0_0_0", 2, 258, 7, 0, 0, 164, 63, 2354, 2372, 5, 3, 1, 65, 12, 21, 0, 4, 378, 1, 0, 0, 0, 0, 3, 250000, 4, 2, 128, 4, 5000
"0_0_0_0", 29, 260, 7, 0, 0, 162, 68, 2354, 2373, 5, 3, 1, 63, 12, 24, 0, 4, 375, 0, 0, 0, 0, 0, 3, 250000, 4, 2, 128, 4, 5000
"0_0_0_0", 21, 260, 7, 0, 0, 162, 69, 2355, 2372, 6, 3, 1, 59, 11, 29, 0, 3, 375, 0, 0, 0, 0, 0, 3, 250000, 4, 2, 128, 4, 5000
"0_0_0_0", 27, 474, 7, 0, 1, 323, 124, 2355, 2372, 5, 3, 1, 32, 7, 59, 0, 3, 376, 0, 0, 0, 0, 0, 3, 250000, 4, 2, 128, 4, 5000
"0_0_0_0", 19, 475, 7, 0, 0, 320, 128, 2355, 2372, 5, 3, 1, 25, 7, 68, 0, 2, 375, 1, 0, 0, 0, 0, 3, 250000, 4, 2, 128, 4, 5000
"0_0_0_0", 15, 476, 7, 0, 1, 321, 129, 2355, 2372, 5, 3, 1, 27, 7, 65, 0, 3, 374, 0, 0, 0, 0, 0, 3, 250000, 4, 2, 128, 4, 5000
"0_0_0_0", 0, 482, 7, 0, 1, 326, 124, 2354, 2373, 7, 3, 1, 68, 10, 19, 3, 0, 376, 1, 0, 0, 0, 0, 3, 250000, 4, 2, 128, 4, 5000
"0_0_0_0", 16, 477, 7, 0, 0, 323, 128, 2355, 2372, 4, 3, 1, 25, 7, 68, 0, 2, 372, 1, 0, 0, 0, 0, 3, 250000, 4, 2, 128, 4, 5000
"0_0_0_0", 23, 479, 7, 0, 0, 323, 130, 2355, 2372, 5, 3, 1, 27, 7, 66, 0, 2, 375, 0, 0, 0, 0, 0, 3, 250000, 4, 2, 128, 4, 5000
"0_0_0_0", 1, 481, 3, 0, 0, 326, 129, 2354, 2373, 4, 3, 0, 31, 10, 62, 0, 3, 373, 0, 0, 0, 0, 0, 3, 250000, 4, 2, 128, 4, 5000
"0_0_0_0", 20, 480, 7, 0, 0, 328, 129, 2355, 2372, 4, 3, 1, 25, 7, 68, 0, 1, 376, 0, 0, 0, 0, 0, 3, 250000, 4, 2, 128, 4, 5000
"0_0_0_0", 5, 487, 7, 0, 0, 331, 127, 2355, 2372, 6, 3, 1, 61, 9, 28, 0, 4, 371, 0, 0, 0, 0, 0, 3, 250000, 4, 2, 128, 4, 5000
"0_0_0_0", 6, 486, 7, 0, 0, 330, 129, 2354, 2372, 5, 3, 1, 58, 8, 33, 0, 3, 376, 1, 0, 0, 0, 0, 3, 250000, 4, 2, 128, 4, 5000
"0_0_0_0", 31, 492, 10, 1, 0, 327, 132, 2355, 2372, 4, 3, 0, 67, 7, 20, 0, 4, 372, 0, 0, 0, 0, 0, 3, 250000, 4, 2, 128, 4, 5000
"0_0_0_0", 11, 487, 7, 0, 0, 328, 133, 2355, 2372, 4, 3, 1, 57, 7, 35, 0, 3, 376, 0, 0, 0, 0, 0, 3, 250000, 4, 2, 128, 4, 5000
"0_0_0_0", 26, 486, 7, 0, 1, 324, 136, 2355, 2372, 4, 3, 1, 24, 6, 69, 0, 3, 374, 1, 0, 0, 0, 0, 3, 250000, 4, 2, 128, 4, 5000
"0_0_0_0", 4, 488, 7, 0, 0, 330, 131, 2355, 2372, 6, 3, 1, 56, 7, 36, 0, 2, 376, 0, 0, 0, 0, 0, 3, 250000, 4, 2, 128, 4, 5000
"0_0_0_0", 8, 489, 7, 0, 0, 331, 131, 2355, 2372, 6, 3, 1, 58, 7, 33, 0, 3, 375, 0, 0, 0, 0, 0, 3, 250000, 4, 2, 128, 4, 5000
"0_0_0_0", 25, 488, 7, 0, 1, 330, 132, 2355, 2372, 6, 3, 1, 26, 7, 67, 0, 2, 376, 0, 0, 0, 0, 0, 3, 250000, 4, 2, 128, 4, 5000
"0_0_0_0", 3, 489, 7, 0, 1, 330, 133, 2355, 2372, 6, 3, 1, 57, 7, 35, 0, 3, 375, 0, 0, 0, 0, 0, 3, 250000, 4, 2, 128, 4, 5000
"0_0_0_0", 14, 487, 7, 0, 0, 326, 137, 2354, 2372, 5, 3, 1, 21, 5, 73, 0, 3, 373, 0, 0, 0, 0, 0, 3, 250000, 4, 2, 128, 4, 5000
"0_0_0_0", 12, 490, 7, 0, 0, 331, 132, 2354, 2372, 4, 3, 1, 57, 7, 36, 0, 3, 376, 1, 0, 0, 0, 0, 3, 250000, 4, 2, 128, 4, 5000
"0_0_0_0", 7, 496, 7, 0, 1, 334, 135, 2355, 2372, 5, 3, 1, 56, 8, 36, 0, 3, 375, 0, 0, 0, 0, 0, 3, 250000, 4, 2, 128, 4, 5000
"0_0_0_0", 24, 495, 7, 0, 0, 335, 135, 2355, 2372, 4, 3, 1, 17, 6, 77, 0, 1, 375, 0, 0, 0, 0, 0, 3, 250000, 4, 2, 128, 4, 5000
"0_0_0_0", 28, 495, 7, 0, 0, 336, 135, 2355, 2372, 6, 3, 1, 20, 6, 75, 0, 1, 376, 0, 0, 0, 0, 0, 3, 250000, 4, 2, 128, 4, 5000
"0_0_0_0", 13, 687, 7, 0, 1, 468, 192, 2355, 2373, 5, 3, 0, 27, 4, 67, 0, 3, 376, 0, 0, 0, 0, 0, 3, 250000, 4, 2, 128, 4, 5000
"0_0_0_0", 9, 689, 7, 0, 1, 472, 190, 2355, 2373, 5, 3, 0, 26, 4, 68, 0, 3, 376, 0, 0, 0, 0, 0, 3, 250000, 4, 2, 128, 4, 5000
"0_0_0_0", 30, 690, 7, 0, 1, 469, 196, 2354, 2373, 4, 3, 0, 17, 3, 79, 0, 2, 376, 0, 0, 0, 0, 0, 3, 250000, 4, 2, 128, 4, 5000
"0_0_0_0", 18, 690, 7, 0, 1, 470, 194, 2354, 2373, 4, 3, 0, 15, 4, 81, 0, 1, 376, 0, 0, 0, 0, 0, 3, 250000, 4, 2, 128, 4, 5000
"0_0_0_0", 22, 694, 7, 0, 1, 472, 197, 2355, 2373, 5, 3, 0, 21, 4, 74, 0, 1, 375, 1, 0, 0, 0, 0, 3, 250000, 4, 2, 128, 4, 5000
"1_0_0_0", 3, 1583, 24, 3, 8, 1344, 70, 2561, 2542, 4, 3, 0, 113, 111, 32, 0, 14, 376, 0, 0, 0, 0, 0, 3, 250000, 5, 2, 128, 4, 5000
