
experiment_id,rank,runtime,p2m,m2m,l2l,m2l,p2p,source_tree,target_tree,source_domain,target_domain, layout,ghost_exchange_v,ghost_exchange_v_runtime,ghost_exchange_u,gather_global_fmm,scatter_global_fmm,source_to_target_data,source_data,target_data,global_fmm,ghost_fmm_v,ghost_fmm_u,expansion_order,n_points,local_depth,global_depth,block_size,n_threads,n_samples
"0_0_0_0",0,577,7,1,1,468,76,3817,3822,8,7,0,35,12,20,2,0, 373,1,0,0,0,0,3,500000,4,2,128,8,5000
"0_0_0_0",2,764,7,1,2,638,101,3817,3823,9,7,0,19,6,43,0,2, 371,0,0,0,0,0,3,500000,4,2,128,8,5000
"0_0_0_0",6,767,7,1,2,638,102,3817,3823,8,7,0,20,5,42,0,2, 372,0,0,0,0,0,3,500000,4,2,128,8,5000
"0_0_0_0",4,767,7,1,2,641,101,3817,3823,8,7,0,21,6,40,0,1, 373,0,0,0,0,0,3,500000,4,2,128,8,5000
"0_0_0_0",11,770,7,1,2,643,101,3817,3823,8,7,0,23,6,38,0,2, 371,0,0,0,0,0,3,500000,4,2,128,8,5000
"0_0_0_0",1,769,6,1,2,643,103,3817,3823,8,7,0,19,6,44,0,1, 373,0,0,0,0,0,3,500000,4,2,128,8,5000
"0_0_0_0",14,771,7,1,2,645,103,3817,3823,8,7,0,17,5,46,0,1, 372,0,0,0,0,0,3,500000,4,2,128,8,5000
"0_0_0_0",5,774,6,1,2,647,102,3817,3823,8,7,0,19,5,44,0,2, 373,0,0,0,0,0,3,500000,4,2,128,8,5000
"0_0_0_0",8,777,6,1,2,648,103,3817,3823,8,7,0,20,7,41,0,2, 371,0,0,0,0,0,3,500000,4,2,128,8,5000
"0_0_0_0",9,777,6,1,2,651,101,3817,3823,8,7,0,22,6,40,0,2, 373,0,0,0,0,0,3,500000,4,2,128,8,5000
"0_0_0_0",13,779,6,1,2,650,101,3817,3823,8,7,0,24,7,37,0,2, 373,0,0,0,0,0,3,500000,4,2,128,8,5000
"0_0_0_0",3,778,6,1,2,647,103,3817,3822,8,7,0,19,6,43,0,2, 372,0,0,0,0,0,3,500000,4,2,128,8,5000
"0_0_0_0",10,783,7,1,2,656,103,3818,3823,8,7,0,17,5,47,0,1, 371,0,0,0,0,0,3,500000,4,2,128,8,5000
"0_0_0_0",12,783,6,1,2,652,107,3817,3823,8,7,0,18,5,45,0,1, 371,0,0,0,0,0,3,500000,4,2,128,8,5000
"0_0_0_0",7,785,7,1,2,651,107,3817,3823,8,7,0,17,6,45,0,1, 370,0,0,0,0,0,3,500000,4,2,128,8,5000
"0_0_0_0",15,942,9,1,3,791,124,3817,3823,8,7,0,30,3,31,0,2, 371,1,0,0,0,0,3,500000,4,2,128,8,5000
"0_0_1_0",0,583,6,1,1,471,73,3847,3856,9,7,0,114,18,23,3,0, 370,0,0,0,0,0,3,500000,4,2,256,8,5000
"0_0_1_0",14,590,7,2,1,476,78,3847,3856,8,7,0,104,13,37,0,5, 370,0,0,0,0,0,3,500000,4,2,256,8,5000
"0_0_1_0",12,593,10,1,1,481,77,3846,3856,8,7,0,106,11,34,0,4, 373,0,0,0,0,0,3,500000,4,2,256,8,5000
"0_0_1_0",2,768,8,1,2,636,100,3847,3856,9,7,0,74,10,70,0,3, 367,0,0,0,0,0,3,500000,4,2,256,8,5000
"0_0_1_0",4,769,6,1,2,638,99,3847,3856,8,7,0,73,13,71,0,3, 369,0,0,0,0,0,3,500000,4,2,256,8,5000
"0_0_1_0",6,773,8,1,2,642,99,3847,3856,8,7,0,75,10,69,0,3, 370,0,0,0,0,0,3,500000,4,2,256,8,5000
"0_0_1_0",9,778,9,2,2,640,99,3847,3855,8,7,0,109,12,30,0,4, 369,0,0,0,0,0,3,500000,4,2,256,8,5000
"0_0_1_0",10,780,6,1,2,642,104,3846,3856,8,7,0,102,13,41,0,3, 370,0,0,0,0,0,3,500000,4,2,256,8,5000
"0_0_1_0",11,786,6,1,2,651,99,3847,3856,8,7,0,110,14,30,0,5, 368,0,0,0,0,0,3,500000,4,2,256,8,5000
"0_0_1_0",5,780,7,1,2,642,106,3846,3856,8,7,0,66,10,79,0,2, 371,0,0,0,0,0,3,500000,4,2,256,8,5000
"0_0_1_0",7,782,7,1,2,648,103,3846,3856,8,7,0,67,11,78,0,2, 369,0,0,0,0,0,3,500000,4,2,256,8,5000
"0_0_1_0",3,788,9,2,2,652,103,3847,3856,8,7,0,103,9,39,0,3, 369,0,0,0,0,0,3,500000,4,2,256,8,5000
"0_0_1_0",8,795,7,1,2,661,103,3847,3856,8,7,0,64,10,82,0,2, 370,0,0,0,0,0,3,500000,4,2,256,8,5000
"0_0_1_0",15,943,6,1,3,788,124,3847,3856,8,7,0,74,8,72,0,4, 367,0,0,0,0,0,3,500000,4,2,256,8,5000
"0_0_1_0",13,953,6,1,3,798,125,3847,3856,8,7,0,69,8,78,0,4, 370,0,0,0,0,0,3,500000,4,2,256,8,5000
"0_0_1_0",1,949,5,1,3,796,129,3847,3856,8,7,0,25,6,129,0,1, 370,0,0,0,0,0,3,500000,4,2,256,8,5000
"1_0_0_0",1,4220,52,13,24,3938,70,4115,4105,8,7,0,148,96,41,0,18, 369,0,0,0,0,0,3,500000,5,2,128,8,5000
"1_0_0_0",0,5515,51,13,37,5220,91,4115,4105,8,7,0,163,75,41,16,0, 369,0,0,0,0,0,3,500000,5,2,128,8,5000
"1_0_0_0",4,5483,52,14,39,5223,99,4115,4105,8,7,0,132,46,116,0,1, 370,0,0,0,0,0,3,500000,5,2,128,8,5000
"1_0_0_0",2,5509,51,12,38,5256,92,4115,4105,8,7,0,127,43,124,0,6, 370,0,0,0,0,0,3,500000,5,2,128,8,5000
"1_0_0_0",14,5542,61,15,37,5268,94,4115,4105,8,7,0,162,45,63,0,12, 367,0,0,0,0,0,3,500000,5,2,128,8,5000
"1_0_0_0",6,5540,54,14,38,5287,92,4115,4105,8,7,0,127,44,124,0,1, 370,0,0,0,0,0,3,500000,5,2,128,8,5000
"1_0_0_0",11,5575,71,19,38,5285,94,4115,4105,8,7,0,169,41,44,0,17, 368,1,0,0,0,0,3,500000,5,2,128,8,5000
"1_0_0_0",12,5562,38,11,39,5307,94,4115,4105,7,7,0,127,58,127,0,4, 369,0,0,0,0,0,3,500000,5,2,128,8,5000
"1_0_0_0",7,5565,54,14,39,5315,92,4115,4105,9,7,0,131,40,122,0,1, 369,0,0,0,0,0,3,500000,5,2,128,8,5000
"1_0_0_0",5,5569,62,14,40,5318,93,4115,4105,8,7,0,130,32,124,0,1, 371,0,0,0,0,0,3,500000,5,2,128,8,5000
"1_0_0_0",3,5576,54,14,39,5324,92,4115,4105,8,7,0,132,40,121,0,1, 368,0,0,0,0,0,3,500000,5,2,128,8,5000
"1_0_0_0",8,5577,38,11,39,5325,93,4115,4105,8,7,0,129,58,124,0,4, 370,0,0,0,0,0,3,500000,5,2,128,8,5000
"1_0_0_0",9,5640,68,17,39,5348,94,4115,4105,8,7,0,167,50,45,0,15, 370,0,0,0,0,0,3,500000,5,2,128,8,5000
"1_0_0_0",10,5601,38,11,39,5349,94,4115,4105,8,7,0,126,56,129,0,6, 367,0,0,0,0,0,3,500000,5,2,128,8,5000
"1_0_0_0",13,5674,56,14,38,5382,99,4115,4105,8,7,0,166,60,51,0,14, 369,0,0,0,0,0,3,500000,5,2,128,8,5000
"1_0_0_0",15,6867,67,19,45,6558,119,4115,4105,8,7,0,175,32,45,0,17, 370,0,0,0,0,0,3,500000,5,2,128,8,5000
"1_0_1_0",0,4173,50,14,25,3888,69,4145,4126,8,7,0,149,99,32,16,0, 369,0,0,0,0,0,3,500000,5,2,256,8,5000
"1_0_1_0",11,4208,50,14,27,3921,76,4145,4126,8,7,0,151,94,34,0,18, 369,0,0,0,0,0,3,500000,5,2,256,8,5000
"1_0_1_0",4,5524,54,14,37,5229,92,4145,4126,8,7,0,161,71,40,0,16, 370,1,0,0,0,0,3,500000,5,2,256,8,5000
"1_0_1_0",5,5537,58,14,38,5248,97,4145,4126,9,7,0,164,60,49,0,11, 368,0,0,0,0,0,3,500000,5,2,256,8,5000
"1_0_1_0",10,5559,57,14,39,5268,97,4145,4126,8,7,0,164,61,48,0,12, 369,0,0,0,0,0,3,500000,5,2,256,8,5000
"1_0_1_0",3,5565,53,14,35,5280,97,4145,4126,8,7,0,164,63,49,0,12, 369,0,0,0,0,0,3,500000,5,2,256,8,5000
"1_0_1_0",8,5566,76,18,39,5278,98,4145,4126,9,7,0,164,36,49,0,11, 370,0,0,0,0,0,3,500000,5,2,256,8,5000
"1_0_1_0",15,5583,67,19,33,5289,94,4145,4126,8,7,0,161,53,37,0,18, 369,0,0,0,0,0,3,500000,5,2,256,8,5000
"1_0_1_0",1,5536,37,11,38,5288,94,4145,4126,9,7,0,125,58,126,0,2, 370,0,0,0,0,0,3,500000,5,2,256,8,5000
"1_0_1_0",12,5538,38,10,39,5287,95,4145,4126,8,7,0,125,57,126,0,1, 371,0,0,0,0,0,3,500000,5,2,256,8,5000
