
experiment_id,rank,runtime,p2m,m2m,l2l,m2l,p2p,source_tree,target_tree,source_domain,target_domain, layout,ghost_exchange_v,ghost_exchange_v_runtime,ghost_exchange_u,gather_global_fmm,scatter_global_fmm,source_to_target_data,source_data,target_data,global_fmm,ghost_fmm_v,ghost_fmm_u,expansion_order,n_points,local_depth,global_depth,block_size,n_threads,n_samples
"0_0_0_0",6,1788,53,7,4,1561,77,2328,2317,6,4,1,52,48,27,0,18, 566,25,19,0,0,0,6,250000,4,2,128,4,5000
"0_0_0_0",7,3411,53,7,8,3098,152,2329,2317,6,5,1,47,44,37,0,16, 552,25,19,0,0,0,6,250000,4,2,128,4,5000
"0_0_0_0",30,3411,56,7,8,3092,159,2329,2317,6,4,1,47,46,37,0,11, 550,25,20,0,0,0,6,250000,4,2,128,4,5000
"0_0_0_0",28,3423,53,7,9,3112,152,2329,2317,7,4,1,48,47,37,0,13, 550,25,19,0,0,0,6,250000,4,2,128,4,5000
"0_0_0_0",4,3431,54,7,10,3130,142,2329,2317,7,4,1,20,44,65,0,15, 557,25,19,0,0,0,6,250000,4,2,128,4,5000
"0_0_0_0",5,3433,53,7,9,3126,148,2328,2317,6,5,1,20,44,66,0,15, 558,25,19,0,0,0,6,250000,4,2,128,4,5000
"0_0_0_0",1,3448,54,7,8,3135,149,2329,2317,7,5,1,51,46,30,0,17, 553,25,19,0,0,0,6,250000,4,2,128,4,5000
"0_0_0_0",0,3449,53,7,10,3143,143,2329,2317,8,4,1,56,47,25,8,0, 550,25,19,0,0,0,6,250000,4,2,128,4,5000
"0_0_0_0",29,3451,60,7,9,3137,154,2329,2317,5,5,1,48,43,36,0,10, 554,25,19,0,0,0,6,250000,4,2,128,4,5000
"0_0_0_0",2,3453,27,3,9,3145,149,2328,2318,6,4,1,16,75,69,0,14, 554,25,19,0,0,0,6,250000,4,2,128,4,5000
"0_0_0_0",13,3459,52,7,9,3147,149,2329,2317,6,5,1,50,46,32,0,17, 556,25,19,0,0,0,6,250000,4,2,128,4,5000
"0_0_0_0",10,3461,53,7,9,3152,149,2328,2317,6,4,1,49,44,35,0,16, 556,25,19,0,0,0,6,250000,4,2,128,4,5000
"0_0_0_0",19,3464,54,7,9,3156,147,2329,2317,7,5,1,52,44,29,0,18, 557,25,19,0,0,0,6,250000,4,2,128,4,5000
"0_0_0_0",9,3466,53,7,10,3157,146,2329,2317,6,5,1,51,45,31,0,17, 558,25,19,0,0,0,6,250000,4,2,128,4,5000
"0_0_0_0",27,3470,53,7,9,3162,146,2329,2317,6,5,1,52,46,30,0,17, 556,25,20,0,0,0,6,250000,4,2,128,4,5000
"0_0_0_0",23,3472,53,7,10,3162,146,2329,2317,6,5,1,52,46,30,0,17, 552,25,19,0,0,0,6,250000,4,2,128,4,5000
"0_0_0_0",16,3482,54,7,9,3171,148,2329,2317,8,4,1,49,45,33,0,17, 553,25,19,0,0,0,6,250000,4,2,128,4,5000
"0_0_0_0",14,3480,55,7,9,3170,150,2328,2317,7,4,1,50,43,34,0,16, 549,25,20,0,0,0,6,250000,4,2,128,4,5000
"0_0_0_0",8,3481,53,7,10,3167,152,2329,2317,7,4,0,49,44,35,0,16, 557,25,19,0,0,0,6,250000,4,2,128,4,5000
"0_0_0_0",24,3481,53,7,9,3164,151,2329,2317,7,4,1,49,46,35,0,14, 554,25,19,0,0,0,6,250000,4,2,128,4,5000
"0_0_0_0",26,3486,53,7,8,3175,150,2328,2317,7,4,1,48,46,35,0,15, 559,25,19,0,0,0,6,250000,4,2,128,4,5000
"0_0_0_0",12,3487,53,7,9,3175,152,2329,2317,6,4,1,47,45,38,0,16, 556,25,19,0,0,0,6,250000,4,2,128,4,5000
"0_0_0_0",22,3490,53,7,8,3177,153,2329,2317,6,4,1,49,47,34,0,14, 558,25,20,0,0,0,6,250000,4,2,128,4,5000
"0_0_0_0",18,3490,53,7,8,3180,150,2328,2317,8,4,1,49,45,35,0,16, 552,25,20,0,0,0,6,250000,4,2,128,4,5000
"0_0_0_0",15,3492,54,7,9,3179,153,2329,2317,6,5,1,47,43,38,0,16, 554,25,19,0,0,0,6,250000,4,2,128,4,5000
"0_0_0_0",20,3492,53,7,8,3179,153,2329,2317,7,4,1,48,44,37,0,16, 554,25,20,0,0,0,6,250000,4,2,128,4,5000
"0_0_0_0",17,3495,53,7,9,3182,153,2329,2317,6,5,1,47,44,37,0,16, 554,25,19,0,0,0,6,250000,4,2,128,4,5000
"0_0_0_0",21,3499,53,7,9,3179,160,2329,2317,7,5,1,48,45,36,0,15, 555,25,19,0,0,0,6,250000,4,2,128,4,5000
"0_0_0_0",11,3500,54,7,9,3181,158,2329,2317,6,5,1,44,43,41,0,16, 560,25,19,0,0,0,6,250000,4,2,128,4,5000
"0_0_0_0",25,3502,54,7,9,3179,160,2329,2317,7,5,1,47,47,37,0,13, 555,25,20,0,0,0,6,250000,4,2,128,4,5000
"0_0_0_0",3,3511,53,7,10,3194,158,2329,2317,7,5,1,13,44,73,0,13, 554,25,19,0,0,0,6,250000,4,2,128,4,5000
"0_0_0_0",31,4912,88,11,12,4521,215,2329,2317,7,5,0,53,11,29,0,11, 561,25,19,0,0,0,6,250000,4,2,128,4,5000
"0_0_1_0",30,1796,62,7,3,1560,75,2376,2331,7,5,1,59,47,33,0,22, 557,25,19,0,0,0,6,250000,4,2,256,4,5000
"0_0_1_0",26,1803,53,7,3,1567,75,2376,2331,6,5,1,59,55,31,0,23, 558,25,19,0,0,0,6,250000,4,2,256,4,5000
"0_0_1_0",7,1810,53,7,4,1570,80,2376,2331,6,5,1,57,56,36,0,20, 559,25,19,0,0,0,6,250000,4,2,256,4,5000
"0_0_1_0",24,3394,54,7,8,3067,157,2376,2331,8,5,1,54,52,41,0,19, 551,25,19,0,0,0,6,250000,4,2,256,4,5000
"0_0_1_0",28,3397,27,3,8,3073,156,2376,2332,7,5,1,17,80,83,0,18, 550,25,20,0,0,0,6,250000,4,2,256,4,5000
"0_0_1_0",6,3400,27,3,9,3078,153,2376,2332,6,5,1,23,82,75,0,18, 553,25,19,0,0,0,6,250000,4,2,256,4,5000
"0_0_1_0",29,3402,53,7,8,3080,153,2376,2331,5,5,1,24,53,73,0,18, 554,25,19,0,0,0,6,250000,4,2,256,4,5000
"0_0_1_0",23,3419,54,7,8,3086,158,2376,2331,5,5,1,57,50,36,0,24, 556,25,19,0,0,0,6,250000,4,2,256,4,5000
"0_0_1_0",5,3420,54,7,8,3099,148,2376,2331,6,5,1,59,52,34,0,21, 556,25,19,0,0,0,6,250000,4,2,256,4,5000
