
experiment_id,rank,runtime,p2m,m2m,l2l,m2l,p2p,source_tree,target_tree,source_domain,target_domain,layout,ghost_exchange_v,ghost_exchange_v_runtime,ghost_exchange_u,gather_global_fmm,scatter_global_fmm,source_to_target_data,source_data,target_data,global_fmm,ghost_fmm_v,ghost_fmm_u,displacement_map,metadata_creation,expansion_order,n_points,local_depth,global_depth,block_size,n_threads,n_samples
"0_0_0_0_0",0,237,6,0,0,158,46,2258,2266,5,4,1,74,14,16,3,0, 380,0,0,0,0,0, 1, 150, 3,250000,4,2,16,4,500
"0_0_0_0_0",29,252,6,0,0,173,50,2258,2266,4,4,1,68,12,25,0,4, 383,1,0,0,0,0, 1, 151, 3,250000,4,2,16,4,500
"0_0_0_0_0",5,454,6,0,1,328,97,2258,2266,6,3,1,60,10,34,0,4, 381,1,0,0,0,0, 2, 155, 3,250000,4,2,16,4,500
"0_0_0_0_0",27,452,6,0,1,329,95,2258,2266,5,4,1,34,9,63,0,3, 383,1,0,0,0,0, 2, 155, 3,250000,4,2,16,4,500
"0_0_0_0_0",18,453,6,0,0,333,95,2258,2266,5,3,1,31,8,66,0,3, 382,1,0,0,0,0, 2, 156, 3,250000,4,2,16,4,500
"0_0_0_0_0",13,457,6,0,1,331,97,2258,2266,5,3,1,62,10,33,0,4, 382,0,0,0,0,0, 2, 154, 3,250000,4,2,16,4,500
"0_0_0_0_0",9,457,6,0,1,329,98,2258,2266,5,3,1,62,10,33,0,4, 382,1,0,0,0,0, 2, 154, 3,250000,4,2,16,4,500
"0_0_0_0_0",31,461,9,1,1,334,96,2258,2266,5,3,1,69,8,23,0,4, 383,1,0,0,0,0, 2, 150, 3,250000,4,2,16,4,500
"0_0_0_0_0",22,457,6,0,1,332,98,2258,2266,4,3,1,32,9,65,0,3, 383,1,0,0,0,0, 2, 155, 3,250000,4,2,16,4,500
"0_0_0_0_0",23,457,6,0,0,332,99,2258,2266,4,3,1,28,8,70,0,3, 383,1,0,0,0,0, 2, 157, 3,250000,4,2,16,4,500
"0_0_0_0_0",19,458,6,0,0,327,105,2258,2266,5,3,1,28,8,70,0,2, 382,1,0,0,0,0, 2, 157, 3,250000,4,2,16,4,500
"0_0_0_0_0",14,459,6,0,1,333,99,2258,2266,5,4,1,60,8,37,0,3, 382,1,0,0,0,0, 2, 156, 3,250000,4,2,16,4,500
"0_0_0_0_0",7,460,6,0,1,328,104,2258,2266,5,4,1,58,8,39,0,4, 381,1,0,0,0,0, 2, 157, 3,250000,4,2,16,4,500
"0_0_0_0_0",12,460,6,0,1,331,102,2258,2266,5,4,1,58,8,39,0,3, 382,1,0,0,0,0, 2, 157, 3,250000,4,2,16,4,500
"0_0_0_0_0",6,460,6,0,1,332,101,2258,2266,5,3,1,60,9,37,0,3, 381,0,0,0,0,0, 2, 157, 3,250000,4,2,16,4,500
"0_0_0_0_0",11,461,6,0,1,332,103,2258,2266,5,3,1,59,8,39,0,3, 381,0,0,0,0,0, 2, 157, 3,250000,4,2,16,4,500
"0_0_0_0_0",15,463,6,0,1,333,103,2258,2266,5,4,1,57,9,39,0,3, 383,1,0,0,0,0, 2, 156, 3,250000,4,2,16,4,500
"0_0_0_0_0",4,460,3,0,1,338,100,2258,2266,5,3,1,19,9,81,0,3, 381,1,0,0,0,0, 1, 161, 3,250000,4,2,16,4,500
"0_0_0_0_0",26,462,6,0,1,338,99,2258,2266,4,4,1,26,6,73,0,3, 383,1,0,0,0,0, 2, 157, 3,250000,4,2,16,4,500
"0_0_0_0_0",8,465,6,0,1,336,101,2258,2266,5,3,1,61,8,36,0,4, 381,1,0,0,0,0, 2, 157, 3,250000,4,2,16,4,500
"0_0_0_0_0",1,464,6,0,1,341,97,2258,2266,6,4,1,31,7,67,0,3, 381,0,0,0,0,0, 2, 159, 3,250000,4,2,16,4,500
"0_0_0_0_0",25,465,6,0,1,341,99,2258,2266,5,3,1,27,7,71,0,3, 383,1,0,0,0,0, 2, 156, 3,250000,4,2,16,4,500
"0_0_0_0_0",20,466,6,0,1,341,99,2258,2266,4,3,1,26,8,72,0,2, 383,1,0,0,0,0, 2, 157, 3,250000,4,2,16,4,500
"0_0_0_0_0",24,464,6,0,0,337,104,2258,2266,4,3,1,20,6,80,0,2, 383,1,0,0,0,0, 2, 158, 3,250000,4,2,16,4,500
"0_0_0_0_0",2,466,6,0,1,343,99,2258,2266,5,4,1,23,8,77,0,2, 380,0,0,0,0,0, 2, 160, 3,250000,4,2,16,4,500
"0_0_0_0_0",10,470,6,0,1,342,101,2258,2266,5,3,1,60,8,36,0,4, 382,1,0,0,0,0, 2, 156, 3,250000,4,2,16,4,500
"0_0_0_0_0",3,467,7,0,1,341,102,2258,2266,5,3,1,24,6,76,0,1, 381,1,0,0,0,0, 2, 160, 3,250000,4,2,16,4,500
"0_0_0_0_0",17,469,6,0,1,341,104,2258,2266,5,4,1,22,7,78,0,2, 383,1,0,0,0,0, 2, 158, 3,250000,4,2,16,4,500
"0_0_0_0_0",21,469,6,0,0,342,103,2258,2266,5,4,1,23,7,76,0,2, 383,1,0,0,0,0, 2, 158, 3,250000,4,2,16,4,500
"0_0_0_0_0",28,469,6,0,0,342,102,2258,2266,5,4,1,19,6,81,0,2, 383,1,0,0,0,0, 2, 158, 3,250000,4,2,16,4,500
"0_0_0_0_0",30,651,6,0,1,480,148,2258,2266,4,4,1,18,5,83,0,1, 383,1,0,0,0,0, 3, 160, 3,250000,4,2,16,4,500
