
experiment_id,rank,runtime,p2m,m2m,l2l,m2l,p2p,source_tree,target_tree,source_domain,target_domain,layout,ghost_exchange_v,ghost_exchange_v_runtime,ghost_exchange_u,gather_global_fmm,scatter_global_fmm,source_to_target_data,source_data,target_data,global_fmm,ghost_fmm_v,ghost_fmm_u,displacement_map,metadata_creation,expansion_order,n_points,local_depth,global_depth,block_size,n_threads,n_samples
"0",14,6784,77,13,27,3928,2556,74311,73812,121,120,2,906,115,399,0,21, 381,0,0,0,0,0,29,3207, 3,9600000,5,2,128,8,500
"0",4,8776,69,13,24,5233,3273,74311,73813,122,120,1,234,90,1110,0,13, 380,0,0,0,0,0,31,3247, 3,9600000,5,2,128,8,500
"0",6,8795,69,13,27,5260,3267,74311,73813,123,120,1,250,85,1095,0,12, 380,0,0,0,0,0,36,3248, 3,9600000,5,2,128,8,500
"0",0,8837,71,13,33,5255,3271,74311,73813,122,120,0,1024,109,282,23,0, 380,0,0,0,0,0,38,3208, 3,9600000,5,2,128,8,500
"0",11,8845,88,16,32,5270,3264,74312,73812,123,120,0,1026,90,276,0,24, 381,0,0,0,0,0,40,3205, 3,9600000,5,2,128,8,500
"0",2,8809,81,13,38,5258,3272,74311,73813,123,120,0,226,80,1118,0,6, 380,1,0,0,0,0,37,3247, 3,9600000,5,2,128,8,500
"0",13,8831,69,13,25,5298,3266,74311,73813,122,120,0,259,90,1083,0,11, 381,1,0,0,0,0,36,3244, 3,9600000,5,2,128,8,500
"0",9,8906,107,17,39,5322,3266,74312,73813,122,120,0,1030,78,272,0,17, 380,1,0,0,0,0,39,3205, 3,9600000,5,2,128,8,500
"0",12,8874,53,10,22,5243,3378,74310,73814,122,120,0,122,101,1236,0,6, 381,0,0,0,0,0,34,3260, 3,9600000,5,2,128,8,500
"0",8,8937,111,14,40,5266,3405,74311,73813,122,120,0,130,37,1227,0,1, 380,0,0,0,0,0,39,3260, 3,9600000,5,2,128,8,500
"0",7,8948,84,13,40,5296,3378,74311,73813,123,120,1,165,69,1187,0,5, 381,1,0,0,0,0,37,3255, 3,9600000,5,2,128,8,500
"0",1,8961,62,11,39,5315,3372,74310,73814,124,120,0,127,95,1229,0,6, 380,1,0,0,0,0,33,3258, 3,9600000,5,2,128,8,500
"0",5,8994,70,13,27,5354,3379,74311,73813,121,120,0,146,87,1205,0,4, 380,1,0,0,0,0,36,3255, 3,9600000,5,2,128,8,500
"0",3,9032,74,13,23,5302,3483,74311,73813,123,120,0,141,74,1210,0,2, 380,1,0,0,0,0,46,3255, 3,9600000,5,2,128,8,500
"0",10,9044,56,9,26,5301,3481,74310,73814,122,120,0,138,101,1217,0,7, 381,1,0,0,0,0,33,3257, 3,9600000,5,2,128,8,500
"0",15,10885,104,16,46,6484,4086,74311,73813,121,120,0,974,54,348,0,22, 381,1,0,0,0,0,43,3224, 3,9600000,5,2,128,8,500
"1",0,4895,23,0,0,156,4676,42275,43840,65,62,2,1295,14,198,5,0, 385,1,0,0,0,0,2,2272, 3,4800000,4,2,128,8,500
"1",14,5572,19,0,0,165,5348,42275,43840,64,62,2,1046,18,450,0,3, 385,1,0,0,0,0,2,2276, 3,4800000,4,2,128,8,500
"1",13,9935,19,1,1,322,9544,42275,43841,65,62,1,395,14,1105,0,3, 387,1,0,0,0,0,2,2278, 3,4800000,4,2,128,8,500
"1",9,9945,19,0,1,323,9555,42275,43841,63,62,1,397,14,1103,0,3, 385,1,0,0,0,0,2,2280, 3,4800000,4,2,128,8,500
"1",31,9961,31,1,1,324,9565,42276,43841,64,62,0,1177,4,319,0,2, 390,1,0,0,0,0,3,2272, 3,4800000,4,2,128,8,500
"1",23,10127,22,0,1,325,9732,42275,43841,64,62,0,994,12,504,0,3, 388,1,0,0,0,0,3,2276, 3,4800000,4,2,128,8,500
"1",19,10142,22,0,1,322,9749,42275,43841,63,62,0,998,12,500,0,3, 389,1,0,0,0,0,3,2274, 3,4800000,4,2,128,8,500
"1",1,10140,11,0,1,319,9754,42273,43843,65,62,0,230,22,1272,0,3, 384,1,0,0,0,0,2,2281, 3,4800000,4,2,128,8,500
"1",27,10162,22,0,1,320,9771,42275,43841,63,62,0,989,12,509,0,3, 388,1,0,0,0,0,2,2276, 3,4800000,4,2,128,8,500
"1",16,10164,19,0,1,321,9772,42275,43841,63,62,0,986,15,513,0,3, 389,1,0,0,0,0,2,2275, 3,4800000,4,2,128,8,500
"1",5,10169,19,0,1,325,9774,42275,43841,64,62,1,994,13,504,0,5, 384,1,0,0,0,0,2,2279, 3,4800000,4,2,128,8,500
"1",6,10354,19,1,1,321,9963,42275,43841,65,62,1,922,12,578,0,5, 385,1,0,0,0,0,2,2280, 3,4800000,4,2,128,8,500
"1",30,10363,25,0,1,326,9970,42275,43841,64,62,0,272,7,1230,0,1, 388,1,0,0,0,0,2,2280, 3,4800000,4,2,128,8,500
"1",22,10372,21,1,1,323,9980,42275,43841,64,62,1,910,12,590,0,2, 387,1,0,0,0,0,3,2278, 3,4800000,4,2,128,8,500
"1",12,10376,19,0,1,329,9979,42275,43841,64,62,1,238,13,1263,0,2, 385,1,0,0,0,0,2,2281, 3,4800000,4,2,128,8,500
"1",24,10378,19,0,1,324,9986,42275,43841,63,62,0,920,14,580,0,2, 387,1,0,0,0,0,2,2278, 3,4800000,4,2,128,8,500
"1",26,10379,27,1,1,322,9988,42275,43841,63,62,0,919,6,581,0,2, 388,1,0,0,0,0,2,2278, 3,4800000,4,2,128,8,500
"1",2,10381,22,1,1,320,9992,42275,43841,65,62,1,926,10,574,0,3, 384,1,0,0,0,0,2,2281, 3,4800000,4,2,128,8,500
"1",8,10384,21,0,1,325,9991,42275,43841,63,62,1,223,11,1279,0,2, 385,1,0,0,0,0,2,2281, 3,4800000,4,2,128,8,500
"1",18,10416,25,1,1,325,10023,42275,43841,64,62,0,902,8,598,0,3, 387,1,0,0,0,0,2,2278, 3,4800000,4,2,128,8,500
"1",11,10454,19,0,1,323,10064,42275,43841,64,62,1,278,13,1223,0,2, 385,1,0,0,0,0,2,2281, 3,4800000,4,2,128,8,500
"1",15,10590,22,0,1,322,10200,42275,43841,64,62,1,862,11,638,0,3, 385,1,0,0,0,0,3,2280, 3,4800000,4,2,128,8,500
"1",20,10603,21,0,1,323,10211,42275,43841,62,62,1,865,11,635,0,2, 387,1,0,0,0,0,3,2279, 3,4800000,4,2,128,8,500
"1",28,10604,19,0,1,324,10212,42275,43841,64,62,0,849,13,652,0,2, 388,1,0,0,0,0,2,2278, 3,4800000,4,2,128,8,500
"1",3,10606,23,0,1,323,10214,42275,43841,64,62,1,873,9,627,0,3, 384,1,0,0,0,0,3,2281, 3,4800000,4,2,128,8,500
"1",21,10624,23,0,1,327,10228,42275,43841,63,62,1,851,10,649,0,2, 387,1,0,0,0,0,2,2278, 3,4800000,4,2,128,8,500
"1",4,10625,21,0,1,322,10234,42275,43841,64,62,1,865,10,636,0,3, 384,1,0,0,0,0,2,2282, 3,4800000,4,2,128,8,500
"1",17,10657,22,1,1,325,10263,42275,43841,63,62,0,877,12,623,0,2, 387,1,0,0,0,0,2,2278, 3,4800000,4,2,128,8,500
"1",10,10835,22,0,1,328,10442,42275,43841,63,62,1,100,8,1403,0,2, 385,1,0,0,0,0,2,2283, 3,4800000,4,2,128,8,500
"1",25,11082,22,1,1,321,10692,42275,43841,63,62,0,861,12,640,0,2, 387,1,0,0,0,0,2,2278, 3,4800000,4,2,128,8,500
"1",29,15610,21,0,1,473,15060,42275,43842,64,62,0,131,8,1374,0,1, 388,1,0,0,0,0,3,2282, 3,4800000,4,2,128,8,500
"1",7,15883,19,1,1,474,15331,42275,43842,64,62,0,17,10,1488,0,2, 385,1,0,0,0,0,3,2285, 3,4800000,4,2,128,8,500
"2",0,1453,0,0,0,0,0,28136,28657,34,32,2,0,0,0,1451,0, 371,1,0,0,0,0,0,627, 3,2400000,4,2,128,8,500
"2",7,39,14,0,0,0,0,28137,28656,34,32,2,1318,19,95,2,2, 387,1,0,0,0,0,0,2025, 3,2400000,4,2,128,8,500
"2",14,38,10,0,0,0,0,28137,28656,34,32,2,1317,22,97,2,2, 386,1,0,0,0,0,0,2027, 3,2400000,4,2,128,8,500
"2",17,38,16,0,0,0,0,28137,28656,34,32,2,1327,17,87,2,2, 385,1,0,0,0,0,1,2028, 3,2400000,4,2,128,8,500
"2",62,39,11,0,0,0,0,28136,28656,33,32,2,1316,21,97,2,2, 379,1,0,0,0,0,0,2034, 3,2400000,4,2,128,8,500
"2",22,39,11,0,0,0,0,28137,28656,34,32,2,1318,22,95,2,2, 384,1,0,0,0,0,0,2029, 3,2400000,4,2,128,8,500
"2",30,39,14,0,0,0,0,28137,28656,34,32,2,1315,19,99,2,2, 383,1,0,0,0,0,0,2030, 3,2400000,4,2,128,8,500
"2",9,4871,10,0,0,160,4660,28137,28657,33,32,1,1177,19,240,2,2, 387,1,0,0,0,0,1,2029, 3,2400000,4,2,128,8,500
"2",54,4867,11,0,0,164,4656,28137,28658,33,32,1,397,15,1025,1,2, 380,1,0,0,0,0,1,2041, 3,2400000,4,2,128,8,500
"2",45,4909,10,0,0,165,4695,28137,28657,33,32,1,1195,18,223,2,2, 382,1,0,0,0,0,1,2036, 3,2400000,4,2,128,8,500
"2",50,5022,0,0,0,89,4888,28136,28658,34,32,1,328,25,1096,1,2, 382,1,0,0,0,0,1,2042, 3,2400000,4,2,128,8,500
"2",4,5082,10,0,0,159,4872,28137,28657,33,32,1,1132,18,286,2,2, 388,1,0,0,0,0,1,2029, 3,2400000,4,2,128,8,500
"2",61,5078,14,0,0,164,4868,28136,28658,34,32,1,377,10,1045,0,2, 380,1,0,0,0,0,1,2043, 3,2400000,4,2,128,8,500
"2",11,5083,10,0,0,161,4872,28137,28657,33,32,1,1123,18,295,2,2, 387,1,0,0,0,0,1,2030, 3,2400000,4,2,128,8,500
"2",41,5084,9,0,0,162,4872,28137,28657,34,32,1,1133,18,286,2,2, 383,1,0,0,0,0,1,2036, 3,2400000,4,2,128,8,500
"2",47,5085,13,0,0,163,4871,28137,28657,32,32,1,1134,14,284,2,2, 382,1,0,0,0,0,1,2037, 3,2400000,4,2,128,8,500
"2",2,5084,9,0,0,162,4876,28136,28657,34,32,1,345,16,1076,1,2, 388,1,0,0,0,0,1,2033, 3,2400000,4,2,128,8,500
"2",33,5087,11,0,0,163,4877,28137,28658,33,32,1,371,13,1052,1,2, 383,1,0,0,0,0,1,2039, 3,2400000,4,2,128,8,500
"2",38,5091,10,0,0,163,4879,28137,28657,33,32,1,1125,17,294,2,2, 383,1,0,0,0,0,1,2036, 3,2400000,4,2,128,8,500
"2",59,5090,11,0,0,165,4880,28136,28657,34,32,1,361,13,1062,0,2, 380,1,0,0,0,0,1,2043, 3,2400000,4,2,128,8,500
"2",37,5098,10,0,0,160,4888,28137,28657,32,32,1,1129,17,290,2,2, 383,1,0,0,0,0,1,2036, 3,2400000,4,2,128,8,500
"2",44,5099,10,0,0,164,4886,28137,28658,33,32,1,1127,17,291,2,2, 383,1,0,0,0,0,1,2036, 3,2400000,4,2,128,8,500
"2",55,5096,9,0,0,164,4886,28137,28658,33,32,1,368,16,1055,0,2, 380,1,0,0,0,0,1,2042, 3,2400000,4,2,128,8,500
"2",32,5099,10,0,0,164,4890,28137,28657,33,32,1,318,14,1104,1,1, 384,1,0,0,0,0,1,2039, 3,2400000,4,2,128,8,500
"2",13,5105,10,0,0,161,4893,28137,28657,33,32,1,1124,17,294,2,2, 387,1,0,0,0,0,1,2031, 3,2400000,4,2,128,8,500
"2",52,5101,11,0,0,163,4894,28137,28657,35,32,1,325,13,1098,0,2, 381,1,0,0,0,0,1,2043, 3,2400000,4,2,128,8,500
"2",23,5104,10,0,0,166,4893,28137,28657,35,32,1,374,14,1049,1,2, 385,1,0,0,0,0,1,2038, 3,2400000,4,2,128,8,500
