
experiment_id,rank,runtime,p2m,m2m,l2l,m2l,p2p,source_tree,target_tree,source_domain,target_domain,layout,ghost_exchange_v,ghost_exchange_v_runtime,ghost_exchange_u,gather_global_fmm,scatter_global_fmm,source_to_target_data,source_data,target_data,global_fmm,ghost_fmm_v,ghost_fmm_u,displacement_map,metadata_creation,expansion_order,n_points,local_depth,global_depth,block_size,n_threads,n_samples
"0",2,0,0,0,0,0,0,60003,59929,73,73,2,0,0,0,0,0, 389,1,0,0,0,0, 0, 1027,3,5000000,5,1,128,4,500
"0",5,159,51,3,0,0,0,60005,59927,76,73,2,1910,103,127,0,0, 388,1,0,0,0,0, 2, 3066,3,5000000,5,1,128,4,500
"0",4,7662,50,3,6,1328,6116,60005,59929,74,73,1,1802,82,254,0,11, 388,1,0,0,0,0, 8, 3085,3,5000000,5,1,128,4,500
"0",0,7750,51,3,6,1344,6188,60005,59929,74,73,1,1798,83,257,11,0, 386,0,0,0,0,0, 8, 3085,3,5000000,5,1,128,4,500
"0",7,7945,51,3,6,1337,6393,60005,59929,74,73,1,1783,82,273,0,11, 388,1,0,0,0,0, 8, 3085,3,5000000,5,1,128,4,500
"0",1,7976,51,3,6,1353,6405,60005,59929,73,73,1,1779,83,276,0,11, 388,1,0,0,0,0, 7, 3084,3,5000000,5,1,128,4,500
"0",3,15229,106,6,13,2685,12281,60007,59928,73,73,0,1765,4,302,0,10, 387,1,0,0,0,0, 14, 3098,3,5000000,5,1,128,4,500
"0",6,15225,51,3,13,2694,12309,60005,59930,74,73,0,74,36,2035,0,0, 388,1,0,0,0,0, 12, 3137,3,5000000,5,1,128,4,500
"1",8,6072,112,14,21,4034,1722,39028,38848,73,71,1,609,95,176,0,24, 380,0,0,0,0,0, 26, 1849,3,5000000,5,2,128,4,500
"1",9,7999,113,15,32,5365,2357,39028,38849,74,71,0,163,45,683,0,5, 380,0,0,0,0,0, 31, 1910,3,5000000,5,2,128,4,500
"1",15,8068,112,16,31,5505,2247,39028,38849,73,71,0,625,71,177,0,24, 380,1,0,0,0,0, 30, 1867,3,5000000,5,2,128,4,500
"1",0,8039,84,11,31,5497,2260,39027,38849,75,71,0,198,78,642,12,0, 379,0,0,0,0,0, 29, 1904,3,5000000,5,2,128,4,500
"1",4,8087,145,19,31,5517,2253,39028,38849,74,71,0,627,36,173,0,22, 380,1,0,0,0,0, 34, 1865,3,5000000,5,2,128,4,500
"1",7,8110,118,15,32,5481,2324,39027,38849,73,71,0,585,57,230,0,20, 380,1,0,0,0,0, 31, 1879,3,5000000,5,2,128,4,500
"1",13,8158,113,16,31,5533,2307,39028,38849,72,71,0,627,69,176,0,24, 380,1,0,0,0,0, 31, 1867,3,5000000,5,2,128,4,500
"1",6,8170,113,16,30,5537,2315,39028,38849,73,71,0,630,68,174,0,25, 380,1,0,0,0,0, 31, 1868,3,5000000,5,2,128,4,500
"1",10,8122,115,15,31,5470,2388,39028,38849,72,71,0,125,39,730,0,1, 380,0,0,0,0,0, 31, 1919,3,5000000,5,2,128,4,500
"1",5,8165,117,15,33,5506,2355,39028,38849,74,71,0,587,53,229,0,22, 380,0,0,0,0,0, 32, 1880,3,5000000,5,2,128,4,500
"1",2,8208,145,20,32,5568,2323,39028,38848,73,71,0,632,35,169,0,22, 380,1,0,0,0,0, 35, 1865,3,5000000,5,2,128,4,500
"1",12,8209,116,16,32,5537,2367,39027,38849,74,71,0,580,56,236,0,19, 380,1,0,0,0,0, 31, 1880,3,5000000,5,2,128,4,500
"1",1,8178,115,15,34,5528,2375,39028,38849,73,71,0,153,42,695,0,5, 380,1,0,0,0,0, 31, 1913,3,5000000,5,2,128,4,500
"1",14,8230,116,15,32,5537,2387,39028,38849,72,71,0,588,59,227,0,19, 380,1,0,0,0,0, 31, 1879,3,5000000,5,2,128,4,500
"1",3,8232,88,12,32,5558,2398,39027,38850,73,71,0,148,69,701,0,9, 380,1,0,0,0,0, 29, 1914,3,5000000,5,2,128,4,500
"1",11,9749,112,14,38,6623,2849,39028,38849,72,71,0,172,31,687,0,4, 380,0,0,0,0,0, 36, 1923,3,5000000,5,2,128,4,500
"2",28,3438,35,3,4,1347,1872,47024,46434,74,72,4,1076,118,290,0,19, 388,1,0,0,0,0, 8, 2742,3,5000000,5,2,128,4,500
"2",7,3436,74,6,3,1359,1862,47027,46431,73,71,4,1076,73,290,0,19, 386,1,0,0,0,0, 10, 2744,3,5000000,5,2,128,4,500
"2",4,6458,107,10,8,2737,3490,47028,46433,74,71,1,1114,22,258,0,20, 385,1,0,0,0,0, 18, 2752,3,5000000,5,2,128,4,500
"2",0,6465,73,7,16,2735,3491,47027,46435,74,71,1,1134,60,239,18,0, 386,1,0,0,0,0, 16, 2750,3,5000000,5,2,128,4,500
"2",16,6467,74,6,17,2741,3494,47027,46435,74,71,1,1039,54,341,0,18, 390,1,0,0,0,0, 15, 2755,3,5000000,5,2,128,4,500
"2",5,6500,69,6,9,2719,3554,47027,46434,74,72,1,1065,60,311,0,19, 385,1,0,0,0,0, 16, 2756,3,5000000,5,2,128,4,500
"2",10,6470,69,6,8,2750,3534,47027,46435,76,71,1,195,35,1224,0,3, 386,1,0,0,0,0, 15, 2798,3,5000000,5,2,128,4,500
"2",19,6524,74,7,14,2760,3530,47027,46435,75,71,1,1053,55,325,0,19, 390,1,0,0,0,0, 15, 2753,3,5000000,5,2,128,4,500
"2",9,6502,72,7,17,2787,3509,47027,46435,73,71,1,236,37,1172,0,8, 388,1,0,0,0,0, 15, 2784,3,5000000,5,2,128,4,500
"2",1,6536,69,7,9,2719,3587,47027,46434,74,71,1,1076,61,301,0,19, 385,1,0,0,0,0, 15, 2757,3,5000000,5,2,128,4,500
"2",6,6506,34,3,8,2725,3590,47024,46437,76,72,1,281,74,1136,0,8, 386,1,0,0,0,0, 12, 2795,3,5000000,5,2,128,4,500
"2",22,6536,69,6,9,2764,3552,47027,46434,74,72,1,1008,55,377,0,17, 388,1,0,0,0,0, 15, 2762,3,5000000,5,2,128,4,500
"2",14,6516,69,6,10,2779,3550,47027,46434,75,71,1,166,35,1254,0,3, 387,1,0,0,0,0, 15, 2798,3,5000000,5,2,128,4,500
"2",17,6560,69,6,9,2731,3611,47027,46434,75,72,1,989,54,399,0,16, 386,1,0,0,0,0, 15, 2766,3,5000000,5,2,128,4,500
"2",2,6574,68,6,10,2734,3612,47027,46434,77,71,1,1078,62,299,0,19, 385,1,0,0,0,0, 15, 2757,3,5000000,5,2,128,4,500
"2",26,6568,103,10,9,2733,3612,47028,46434,74,71,1,1034,23,347,0,13, 388,1,0,0,0,0, 18, 2758,3,5000000,5,2,128,4,500
"2",29,6562,69,6,9,2717,3630,47027,46434,74,71,1,998,52,390,0,16, 388,1,0,0,0,0, 16, 2766,3,5000000,5,2,128,4,500
"2",13,6547,73,7,17,2745,3596,47027,46435,74,72,1,202,37,1206,0,9, 388,1,0,0,0,0, 15, 2783,3,5000000,5,2,128,4,500
"2",24,6586,104,10,8,2762,3602,47028,46434,76,71,1,1032,23,348,0,13, 387,1,0,0,0,0, 17, 2758,3,5000000,5,2,128,4,500
"2",20,6598,69,6,10,2767,3614,47027,46434,75,71,1,1002,52,387,0,16, 387,1,0,0,0,0, 15, 2767,3,5000000,5,2,128,4,500
"2",12,6571,69,6,9,2782,3606,47027,46434,74,72,1,106,32,1317,0,2, 386,1,0,0,0,0, 15, 2802,3,5000000,5,2,128,4,500
"2",15,6581,35,3,9,2754,3640,47024,46437,74,71,1,90,71,1333,0,5, 386,1,0,0,0,0, 12, 2800,3,5000000,5,2,128,4,500
"2",3,6600,34,3,9,2760,3650,47024,46437,74,72,1,207,72,1214,0,7, 385,1,0,0,0,0, 13, 2799,3,5000000,5,2,128,4,500
"2",30,6659,103,10,8,2723,3713,47028,46433,73,72,1,1035,23,345,0,14, 388,1,0,0,0,0, 18, 2757,3,5000000,5,2,128,4,500
"2",18,6660,69,7,9,2729,3705,47027,46435,76,71,1,1011,57,371,0,18, 386,1,0,0,0,0, 15, 2760,3,5000000,5,2,128,4,500
"2",25,6628,34,3,16,2715,3720,47024,46437,75,71,1,152,75,1271,0,1, 388,1,0,0,0,0, 13, 2799,3,5000000,5,2,128,4,500
"2",8,6675,103,10,8,2763,3689,47028,46434,73,72,1,1040,23,341,0,14, 385,1,0,0,0,0, 17, 2760,3,5000000,5,2,128,4,500
"2",23,6694,68,6,9,2764,3705,47027,46435,74,71,1,1040,61,339,0,18, 387,1,0,0,0,0, 16, 2756,3,5000000,5,2,128,4,500
"2",11,6656,68,6,8,2756,3713,47027,46435,73,72,1,164,35,1256,0,4, 386,1,0,0,0,0, 15, 2798,3,5000000,5,2,128,4,500
"2",21,6701,69,6,10,2770,3714,47027,46435,75,71,1,978,53,411,0,16, 387,1,0,0,0,0, 15, 2766,3,5000000,5,2,128,4,500
"2",31,9526,72,7,25,4025,5280,47027,46435,75,72,0,297,22,1127,0,3, 390,1,0,0,0,0, 20, 2799,3,5000000,5,2,128,4,500
"2",27,9664,68,7,13,4000,5457,47027,46435,73,71,1,235,25,1191,0,3, 388,1,0,0,0,0, 19, 2803,3,5000000,5,2,128,4,500
"3",0,2547,0,0,0,0,0,59251,60793,74,71,6,0,0,0,2545,0, 378,1,1,0,0,0, 0, 1859,3,5000000,5,2,128,4,500
"3",29,188,52,3,0,0,0,59255,60789,74,71,6,2169,110,187,15,5, 394,2,0,0,0,0, 2, 4201,3,5000000,5,2,128,4,500
"3",51,187,53,3,0,0,0,59255,60789,75,71,6,2170,109,186,18,2, 392,2,0,0,0,0, 2, 4204,3,5000000,5,2,128,4,500
"3",32,187,55,3,0,0,0,59256,60789,73,71,6,2183,106,173,18,1, 394,1,1,0,0,0, 2, 4201,3,5000000,5,2,128,4,500
"3",61,187,51,3,0,0,0,59255,60789,76,71,6,2175,111,181,18,2, 390,2,0,0,0,0, 2, 4205,3,5000000,5,2,128,4,500
"3",7,7411,0,0,4,762,6466,59251,60798,74,71,2,298,110,2126,2,5, 398,1,1,0,0,0, 5, 4264,3,5000000,5,2,128,4,500
"3",45,7469,50,3,9,1371,5866,59255,60793,74,71,2,2068,89,307,16,2, 393,2,0,0,0,0, 8, 4222,3,5000000,5,2,128,4,500
"3",36,7471,50,3,4,1374,5873,59255,60793,73,70,2,2043,89,332,16,2, 391,2,0,0,0,0, 8, 4224,3,5000000,5,2,128,4,500
"3",54,7476,51,3,8,1369,5874,59255,60793,74,71,2,2046,88,328,16,2, 391,2,0,0,0,0, 7, 4223,3,5000000,5,2,128,4,500
"3",18,7480,53,3,8,1363,5887,59255,60793,74,71,2,2070,86,304,13,5, 396,1,1,0,0,0, 8, 4218,3,5000000,5,2,128,4,500
"3",9,7464,50,3,8,1394,5877,59255,60793,76,71,2,539,61,1872,3,5, 398,2,0,0,0,0, 8, 4254,3,5000000,5,2,128,4,500
"3",63,7501,50,3,8,1362,5911,59255,60793,73,71,2,2049,89,326,16,2, 390,2,0,0,0,0, 7, 4226,3,5000000,5,2,128,4,500
"3",27,7517,51,3,8,1386,5899,59255,60793,75,71,2,2059,89,315,13,5, 394,2,0,0,0,0, 8, 4219,3,5000000,5,2,128,4,500
"3",2,7669,51,3,7,1366,6074,59255,60793,77,71,2,2019,88,357,12,5, 398,2,0,0,0,0, 8, 4218,3,5000000,5,2,128,4,500
"3",47,7671,51,3,10,1377,6061,59256,60793,75,71,2,2011,87,366,16,2, 392,2,0,0,0,0, 7, 4224,3,5000000,5,2,128,4,500
"3",41,7672,51,3,9,1373,6070,59256,60793,75,71,2,2016,86,360,15,2, 393,1,1,0,0,0, 8, 4224,3,5000000,5,2,128,4,500
"3",13,7678,50,3,8,1381,6069,59255,60793,75,71,2,2002,88,374,12,5, 397,2,0,0,0,0, 8, 4219,3,5000000,5,2,128,4,500
"3",37,7679,50,3,9,1377,6071,59255,60793,74,71,2,1992,87,385,15,2, 394,2,0,0,0,0, 7, 4223,3,5000000,5,2,128,4,500
"3",11,7679,51,3,6,1384,6068,59255,60793,74,71,2,2000,87,376,12,5, 397,2,0,0,0,0, 8, 4219,3,5000000,5,2,128,4,500
"3",44,7682,51,3,11,1384,6067,59255,60793,74,71,2,1989,86,388,16,2, 393,1,1,0,0,0, 8, 4224,3,5000000,5,2,128,4,500
"3",33,7646,52,3,8,1391,6063,59255,60793,75,71,2,470,57,1945,6,2, 394,1,1,0,0,0, 7, 4260,3,5000000,5,2,128,4,500
"3",59,7684,51,3,9,1381,6073,59255,60793,74,71,2,2014,87,362,15,2, 391,2,1,0,0,0, 8, 4226,3,5000000,5,2,128,4,500
"3",8,7645,52,3,8,1385,6070,59255,60793,75,71,2,395,56,2022,2,5, 397,2,1,0,0,0, 8, 4259,3,5000000,5,2,128,4,500
"3",4,7735,51,3,4,1365,6145,59255,60793,74,71,2,2019,88,357,12,5, 395,2,0,0,0,0, 8, 4221,3,5000000,5,2,128,4,500
"3",50,7831,51,3,10,1338,6262,59255,60793,75,71,2,2023,86,354,16,2, 392,2,0,0,0,0, 8, 4225,3,5000000,5,2,128,4,500
"3",60,7851,52,3,10,1359,6266,59256,60793,73,71,2,1974,83,407,15,2, 390,2,0,0,0,0, 8, 4230,3,5000000,5,2,128,4,500
"3",6,7861,51,3,8,1368,6267,59255,60793,76,71,2,1951,84,429,11,5, 397,2,0,0,0,0, 8, 4223,3,5000000,5,2,128,4,500
"3",16,7865,51,3,9,1369,6266,59255,60793,75,71,2,2023,86,353,12,5, 397,2,1,0,0,0, 8, 4219,3,5000000,5,2,128,4,500
"3",15,7862,51,3,9,1373,6262,59255,60793,75,71,2,1948,83,433,11,5, 397,2,0,0,0,0, 8, 4224,3,5000000,5,2,128,4,500
"3",38,7867,51,3,6,1378,6262,59255,60793,74,71,2,1992,86,385,16,2, 394,2,0,0,0,0, 8, 4223,3,5000000,5,2,128,4,500
"3",58,7864,52,3,10,1377,6259,59255,60793,74,71,2,1940,83,441,15,2, 391,1,1,0,0,0, 7, 4230,3,5000000,5,2,128,4,500
"3",23,7868,52,3,9,1370,6270,59255,60793,76,71,2,1966,83,415,11,5, 395,2,0,0,0,0, 8, 4225,3,5000000,5,2,128,4,500
"3",22,7874,51,3,8,1369,6273,59255,60793,75,71,2,2021,87,355,12,5, 395,2,1,0,0,0, 8, 4221,3,5000000,5,2,128,4,500
"3",30,7838,51,3,5,1378,6270,59255,60793,78,71,2,302,61,2110,2,5, 394,1,1,0,0,0, 8, 4258,3,5000000,5,2,128,4,500
"3",5,7872,52,3,9,1378,6267,59255,60793,75,71,2,1952,84,429,10,5, 397,2,0,0,0,0, 8, 4223,3,5000000,5,2,128,4,500
"3",40,7874,53,3,6,1386,6263,59255,60793,73,71,2,1944,82,437,15,2, 393,2,0,0,0,0, 7, 4227,3,5000000,5,2,128,4,500
"3",3,7873,51,3,9,1371,6275,59255,60793,74,71,2,1970,83,411,11,5, 397,1,1,0,0,0, 8, 4223,3,5000000,5,2,128,4,500
"3",48,7876,51,3,10,1366,6282,59255,60793,74,71,2,1947,84,434,15,2, 392,2,0,0,0,0, 8, 4229,3,5000000,5,2,128,4,500
"3",20,7876,52,3,9,1382,6269,59255,60793,74,71,2,1945,83,436,11,5, 396,2,1,0,0,0, 8, 4225,3,5000000,5,2,128,4,500
"3",25,7886,51,3,8,1381,6273,59255,60793,75,71,2,2011,87,366,12,5, 395,2,0,0,0,0, 8, 4221,3,5000000,5,2,128,4,500
"3",43,7883,51,3,10,1374,6282,59255,60793,73,71,2,1966,84,415,14,2, 393,2,0,0,0,0, 7, 4229,3,5000000,5,2,128,4,500
"3",57,7894,51,3,10,1393,6275,59256,60793,73,71,2,1946,82,435,15,2, 391,2,0,0,0,0, 8, 4230,3,5000000,5,2,128,4,500
"3",10,7893,106,7,3,1379,6295,59257,60792,74,71,2,1951,20,429,10,5, 397,1,1,0,0,0, 10, 4225,3,5000000,5,2,128,4,500
"3",39,7965,52,3,10,1388,6348,59255,60793,73,71,2,1946,83,435,15,2, 393,2,0,0,0,0, 7, 4227,3,5000000,5,2,128,4,500
"3",17,8046,51,3,9,1360,6459,59255,60793,74,71,2,1950,83,430,12,5, 396,2,0,0,0,0, 8, 4224,3,5000000,5,2,128,4,500
"3",19,8054,51,3,8,1375,6448,59255,60793,75,71,2,2016,87,360,12,5, 396,1,1,0,0,0, 8, 4220,3,5000000,5,2,128,4,500
"3",55,8059,51,3,9,1357,6471,59255,60793,75,71,2,1992,86,385,16,2, 391,2,0,0,0,0, 7, 4226,3,5000000,5,2,128,4,500
"3",53,8060,52,3,10,1373,6459,59255,60793,74,71,2,1953,82,428,15,2, 391,2,0,0,0,0, 8, 4229,3,5000000,5,2,128,4,500
"3",46,8061,51,3,10,1374,6458,59255,60793,76,71,2,1967,83,414,15,2, 392,2,0,0,0,0, 8, 4228,3,5000000,5,2,128,4,500
"3",49,8059,52,3,10,1355,6479,59255,60793,74,71,2,1891,80,493,14,2, 392,2,0,0,0,0, 8, 4232,3,5000000,5,2,128,4,500
"3",35,8068,52,3,9,1358,6484,59255,60793,74,71,2,1898,80,487,14,2, 394,2,0,0,0,0, 7, 4230,3,5000000,5,2,128,4,500
"3",12,8070,51,3,8,1390,6456,59255,60793,75,71,2,1945,83,436,10,5, 397,1,1,0,0,0, 8, 4225,3,5000000,5,2,128,4,500
"3",24,8071,51,3,9,1364,6479,59255,60793,76,71,2,1966,83,416,11,5, 395,2,0,0,0,0, 7, 4226,3,5000000,5,2,128,4,500
"3",21,8073,52,3,6,1379,6471,59255,60793,75,71,2,1892,81,491,11,5, 396,2,0,0,0,0, 8, 4228,3,5000000,5,2,128,4,500
"3",26,8084,52,3,8,1386,6468,59255,60793,74,71,2,2012,87,364,12,5, 395,2,0,0,0,0, 8, 4222,3,5000000,5,2,128,4,500
"3",42,8080,52,3,9,1366,6489,59255,60793,74,71,2,1887,79,498,14,2, 393,1,1,0,0,0, 8, 4231,3,5000000,5,2,128,4,500
"3",56,8082,59,3,10,1378,6481,59255,60793,73,71,2,1887,72,497,14,2, 391,2,0,0,0,0, 8, 4233,3,5000000,5,2,128,4,500
"3",14,8100,52,3,8,1394,6480,59255,60793,75,71,2,1884,81,499,11,5, 397,2,0,0,0,0, 8, 4226,3,5000000,5,2,128,4,500
"3",28,8168,52,3,8,1366,6579,59255,60793,74,71,2,1899,80,485,11,5, 394,2,0,0,0,0, 8, 4230,3,5000000,5,2,128,4,500
"3",1,14891,106,7,16,2674,11949,59257,60793,75,71,1,1987,6,404,10,5, 397,1,0,0,0,0, 15, 4236,3,5000000,5,2,128,4,500
"3",52,15288,51,3,14,2729,12338,59255,60794,73,71,1,200,30,2244,1,2, 392,1,1,0,0,0, 12, 4292,3,5000000,5,2,128,4,500
"3",34,15439,51,3,16,2681,12537,59255,60794,75,71,1,94,29,2351,0,2, 394,2,0,0,0,0, 13, 4290,3,5000000,5,2,128,4,500
"3",31,15467,51,3,17,2697,12540,59255,60794,73,71,1,241,32,2198,0,5, 394,2,0,0,0,0, 13, 4285,3,5000000,5,2,128,4,500
"3",62,15484,51,3,18,2709,12549,59255,60794,73,71,1,291,29,2151,4,2, 390,2,0,0,0,0, 12, 4291,3,5000000,5,2,128,4,500
"4",45,6176,116,14,23,3973,1764,39759,40326,75,72,3,1232,158,291,62,14, 390,1,0,0,0,0, 27, 3506,3,5000000,5,3,128,4,500
"4",64,6191,112,16,25,4053,1728,39758,40326,76,72,3,810,156,743,37,14, 387,1,0,0,0,0, 26, 3540,3,5000000,5,3,128,4,500
"4",61,6188,117,16,12,4039,1758,39758,40326,75,72,3,803,153,758,27,14, 388,1,0,0,0,0, 25, 3546,3,5000000,5,3,128,4,500
"4",94,6195,116,16,25,4062,1731,39758,40326,73,72,3,749,138,815,41,14, 383,1,0,0,0,0, 25, 3553,3,5000000,5,3,128,4,500
"4",52,6219,88,12,25,4084,1729,39757,40327,74,72,3,825,170,737,47,14, 389,1,0,0,0,0, 23, 3545,3,5000000,5,3,128,4,500
"4",42,6267,118,16,26,4029,1801,39759,40326,75,72,3,1229,152,299,59,14, 391,1,0,0,0,0, 27, 3510,3,5000000,5,3,128,4,500
