
experiment_id,rank,runtime,p2m,m2m,l2l,m2l,p2p,source_tree,target_tree,source_domain,target_domain,layout,ghost_exchange_v,ghost_exchange_v_runtime,ghost_exchange_u,gather_global_fmm,scatter_global_fmm,source_to_target_data,source_data,target_data,global_fmm,ghost_fmm_v,ghost_fmm_u,displacement_map,metadata_creation,expansion_order,n_points,local_depth,global_depth,block_size,n_threads,n_samples
"0",0,125,0,0,0,0,0,2996,2993,4,4,0,0,0,0,125,0, 378,0,0,0,0,0,0,34, 3,250000,4,1,128,4,500
"0",4,252,0,0,0,84,151,2997,2993,4,3,0,15,9,98,0,1, 379,1,0,0,0,0,0,148, 3,250000,4,1,128,4,500
"0",1,321,4,0,0,160,142,2996,2992,4,4,0,87,7,23,0,1, 379,1,0,0,0,0,1,145, 3,250000,4,1,128,4,500
"0",2,322,4,0,0,159,143,2997,2992,4,3,0,87,7,23,0,1, 379,1,0,0,0,0,1,144, 3,250000,4,1,128,4,500
"0",5,322,4,0,0,159,142,2996,2992,4,4,0,87,7,23,0,1, 379,1,0,0,0,0,1,144, 3,250000,4,1,128,4,500
"0",6,323,8,0,0,160,143,2997,2992,4,3,0,85,3,24,0,1, 379,1,0,0,0,0,1,144, 3,250000,4,1,128,4,500
"0",3,331,8,0,0,162,149,2997,2992,4,3,0,90,3,19,0,1, 379,1,0,0,0,0,1,144, 3,250000,4,1,128,4,500
"0",7,619,4,0,0,317,285,2997,2993,4,3,0,10,2,106,0,0, 379,1,0,0,0,0,1,150, 3,250000,4,1,128,4,500
"1",2,578,10,1,1,480,57,1951,1924,5,3,0,48,17,15,0,5, 380,0,0,0,0,0,3,131, 3,250000,4,2,128,4,500
"1",15,763,10,1,1,646,76,1951,1924,4,3,0,46,15,18,0,5, 381,1,0,0,0,0,4,132, 3,250000,4,2,128,4,500
"1",0,762,7,1,2,651,74,1951,1924,5,3,0,30,15,39,3,0, 380,0,0,0,0,0,4,137, 3,250000,4,2,128,4,500
"1",13,769,10,1,1,659,73,1951,1924,4,3,0,31,13,38,0,3, 381,1,0,0,0,0,4,137, 3,250000,4,2,128,4,500
"1",9,771,10,1,2,661,74,1951,1924,5,3,0,41,12,28,0,4, 381,1,0,0,0,0,4,137, 3,250000,4,2,128,4,500
"1",1,776,12,2,2,660,77,1951,1924,4,3,0,45,11,23,0,3, 380,0,0,0,0,0,4,137, 3,250000,4,2,128,4,500
"1",3,773,10,1,1,664,75,1951,1924,4,3,0,26,10,46,0,3, 380,1,0,0,0,0,4,140, 3,250000,4,2,128,4,500
"1",11,775,10,1,1,662,77,1951,1924,4,3,0,43,13,25,0,4, 381,1,0,0,0,0,4,136, 3,250000,4,2,128,4,500
"1",14,779,13,1,1,663,80,1951,1924,4,3,0,45,10,24,0,2, 381,1,0,0,0,0,4,137, 3,250000,4,2,128,4,500
"1",6,779,10,1,2,669,76,1951,1924,4,3,0,24,10,48,0,3, 381,1,0,0,0,0,4,140, 3,250000,4,2,128,4,500
"1",8,778,8,1,1,668,77,1951,1924,4,3,0,26,12,48,0,2, 381,1,0,0,0,0,4,142, 3,250000,4,2,128,4,500
"1",4,781,10,1,2,672,76,1951,1924,5,3,0,26,10,46,0,3, 380,0,0,0,0,0,4,140, 3,250000,4,2,128,4,500
"1",7,781,10,1,2,671,76,1951,1924,4,3,0,24,11,47,0,2, 381,0,0,0,0,0,4,140, 3,250000,4,2,128,4,500
"1",10,784,10,1,2,674,76,1951,1924,4,3,0,41,12,29,0,2, 381,1,0,0,0,0,4,138, 3,250000,4,2,128,4,500
"1",5,787,10,1,2,677,75,1951,1924,4,3,0,26,11,46,0,2, 381,1,0,0,0,0,4,140, 3,250000,4,2,128,4,500
"1",12,921,10,1,2,795,97,1951,1924,4,3,0,23,6,54,0,1, 382,1,0,0,0,0,4,144, 3,250000,4,2,128,4,500
"2",0,243,6,0,0,161,46,2311,2306,4,4,1,76,17,17,4,0, 380,0,0,0,0,0,1,161, 3,250000,4,2,128,4,500
"2",10,255,6,0,0,171,50,2311,2306,5,4,1,71,15,25,0,5, 381,1,0,0,0,0,1,162, 3,250000,4,2,128,4,500
"2",23,256,6,0,0,173,50,2311,2306,5,4,0,73,15,22,0,5, 383,1,0,0,0,0,1,161, 3,250000,4,2,128,4,500
