
experiment_id,rank,runtime,p2m,m2m,l2l,m2l,p2p,source_tree,target_tree,source_domain,target_domain,layout,ghost_exchange_v,ghost_exchange_v_runtime,ghost_exchange_u,gather_global_fmm,scatter_global_fmm,source_to_target_data,source_data,target_data,global_fmm,ghost_fmm_v,ghost_fmm_u,expansion_order,n_points,local_depth,global_depth,block_size,n_threads,n_samples
"0",989,703,12,1,1,477,85,6297,6253,362,4,4,95,16,32,15,88,375,0,0,0,0,0,3,250000,4,4,128,4,5000
"0",121,706,12,1,1,477,85,6297,6253,275,4,3,92,19,35,13,88,375,0,0,0,0,0,3,250000,4,4,128,4,5000
"0",644,702,9,1,1,478,86,6297,6253,363,4,3,75,21,56,10,88,375,0,0,0,0,0,3,250000,4,4,128,4,5000
"0",287,724,12,1,1,478,85,6297,6253,193,4,4,77,32,32,18,88,376,0,0,0,0,0,3,250000,4,4,128,4,5000
"0",743,705,12,1,1,478,86,6297,6253,362,4,3,90,15,38,16,88,372,0,0,0,0,0,3,250000,4,4,128,4,5000
"0",680,700,12,1,1,478,85,6297,6253,363,4,3,73,15,60,11,88,375,0,0,0,0,0,3,250000,4,4,128,4,5000
"0",173,706,12,1,1,479,85,6297,6253,362,4,3,92,15,36,15,88,375,0,0,0,0,0,3,250000,4,4,128,4,5000
"0",379,707,12,1,1,479,85,6297,6253,227,4,4,94,17,34,15,88,378,0,0,0,0,0,3,250000,4,4,128,4,5000
"0",38,727,12,1,1,479,86,6297,6253,362,4,3,73,36,35,16,88,377,0,0,0,0,0,3,250000,4,4,128,4,5000
"0",473,708,12,1,1,478,85,6297,6253,363,4,4,92,16,34,17,88,377,0,0,0,0,0,3,250000,4,4,128,4,5000
"0",757,707,12,1,1,480,85,6297,6253,364,4,4,91,15,37,15,88,375,0,0,0,0,0,3,250000,4,4,128,4,5000
"0",688,702,9,1,1,478,87,6297,6253,363,4,4,70,14,64,14,88,374,0,0,0,0,0,3,250000,4,4,128,4,5000
"0",461,708,12,1,1,480,85,6297,6253,363,4,3,92,15,36,16,88,378,0,0,0,0,0,3,250000,4,4,128,4,5000
"0",225,707,12,1,1,480,85,6297,6253,362,4,3,91,16,39,14,88,375,0,0,0,0,0,3,250000,4,4,128,4,5000
"0",395,709,12,1,1,481,85,6297,6253,363,4,3,94,16,33,16,88,373,0,0,0,0,0,3,250000,4,4,128,4,5000
"0",140,709,12,1,1,480,86,6297,6253,7,4,3,94,17,33,15,88,375,0,0,0,0,0,3,250000,4,4,128,4,5000
"0",248,709,12,1,1,480,86,6297,6253,362,4,4,93,17,34,16,88,376,0,0,0,0,0,3,250000,4,4,128,4,5000
"0",964,708,9,1,1,481,85,6297,6253,362,4,3,91,20,37,15,88,376,0,0,0,0,0,3,250000,4,4,128,4,5000
