
experiment_id,rank,runtime,p2m,m2m,l2l,m2l,p2p,source_tree,target_tree,source_domain,target_domain,layout,ghost_exchange_v,ghost_exchange_v_runtime,ghost_exchange_u,gather_global_fmm,scatter_global_fmm,source_to_target_data,source_data,target_data,global_fmm,ghost_fmm_v,ghost_fmm_u,expansion_order,n_points,local_depth,global_depth,block_size,n_threads,n_samples
"0",326,7788,151,21,76,6168,204, 3050,2880,109,5,7,1217,838,51,15,293, 3281,25,19,0,0,0,6,250000,4,4,1e-7,8,5000
"0",5,7995,158,22,74,6193,197, 3050,2880,159,5,6,1050,644,36,387,299, 3264,25,19,0,0,0,6,250000,4,4,1e-7,8,5000
"0",52,7916,157,22,78,6186,207, 3050,2881,158,5,7,1129,628,41,319,299, 3288,25,19,0,0,0,6,250000,4,4,1e-7,8,5000
"0",92,7865,159,22,79,6195,207, 3050,2880,100,5,7,1171,484,43,401,297, 3325,25,20,0,0,0,6,250000,4,4,1e-7,8,5000
"0",227,7814,156,22,76,6211,200, 3049,2881,108,5,7,1215,788,43,44,298, 3269,25,19,0,0,0,6,250000,4,4,1e-7,8,5000
"0",134,8062,152,22,77,6211,200, 3050,2880,109,5,6,962,801,35,282,297, 3276,25,19,0,0,0,6,250000,4,4,1e-7,8,5000
"0",111,7846,160,22,77,6208,203, 3049,2881,160,5,7,1218,673,44,184,298, 3327,25,19,0,0,0,6,250000,4,4,1e-7,8,5000
"0",295,8016,162,23,79,6211,199, 3050,2880,146,5,7,1089,578,47,449,297, 3299,25,19,0,0,0,6,250000,4,4,1e-7,8,5000
"0",426,7714,143,19,81,6286,137, 3050,2880,150,5,7,1576,683,59,48,295, 3294,25,19,0,0,0,6,250000,4,4,1e-7,8,5000
"0",468,8064,145,20,81,6229,210, 3049,2880,159,5,7,1252,860,44,205,294, 3291,25,19,0,0,0,6,250000,4,4,1e-7,8,5000
"0",158,7864,178,24,77,6238,214, 3050,2880,159,5,6,1039,416,36,400,297, 3267,25,19,0,0,0,6,250000,4,4,1e-7,8,5000
"0",141,7855,152,22,79,6244,210, 3049,2880,159,5,7,1209,581,43,251,297, 3292,25,19,0,0,0,6,250000,4,4,1e-7,8,5000
"0",452,7835,165,23,79,6257,201, 3050,2880,110,5,7,1240,774,45,21,294, 3284,25,20,0,0,0,6,250000,4,4,1e-7,8,5000
"0",48,7980,168,22,82,6258,202, 3050,2880,159,5,7,1139,571,41,359,296, 3270,25,20,0,0,0,6,250000,4,4,1e-7,8,5000
"0",460,7839,167,23,79,6261,213, 3050,2880,133,5,7,1272,749,46,33,294, 3306,25,19,0,0,0,6,250000,4,4,1e-7,8,5000
"0",174,7791,158,23,77,6259,216, 3049,2880,108,5,7,1314,516,53,224,297, 3283,25,19,0,0,0,6,250000,4,4,1e-7,8,5000
"0",314,8131,135,19,77,6273,210, 3050,2880,152,5,7,1217,906,51,196,297, 3272,25,19,0,0,0,6,250000,4,4,1e-7,8,5000
"0",298,8056,160,22,79,6282,207, 3050,2880,151,5,7,1059,762,38,227,297, 3315,25,19,0,0,0,6,250000,4,4,1e-7,8,5000
"0",491,7922,162,23,76,6281,211, 3049,2881,158,5,7,1175,450,42,403,294, 3299,25,19,0,0,0,6,250000,4,4,1e-7,8,5000
"0",224,7847,147,20,81,6279,213, 3050,2881,108,5,7,1506,467,57,330,291, 3286,25,19,0,0,0,6,250000,4,4,1e-7,8,5000
"0",284,7669,167,22,81,6280,216, 3050,2880,98,5,7,1453,578,57,10,296, 3289,25,20,0,0,0,6,250000,4,4,1e-7,8,5000
"0",270,7867,161,22,82,6281,212, 3049,2881,100,5,7,1223,544,50,248,296, 3287,25,19,0,0,0,6,250000,4,4,1e-7,8,5000
"0",334,7811,140,19,77,6294,208, 3049,2881,107,5,7,1564,648,69,108,293, 3283,25,19,0,0,0,6,250000,4,4,1e-7,8,5000
"0",115,7827,163,22,78,6288,217, 3049,2881,158,5,7,1301,695,45,46,298, 3284,25,20,0,0,0,6,250000,4,4,1e-7,8,5000
"0",398,7693,159,22,77,6296,212, 3050,2880,101,5,7,1448,565,56,47,294, 3293,25,19,0,0,0,6,250000,4,4,1e-7,8,5000
"0",58,8138,141,20,78,6287,221, 3050,2880,151,5,7,1224,824,43,247,299, 3276,25,20,0,0,0,6,250000,4,4,1e-7,8,5000
"0",240,7846,170,23,85,6296,210, 3050,2880,158,5,7,1309,419,52,328,294, 3303,26,19,0,0,0,6,250000,4,4,1e-7,8,5000
"0",279,8081,162,22,84,6300,208, 3049,2881,103,5,7,1028,792,38,196,296, 3276,25,19,0,0,0,6,250000,4,4,1e-7,8,5000
"0",385,8143,136,19,73,6311,208, 3049,2881,107,5,6,1240,853,50,227,294, 3250,25,19,0,0,0,6,250000,4,4,1e-7,8,5000
"0",70,7990,155,21,76,6317,211, 3050,2880,108,5,6,1135,411,40,481,297, 3295,25,19,0,0,0,6,250000,4,4,1e-7,8,5000
"0",305,7931,169,22,79,6320,206, 3049,2881,158,5,7,1197,484,49,333,297, 3264,25,19,0,0,0,6,250000,4,4,1e-7,8,5000
"0",185,8175,150,22,74,6330,206, 3049,2881,158,5,7,974,750,35,325,297, 3293,25,19,0,0,0,6,250000,4,4,1e-7,8,5000
"0",169,7833,142,17,73,6328,211, 3049,2880,159,5,7,1541,479,57,265,297, 3296,25,19,0,0,0,6,250000,4,4,1e-7,8,5000
"0",275,8135,154,22,73,6339,201, 3050,2880,159,5,7,1022,801,38,227,296, 3270,25,19,0,0,0,6,250000,4,4,1e-7,8,5000
"0",346,7634,164,22,80,6315,223, 3049,2881,109,5,7,1567,497,69,19,293, 3286,25,19,0,0,0,6,250000,4,4,1e-7,8,5000
"0",419,7991,159,23,79,6337,203, 3049,2881,108,5,7,1183,655,43,219,295, 3292,25,20,0,0,0,6,250000,4,4,1e-7,8,5000
"0",230,8189,152,21,75,6332,211, 3050,2880,109,5,7,972,852,37,227,298, 3290,25,19,0,0,0,6,250000,4,4,1e-7,8,5000
"0",119,7936,175,22,78,6335,205, 3049,2881,133,5,7,1217,791,44,10,298, 3306,25,20,0,0,0,6,250000,4,4,1e-7,8,5000
"0",340,7720,162,21,78,6337,208, 3049,2880,159,5,7,1468,576,65,25,293, 3259,25,19,0,0,0,6,250000,4,4,1e-7,8,5000
"0",204,8193,153,23,76,6342,204, 3050,2880,134,5,7,972,721,35,355,297, 3261,25,20,0,0,0,6,250000,4,4,1e-7,8,5000
"0",85,8034,145,19,84,6335,206, 3050,2880,159,5,7,1354,558,46,370,297, 3305,25,19,0,0,0,6,250000,4,4,1e-7,8,5000
"0",28,7907,161,24,81,6331,212, 3049,2880,96,5,7,1253,400,44,378,299, 3298,25,19,0,0,0,6,250000,4,4,1e-7,8,5000
"0",378,7962,138,19,78,6324,224, 3049,2881,151,5,7,1471,822,66,44,294, 3336,25,19,0,0,0,6,250000,4,4,1e-7,8,5000
"0",267,7989,155,21,73,6344,210, 3049,2881,159,5,6,1189,821,49,48,296, 3280,25,19,0,0,0,6,250000,4,4,1e-7,8,5000
"0",441,8183,135,19,77,6332,217, 3050,2880,159,5,7,1221,785,45,302,295, 3258,25,19,0,0,0,6,250000,4,4,1e-7,8,5000
"0",199,8356,135,19,75,6340,217, 3049,2881,146,5,7,1059,897,38,354,297, 3266,25,20,0,0,0,6,250000,4,4,1e-7,8,5000
"0",368,7653,164,23,81,6345,215, 3050,2880,158,5,7,1565,470,69,45,289, 3310,25,19,0,0,0,6,250000,4,4,1e-7,8,5000
"0",263,8028,156,21,78,6382,200, 3049,2881,145,5,6,1184,560,50,314,296, 3286,25,19,0,0,0,6,250000,4,4,1e-7,8,5000
"0",362,7793,158,21,75,6375,216, 3050,2880,152,5,7,1454,526,66,106,294, 3274,25,19,0,0,0,6,250000,4,4,1e-7,8,5000
"0",336,7678,175,25,88,6377,207, 3049,2881,160,5,7,1564,475,68,22,289, 3288,25,19,0,0,0,6,250000,4,4,1e-7,8,5000
"0",393,7913,153,22,76,6379,217, 3050,2880,159,5,7,1279,735,53,15,294, 3277,25,19,0,0,0,6,250000,4,4,1e-7,8,5000
"0",277,8187,155,22,79,6407,198, 3049,2881,159,5,6,1033,706,39,303,296, 3265,25,19,0,0,0,6,250000,4,4,1e-7,8,5000
"0",274,8435,156,23,87,6739,139, 3049,2881,158,5,6,1101,654,48,322,296, 3292,25,19,0,0,0,6,250000,4,4,1e-7,8,5000
"0",440,8341,177,31,99,6783,150, 3050,2880,159,5,7,1224,478,43,308,295, 3362,25,19,0,0,0,6,250000,4,4,1e-7,8,5000
"0",93,8189,162,22,91,6755,222, 3050,2880,129,5,7,1446,238,54,380,297, 3300,25,19,0,0,0,6,250000,4,4,1e-7,8,5000
"0",159,8402,152,21,86,6747,239, 3049,2880,101,5,7,1244,559,43,280,297, 3283,25,19,0,0,0,6,250000,4,4,1e-7,8,5000
"0",110,8180,163,21,88,6741,242, 3050,2880,108,5,7,1431,450,56,156,298, 3307,25,19,0,0,0,6,250000,4,4,1e-7,8,5000
"0",135,8342,168,24,90,6769,231, 3049,2881,145,5,6,1275,491,43,250,297, 3285,25,19,0,0,0,6,250000,4,4,1e-7,8,5000
"0",379,8376,150,22,87,6775,239, 3049,2881,148,5,7,1302,744,61,45,294, 3309,25,20,0,0,0,6,250000,4,4,1e-7,8,5000
"0",205,8810,156,21,86,6784,238, 3050,2880,159,5,7,868,727,33,479,298, 3299,25,20,0,0,0,6,250000,4,4,1e-7,8,5000
"0",84,8243,159,21,90,6794,234, 3050,2880,159,5,6,1386,235,45,393,297, 3274,25,19,0,0,0,6,250000,4,4,1e-7,8,5000
"0",2,8882,160,21,92,6904,135, 3049,2881,29,5,6,847,789,32,463,299, 3287,25,19,0,0,0,6,250000,4,4,1e-7,8,5000
"0",384,8486,171,22,94,6802,233, 3049,2881,8,5,7,1215,620,51,239,284, 3273,25,19,0,0,0,6,250000,4,4,1e-7,8,5000
"0",225,8044,154,23,90,6908,137, 3050,2880,107,5,7,1619,93,59,320,298, 3284,25,19,0,0,0,6,250000,4,4,1e-7,8,5000
"0",490,8369,166,23,92,6801,247, 3049,2881,150,5,7,1311,445,45,279,294, 3280,25,19,0,0,0,6,250000,4,4,1e-7,8,5000
"0",418,8244,165,22,89,6820,230, 3049,2881,139,5,7,1446,376,56,226,295, 3297,25,20,0,0,0,6,250000,4,4,1e-7,8,5000
"0",427,8088,159,24,90,6833,218, 3049,2881,160,5,7,1575,224,59,223,295, 3277,25,19,0,0,0,6,250000,4,4,1e-7,8,5000
"0",71,8436,165,22,94,6839,212, 3050,2880,146,5,6,1215,307,44,479,297, 3257,25,20,0,0,0,6,250000,4,4,1e-7,8,5000
"0",140,8117,158,21,87,6808,255, 3049,2880,133,5,7,1547,226,58,244,297, 3277,25,19,0,0,0,6,250000,4,4,1e-7,8,5000
"0",175,8230,148,21,83,6834,235, 3050,2880,160,5,7,1433,369,55,222,297, 3303,25,19,0,0,0,6,250000,4,4,1e-7,8,5000
"0",53,8330,162,23,93,6817,243, 3050,2880,159,5,7,1334,362,46,311,299, 3272,25,20,0,0,0,6,250000,4,4,1e-7,8,5000
"0",363,8425,138,17,89,6836,234, 3050,2880,159,5,7,1544,694,74,104,294, 3321,25,19,0,0,0,6,250000,4,4,1e-7,8,5000
"0",262,8502,135,17,86,6841,236, 3049,2881,100,5,6,1466,551,64,319,296, 3291,25,20,0,0,0,6,250000,4,4,1e-7,8,5000
"0",114,8108,155,22,91,6859,213, 3050,2880,159,5,7,1572,100,59,351,298, 3289,25,19,0,0,0,6,250000,4,4,1e-7,8,5000
