
experiment_id,rank,runtime,p2m,m2m,l2l,m2l,p2p,source_tree,target_tree,source_domain,target_domain,layout,ghost_exchange_v,ghost_exchange_v_runtime,ghost_exchange_u,gather_global_fmm,scatter_global_fmm,source_to_target_data,source_data,target_data,global_fmm,ghost_fmm_v,ghost_fmm_u,expansion_order,n_points,local_depth,global_depth,block_size,n_threads,n_samples
"0",931,5678,78,11,12,4555,31,6513,4828,258,2,5,60,119,26,27,827, 558,25,20,0,0,0,6,125000,4,4,128,4,5000
"0",424,5687,72,14,12,4562,31,6513,4828,249,2,5,63,109,21,40,828, 562,25,20,0,0,0,6,125000,4,4,128,4,5000
"0",231,5693,72,14,12,4568,31,6513,4828,57,2,4,62,111,23,38,829, 559,25,20,0,0,0,6,125000,4,4,128,4,5000
"0",240,5696,72,15,12,4572,31,6513,4828,163,3,5,60,124,25,24,828, 558,25,19,0,0,0,6,125000,4,4,128,4,5000
"0",348,5697,72,15,12,4572,32,6513,4828,175,2,5,61,116,24,31,828, 562,25,20,0,0,0,6,125000,4,4,128,4,5000
"0",803,5699,72,15,12,4577,31,6513,4828,258,2,5,62,120,23,28,827, 563,25,20,0,0,0,6,125000,4,4,128,4,5000
"0",455,5699,72,14,12,4575,31,6513,4828,58,2,5,61,121,24,27,829, 558,25,20,0,0,0,6,125000,4,4,128,4,5000
"0",197,5696,54,11,12,4575,32,6513,4828,248,3,4,63,117,26,49,829, 559,25,20,0,0,0,6,125000,4,4,128,4,5000
"0",263,5703,72,15,12,4580,31,6513,4828,58,2,4,65,87,20,61,828, 559,25,19,0,0,0,6,125000,4,4,128,4,5000
"0",826,5704,72,15,12,4580,31,6513,4828,260,2,5,62,120,24,30,827, 559,25,20,0,0,0,6,125000,4,4,128,4,5000
"0",140,5706,72,14,12,4581,31,6513,4828,233,2,4,65,94,19,56,829, 559,25,19,0,0,0,6,125000,4,4,128,4,5000
"0",464,5706,72,15,12,4582,31,6513,4828,243,2,5,64,98,21,50,828, 563,25,20,0,0,0,6,125000,4,4,128,4,5000
"0",378,5706,72,15,12,4583,31,6513,4828,258,2,5,63,119,24,27,828, 560,25,19,0,0,0,6,125000,4,4,128,4,5000
"0",299,5710,72,15,12,4584,31,6513,4828,161,2,4,65,101,20,48,828, 560,25,20,0,0,0,6,125000,4,4,128,4,5000
"0",962,5711,72,15,12,4588,31,6513,4828,141,2,5,61,121,24,28,827, 561,25,20,0,0,0,6,125000,4,4,128,4,5000
"0",314,5712,71,15,12,4588,32,6513,4828,259,2,5,63,103,23,45,828, 559,25,20,0,0,0,6,125000,4,4,128,4,5000
"0",995,5713,72,14,12,4590,31,6513,4828,226,2,5,62,97,23,53,827, 557,25,19,0,0,0,6,125000,4,4,128,4,5000
"0",341,5714,72,15,12,4589,31,6513,4828,232,2,5,62,100,22,48,828, 563,25,20,0,0,0,6,125000,4,4,128,4,5000
"0",127,5713,71,15,12,4589,32,6513,4828,258,2,5,60,125,25,22,829, 566,25,20,0,0,0,6,125000,4,4,128,4,5000
"0",325,5716,72,14,12,4592,31,6513,4828,248,2,5,64,102,21,47,829, 562,25,19,0,0,0,6,125000,4,4,128,4,5000
"0",121,5716,73,14,12,4591,32,6513,4828,124,2,5,60,135,24,13,829, 558,25,20,0,0,0,6,125000,4,4,128,4,5000
"0",385,5731,71,14,12,4596,30,6513,4828,229,2,5,50,124,21,39,828, 558,25,19,0,0,0,6,125000,4,4,128,4,5000
"0",212,5717,72,14,12,4594,31,6513,4828,231,2,5,61,97,25,50,828, 559,25,19,0,0,0,6,125000,4,4,128,4,5000
"0",113,5720,72,14,12,4596,32,6513,4828,259,2,5,60,104,26,44,829, 563,25,20,0,0,0,6,125000,4,4,128,4,5000
"0",28,5721,72,15,12,4596,31,6513,4828,175,2,5,62,103,23,45,828, 558,25,20,0,0,0,6,125000,4,4,128,4,5000
"0",850,5718,79,11,12,4598,32,6513,4828,177,2,5,52,113,39,28,827, 558,25,20,0,0,0,6,125000,4,4,128,4,5000
"0",583,5720,72,14,12,4602,31,6513,4828,57,2,4,53,125,37,18,828, 565,25,20,0,0,0,6,125000,4,4,128,4,5000
"0",395,5725,72,14,12,4601,32,6513,4828,176,2,5,63,106,23,42,828, 561,25,20,0,0,0,6,125000,4,4,128,4,5000
"0",70,5726,72,14,12,4602,31,6513,4828,173,2,5,61,101,25,47,829, 561,25,20,0,0,0,6,125000,4,4,128,4,5000
"0",911,5725,72,15,12,4602,31,6513,4828,260,2,5,60,91,26,56,827, 564,25,20,0,0,0,6,125000,4,4,128,4,5000
"0",172,5726,71,14,12,4602,32,6513,4828,259,2,4,63,110,22,38,829, 560,25,20,0,0,0,6,125000,4,4,128,4,5000
"0",226,5726,72,15,12,4602,31,6513,4828,141,2,5,61,90,26,56,829, 559,25,20,0,0,0,6,125000,4,4,128,4,5000
"0",890,5729,71,15,12,4606,31,6513,4828,258,2,5,62,100,24,50,827, 555,25,20,0,0,0,6,125000,4,4,128,4,5000
"0",91,5728,72,14,12,4606,31,6513,4828,232,2,5,61,125,26,22,829, 561,25,20,0,0,0,6,125000,4,4,128,4,5000
"0",83,5729,72,15,12,4607,31,6513,4828,242,2,5,61,93,25,53,829, 557,25,20,0,0,0,6,125000,4,4,128,4,5000
"0",59,5728,73,15,12,4608,31,6513,4828,91,2,5,63,85,25,57,828, 560,25,20,0,0,0,6,125000,4,4,128,4,5000
"0",569,5730,103,14,12,4610,32,6513,4828,124,2,5,52,90,38,23,828, 559,25,20,0,0,0,6,125000,4,4,128,4,5000
"0",414,5734,72,14,12,4612,30,6513,4828,176,2,5,64,116,22,32,829, 565,25,20,0,0,0,6,125000,4,4,128,4,5000
"0",543,5733,72,14,12,4615,31,6513,4828,177,2,5,54,130,37,13,828, 558,25,19,0,0,0,6,125000,4,4,128,4,5000
"0",477,5742,73,15,12,4618,31,6513,4828,244,2,5,62,122,24,24,829, 558,25,20,0,0,0,6,125000,4,4,128,4,5000
