
experiment_id,rank,runtime,p2m,m2m,l2l,m2l,p2p,source_tree,target_tree,source_domain,target_domain,layout,ghost_exchange_v,ghost_exchange_v_runtime,ghost_exchange_u,gather_global_fmm,scatter_global_fmm,source_to_target_data,source_data,target_data,global_fmm,ghost_fmm_v,ghost_fmm_u,expansion_order,n_points,local_depth,global_depth,block_size,n_threads,n_samples
"0",2,244,4,0,1,67,160, 3106,3087,8,7,0,92,4,19,0,0, 41,0,0,0,0,0,3,500000,4,1,1e-7,8,5000
"0",0,242,4,1,1,67,160, 3106,3086,8,7,0,92,1,19,0,0, 42,0,0,0,0,0,3,500000,4,1,1e-7,8,5000
"0",1,243,4,1,1,68,160, 3106,3086,8,7,0,91,2,21,0,0, 43,0,0,0,0,0,3,500000,4,1,1e-7,8,5000
"0",3,246,4,1,1,69,160, 3106,3086,8,7,0,91,4,19,0,0, 41,0,0,0,0,0,3,500000,4,1,1e-7,8,5000
"1",3,306,3,1,0,0,0, 5919,5888,8,7,0,202,301,18,0,0, 44,0,0,0,0,0,3,500000,4,1,1e-7,8,5000
"1",0,511,0,0,0,34,260, 5918,5889,8,7,0,250,210,181,1,0, 41,0,0,0,0,0,3,500000,4,1,1e-7,8,5000
"1",6,397,3,0,0,35,259, 5919,5889,8,7,0,249,91,179,0,1, 41,0,0,0,0,0,3,500000,4,1,1e-7,8,5000
"1",7,416,6,1,0,36,261, 5919,5888,8,7,0,232,104,38,0,2, 41,0,0,0,0,0,3,500000,4,1,1e-7,8,5000
"1",5,412,3,0,0,35,264, 5919,5889,8,7,0,237,101,179,0,1, 41,0,0,0,0,0,3,500000,4,1,1e-7,8,5000
"1",2,403,3,0,0,35,265, 5919,5888,8,7,0,249,92,179,0,1, 43,0,0,0,0,0,3,500000,4,1,1e-7,8,5000
"1",1,410,3,0,0,36,266, 5919,5888,8,7,0,242,97,177,0,1, 42,0,0,0,0,0,3,500000,4,1,1e-7,8,5000
"1",4,601,3,0,1,67,517, 5919,5889,7,7,0,276,3,220,0,0, 41,0,0,0,0,0,3,500000,4,1,1e-7,8,5000
"2",0,649,7,1,1,105,91, 3874,3869,8,7,0,209,431,20,4,0, 41,0,0,0,0,0,3,500000,4,2,1e-7,8,5000
"2",11,583,7,1,1,109,94, 3874,3869,8,8,0,267,357,29,0,5, 41,1,0,0,0,0,3,500000,4,2,1e-7,8,5000
"2",7,495,7,1,1,118,97, 3874,3869,8,8,0,338,258,36,0,4, 42,0,0,0,0,0,3,500000,4,2,1e-7,8,5000
"2",4,488,9,1,2,138,122, 3874,3869,8,7,0,262,202,30,0,4, 41,0,0,0,0,0,3,500000,4,2,1e-7,8,5000
"2",6,489,9,1,2,139,122, 3874,3869,9,7,0,259,202,30,0,4, 42,0,0,0,0,0,3,500000,4,2,1e-7,8,5000
"2",10,500,5,1,2,137,128, 3874,3869,8,7,0,488,216,81,0,4, 41,0,0,0,0,0,3,500000,4,2,1e-7,8,5000
"2",5,499,5,1,2,139,130, 3874,3869,9,7,0,491,212,80,0,4, 41,0,0,0,0,0,3,500000,4,2,1e-7,8,5000
"2",1,448,4,1,2,142,126, 3874,3869,9,7,0,542,161,91,0,2, 41,0,0,0,0,0,3,500000,4,2,1e-7,8,5000
"2",8,336,8,1,2,147,124, 3874,3869,8,7,0,511,44,83,0,1, 42,0,0,0,0,0,3,500000,4,2,1e-7,8,5000
"2",13,524,7,1,2,149,124, 3874,3869,8,7,0,366,228,42,0,4, 41,0,0,0,0,0,3,500000,4,2,1e-7,8,5000
"2",12,402,8,1,2,150,124, 3874,3869,8,7,0,445,106,49,0,3, 43,0,0,0,0,0,3,500000,4,2,1e-7,8,5000
"2",3,385,7,1,2,148,133, 3874,3869,8,8,0,472,84,78,0,2, 42,0,0,0,0,0,3,500000,4,2,1e-7,8,5000
"2",14,416,7,1,2,154,128, 3874,3869,8,7,0,452,112,50,0,4, 42,0,0,0,0,0,3,500000,4,2,1e-7,8,5000
"2",2,353,6,1,2,171,156, 3874,3869,9,7,0,543,6,87,0,1, 42,0,0,0,0,0,3,500000,4,2,1e-7,8,5000
"2",9,405,6,1,2,173,156, 3874,3869,8,7,0,503,53,82,0,3, 42,0,0,0,0,0,3,500000,4,2,1e-7,8,5000
"2",15,494,9,1,2,181,154, 3874,3869,8,8,0,305,132,36,0,5, 41,0,0,0,0,0,3,500000,4,2,1e-7,8,5000
"3",24,489,2,0,0,41,85, 4535,4535,9,7,1,245,351,30,0,4, 42,0,0,0,0,0,3,500000,4,2,1e-7,8,5000
"3",18,458,4,0,1,69,151, 4535,4535,8,7,0,227,222,28,0,4, 43,0,0,0,0,0,3,500000,4,2,1e-7,8,5000
"3",22,460,4,0,1,69,152, 4535,4535,9,7,0,226,223,29,0,4, 44,0,0,0,0,0,3,500000,4,2,1e-7,8,5000
"3",4,461,4,1,1,69,152, 4535,4535,9,7,0,223,223,31,0,4, 42,0,0,0,0,0,3,500000,4,2,1e-7,8,5000
"3",9,340,6,1,1,70,152, 4535,4535,9,7,0,205,99,29,0,3, 42,0,0,0,0,0,3,500000,4,2,1e-7,8,5000
"3",13,347,6,1,1,69,153, 4535,4535,9,7,0,205,105,30,0,4, 43,0,0,0,0,0,3,500000,4,2,1e-7,8,5000
"3",0,462,4,1,1,66,156, 4535,4535,9,7,0,227,221,29,3,0, 42,0,0,0,0,0,3,500000,4,2,1e-7,8,5000
"3",23,396,4,0,1,73,158, 4535,4535,9,7,0,278,148,38,0,4, 43,0,0,0,0,0,3,500000,4,2,1e-7,8,5000
"3",19,397,4,0,1,73,158, 4535,4535,8,7,0,277,149,38,0,4, 41,0,0,0,0,0,3,500000,4,2,1e-7,8,5000
"3",20,399,4,1,1,73,158, 4535,4535,8,7,0,274,151,39,0,4, 41,0,0,0,0,0,3,500000,4,2,1e-7,8,5000
"3",6,393,4,0,1,73,159, 4535,4535,9,7,0,277,144,40,0,4, 42,0,0,0,0,0,3,500000,4,2,1e-7,8,5000
"3",2,399,4,0,1,74,159, 4535,4535,9,7,0,273,151,40,0,4, 41,0,0,0,0,0,3,500000,4,2,1e-7,8,5000
"3",15,400,4,0,1,73,159, 4535,4535,9,7,0,273,151,41,0,4, 43,0,0,0,0,0,3,500000,4,2,1e-7,8,5000
"3",1,399,4,0,1,72,160, 4535,4535,9,7,0,274,151,40,0,3, 43,0,0,0,0,0,3,500000,4,2,1e-7,8,5000
"3",5,401,4,1,1,74,159, 4535,4535,9,7,0,275,151,39,0,3, 42,0,0,0,0,0,3,500000,4,2,1e-7,8,5000
"3",16,401,4,0,1,77,158, 4534,4535,9,7,0,274,149,40,0,4, 44,1,0,0,0,0,3,500000,4,2,1e-7,8,5000
"3",12,256,4,1,1,76,159, 4534,4536,9,7,0,361,6,114,0,1, 43,0,0,0,0,0,3,500000,4,2,1e-7,8,5000
"3",27,390,4,1,1,75,162, 4535,4535,9,7,0,289,137,45,0,3, 44,0,0,0,0,0,3,500000,4,2,1e-7,8,5000
"3",11,270,4,1,1,77,160, 4535,4535,9,7,0,347,19,112,0,1, 41,0,0,0,0,0,3,500000,4,2,1e-7,8,5000
"3",8,256,4,1,1,77,160, 4535,4535,9,7,0,367,5,115,0,1, 41,0,0,0,0,0,3,500000,4,2,1e-7,8,5000
"3",26,341,4,0,1,79,158, 4535,4535,8,7,0,325,88,52,0,3, 42,1,0,0,0,0,3,500000,4,2,1e-7,8,5000
"3",28,291,4,1,1,77,161, 4535,4535,8,7,0,366,36,57,0,3, 42,0,0,0,0,0,3,500000,4,2,1e-7,8,5000
"3",25,306,4,0,1,79,161, 4535,4535,8,7,0,351,50,58,0,3, 42,0,0,0,0,0,3,500000,4,2,1e-7,8,5000
"3",30,346,4,0,1,76,165, 4535,4535,8,7,0,327,88,51,0,3, 43,0,0,0,0,0,3,500000,4,2,1e-7,8,5000
"3",3,322,4,0,1,77,165, 4535,4535,9,7,0,334,64,51,0,2, 43,0,0,0,0,0,3,500000,4,2,1e-7,8,5000
"3",7,319,2,0,1,78,165, 4535,4535,9,7,0,431,64,125,0,1, 44,0,0,0,0,0,3,500000,4,2,1e-7,8,5000
"3",17,312,4,0,1,78,165, 4535,4535,9,7,0,339,52,51,0,3, 41,0,0,0,0,0,3,500000,4,2,1e-7,8,5000
"3",21,323,5,1,1,79,165, 4535,4535,8,7,0,336,63,51,0,3, 42,1,0,0,0,0,3,500000,4,2,1e-7,8,5000
"3",14,324,4,1,1,78,166, 4535,4535,9,7,0,331,64,55,0,2, 43,0,0,0,0,0,3,500000,4,2,1e-7,8,5000
"3",10,321,2,0,1,78,167, 4535,4535,9,7,0,435,64,128,0,1, 41,0,0,0,0,0,3,500000,4,2,1e-7,8,5000
"3",29,322,4,0,1,85,161, 4535,4535,8,7,0,342,60,58,0,3, 42,0,0,0,0,0,3,500000,4,2,1e-7,8,5000
"3",31,361,7,1,1,102,230, 4535,4535,9,7,0,269,7,37,0,3, 45,0,0,0,0,0,3,500000,4,2,1e-7,8,5000
"4",33,330,3,0,0,0,0, 6122,5994,9,7,0,202,321,17,3,1, 41,0,0,0,0,0,3,500000,4,2,1e-7,8,5000
"4",38,330,3,0,0,0,0, 6122,5995,9,7,0,203,322,16,3,1, 42,0,0,0,0,0,3,500000,4,2,1e-7,8,5000
"4",0,523,3,0,0,34,252, 6122,5993,10,7,1,259,223,39,2,0, 41,0,0,0,0,0,3,500000,4,2,1e-7,8,5000
"4",55,407,3,0,0,34,249, 6122,5993,8,7,1,262,108,168,1,1, 43,1,0,0,0,0,3,500000,4,2,1e-7,8,5000
"4",18,526,3,0,0,33,252, 6122,5993,10,7,1,258,226,38,2,1, 41,0,0,0,0,0,3,500000,4,2,1e-7,8,5000
"4",9,526,3,0,0,34,253, 6122,5993,10,7,1,256,225,41,2,1, 49,0,0,0,0,0,3,500000,4,2,1e-7,8,5000
"4",46,531,3,0,0,34,255, 6122,5994,9,7,1,256,227,41,2,1, 41,0,0,0,0,0,3,500000,4,2,1e-7,8,5000
"4",27,417,5,0,0,39,252, 6122,5993,9,7,1,241,109,34,2,1, 43,0,0,0,0,0,3,500000,4,2,1e-7,8,5000
"4",56,492,0,0,0,33,260, 6121,5994,10,7,1,299,188,193,1,1, 45,0,0,0,0,0,3,500000,4,2,1e-7,8,5000
"4",26,497,0,0,0,32,263, 6122,5994,10,7,1,304,191,184,1,1, 41,0,0,0,0,0,3,500000,4,2,1e-7,8,5000
"4",62,497,3,0,0,35,260, 6122,5994,9,7,1,280,186,50,2,1, 43,0,0,0,0,0,3,500000,4,2,1e-7,8,5000
"4",39,500,3,0,0,35,261, 6122,5993,10,7,1,278,189,50,2,1, 42,0,0,0,0,0,3,500000,4,2,1e-7,8,5000
"4",32,354,3,0,0,36,261, 6122,5993,9,7,1,303,44,193,1,1, 43,0,0,0,0,0,3,500000,4,2,1e-7,8,5000
"4",2,500,3,0,0,35,261, 6122,5994,9,7,1,280,188,48,2,1, 41,0,0,0,0,0,3,500000,4,2,1e-7,8,5000
"4",53,499,3,0,0,35,262, 6122,5994,8,7,1,279,186,50,2,1, 43,0,0,0,0,0,3,500000,4,2,1e-7,8,5000
"4",42,498,3,0,0,35,262, 6122,5993,9,7,1,283,186,49,2,1, 42,1,0,0,0,0,3,500000,4,2,1e-7,8,5000
"4",60,500,3,0,0,37,261, 6122,5993,9,7,1,277,188,50,2,1, 41,0,0,0,0,0,3,500000,4,2,1e-7,8,5000
"4",25,499,3,0,0,35,263, 6122,5993,9,7,1,278,187,50,2,1, 41,0,0,0,0,0,3,500000,4,2,1e-7,8,5000
"4",16,502,3,0,0,36,263, 6122,5994,9,7,1,279,189,48,2,1, 41,0,0,0,0,0,3,500000,4,2,1e-7,8,5000
