
experiment_id,rank,runtime,p2m,m2m,l2l,m2l,p2p,source_tree,target_tree,source_domain,target_domain,layout,ghost_exchange_v,ghost_exchange_v_runtime,ghost_exchange_u,gather_global_fmm,scatter_global_fmm,source_to_target_data,source_data,target_data,global_fmm,ghost_fmm_v,ghost_fmm_u,expansion_order,n_points,local_depth,global_depth,block_size,n_threads,n_samples
"0",1,17,8,0,0,0,0,2970,2931,4,3,0,104,7,11,0,0, 367,0,0,0,0,0,3,250000,4,1,128,4,5000
"0",4,252,0,0,0,85,148,2970,2931,4,3,0,25,10,97,0,1, 369,0,0,0,0,0,3,250000,4,1,128,4,5000
"0",0,252,0,0,0,86,149,2970,2931,4,3,0,25,10,97,1,0, 367,0,0,0,0,0,3,250000,4,1,128,4,5000
"0",3,333,4,0,0,162,150,2970,2931,4,3,0,95,8,24,0,1, 367,0,0,0,0,0,3,250000,4,1,128,4,5000
"0",7,334,5,0,0,164,150,2970,2931,4,3,0,96,7,22,0,1, 367,0,0,0,0,0,3,250000,4,1,128,4,5000
"0",5,335,8,0,0,162,152,2970,2931,4,3,0,96,5,21,0,1, 368,0,0,0,0,0,3,250000,4,1,128,4,5000
"0",6,343,4,0,0,162,160,2970,2931,4,3,0,95,8,24,0,1, 368,0,0,0,0,0,3,250000,4,1,128,4,5000
"0",2,641,4,0,0,323,300,2970,2932,4,3,0,11,2,114,0,0, 368,0,0,0,0,0,3,250000,4,1,128,4,5000
"1",1,570,10,1,1,475,58,1947,1913,4,3,0,41,14,20,0,3, 369,0,0,0,0,0,3,250000,4,2,128,4,5000
"1",5,571,10,1,1,476,59,1947,1914,4,3,0,41,13,20,0,3, 368,0,0,0,0,0,3,250000,4,2,128,4,5000
"1",15,754,10,1,1,641,74,1947,1914,4,3,0,42,12,19,0,4, 366,0,0,0,0,0,3,250000,4,2,128,4,5000
"1",13,756,10,1,1,643,74,1947,1914,4,3,0,43,12,18,0,4, 368,0,0,0,0,0,3,250000,4,2,128,4,5000
"1",4,760,13,1,1,646,75,1947,1914,4,3,0,42,10,19,0,4, 369,0,0,0,0,0,3,250000,4,2,128,4,5000
"1",0,757,7,1,1,648,75,1947,1914,4,3,0,26,13,39,2,0, 367,0,0,0,0,0,3,250000,4,2,128,4,5000
"1",12,760,10,1,1,647,78,1947,1914,4,3,0,39,11,25,0,3, 368,0,0,0,0,0,3,250000,4,2,128,4,5000
"1",6,759,10,1,2,651,76,1947,1914,4,3,0,21,9,45,0,2, 368,0,0,0,0,0,3,250000,4,2,128,4,5000
"1",7,760,7,1,1,653,78,1947,1914,4,3,0,20,10,50,0,2, 365,0,0,0,0,0,3,250000,4,2,128,4,5000
"1",9,767,10,1,1,655,79,1947,1914,4,3,0,21,9,45,0,3, 368,0,0,0,0,0,3,250000,4,2,128,4,5000
"1",14,769,10,1,2,655,80,1947,1914,4,3,0,40,11,24,0,4, 367,0,0,0,0,0,3,250000,4,2,128,4,5000
"1",3,768,10,1,1,656,80,1947,1914,4,3,0,25,9,42,0,2, 367,0,0,0,0,0,3,250000,4,2,128,4,5000
"1",10,772,10,1,2,665,78,1947,1914,5,3,0,23,7,47,0,1, 367,0,0,0,0,0,3,250000,4,2,128,4,5000
"1",8,779,13,1,1,667,80,1947,1914,4,3,0,40,7,25,0,2, 368,0,0,0,0,0,3,250000,4,2,128,4,5000
"1",11,911,10,1,3,784,94,1947,1914,4,3,0,23,7,44,0,3, 369,0,0,0,0,0,3,250000,4,2,128,4,5000
"1",2,910,10,1,2,787,96,1947,1914,4,3,0,24,5,48,0,1, 368,0,0,0,0,0,3,250000,4,2,128,4,5000
"2",19,242,6,0,0,159,49,2329,2361,7,3,1,64,16,19,0,4, 375,0,0,0,0,0,3,250000,4,2,128,4,5000
"2",17,245,6,0,0,162,51,2329,2361,5,3,1,63,15,22,0,4, 374,0,0,0,0,0,3,250000,4,2,128,4,5000
"2",10,245,6,0,0,163,52,2329,2361,4,3,1,63,15,22,0,4, 374,0,0,0,0,0,3,250000,4,2,128,4,5000
"2",14,245,3,0,0,159,54,2329,2361,5,3,1,63,17,23,0,4, 373,1,0,0,0,0,3,250000,4,2,128,4,5000
"2",28,246,6,0,0,162,53,2329,2361,5,3,0,60,14,25,0,4, 375,0,0,0,0,0,3,250000,4,2,128,4,5000
"2",7,247,3,0,0,161,54,2329,2361,5,3,1,64,18,22,0,4, 376,0,0,0,0,0,3,250000,4,2,128,4,5000
"2",21,247,6,0,0,162,54,2329,2361,4,3,1,60,15,25,0,3, 376,0,0,0,0,0,3,250000,4,2,128,4,5000
"2",31,452,9,1,0,322,97,2329,2361,4,3,1,65,10,20,0,4, 375,1,0,0,0,0,3,250000,4,2,128,4,5000
"2",4,451,6,0,0,322,97,2329,2361,5,3,1,68,12,18,0,4, 373,1,0,0,0,0,3,250000,4,2,128,4,5000
"2",27,451,6,0,1,321,102,2329,2361,5,3,1,34,11,55,0,2, 374,0,0,0,0,0,3,250000,4,2,128,4,5000
"2",0,457,6,0,0,327,97,2329,2361,6,3,1,69,13,17,3,0, 376,0,0,0,0,0,3,250000,4,2,128,4,5000
"2",1,457,6,0,1,322,103,2329,2361,4,3,1,63,12,23,0,4, 374,0,0,0,0,0,3,250000,4,2,128,4,5000
"2",6,458,6,0,0,326,101,2329,2361,4,3,1,63,14,24,0,3, 375,0,0,0,0,0,3,250000,4,2,128,4,5000
"2",23,457,6,0,0,328,99,2329,2361,5,3,1,60,13,28,0,3, 376,0,0,0,0,0,3,250000,4,2,128,4,5000
"2",2,458,6,0,0,324,104,2329,2361,6,3,1,62,13,25,0,3, 376,0,0,0,0,0,3,250000,4,2,128,4,5000
"2",5,459,6,0,0,327,101,2329,2361,4,3,1,63,12,24,0,4, 375,0,0,0,0,0,3,250000,4,2,128,4,5000
"2",8,458,6,0,0,328,102,2329,2361,4,3,1,60,11,30,0,2, 373,1,0,0,0,0,3,250000,4,2,128,4,5000
"2",24,461,6,0,0,329,104,2329,2361,6,3,1,58,12,31,0,2, 372,0,0,0,0,0,3,250000,4,2,128,4,5000
"2",29,460,6,0,0,329,103,2329,2361,5,3,1,57,9,33,0,4, 375,1,0,0,0,0,3,250000,4,2,128,4,5000
"2",11,461,6,0,0,329,103,2329,2361,4,3,1,57,10,33,0,4, 374,1,0,0,0,0,3,250000,4,2,128,4,5000
"2",15,461,6,0,0,331,103,2329,2361,5,3,1,57,10,33,0,4, 374,1,0,0,0,0,3,250000,4,2,128,4,5000
"2",12,461,6,0,0,329,104,2329,2361,5,3,1,57,10,33,0,3, 373,0,0,0,0,0,3,250000,4,2,128,4,5000
"2",22,462,6,0,0,332,102,2329,2361,4,3,1,58,11,31,0,2, 374,1,0,0,0,0,3,250000,4,2,128,4,5000
"2",25,463,6,0,0,332,103,2329,2361,4,3,1,56,11,34,0,2, 376,1,0,0,0,0,3,250000,4,2,128,4,5000
"2",3,468,6,0,0,333,106,2329,2361,5,3,1,59,11,30,0,4, 376,0,0,0,0,0,3,250000,4,2,128,4,5000
"2",9,643,6,0,1,467,149,2329,2361,4,3,1,27,6,66,0,3, 376,1,0,0,0,0,3,250000,4,2,128,4,5000
"2",16,644,6,0,1,469,149,2329,2361,5,3,0,17,5,78,0,2, 375,0,0,0,0,0,3,250000,4,2,128,4,5000
"2",13,651,9,1,1,468,151,2329,2361,5,3,1,63,7,24,0,4, 376,1,0,0,0,0,3,250000,4,2,128,4,5000
"2",30,647,6,0,1,467,154,2329,2361,4,3,1,18,7,76,0,1, 372,0,0,0,0,0,3,250000,4,2,128,4,5000
"2",18,648,6,0,1,471,151,2329,2361,6,3,0,16,7,78,0,1, 379,0,0,0,0,0,3,250000,4,2,128,4,5000
"2",20,651,6,0,1,471,156,2329,2361,4,3,0,18,4,79,0,1, 375,1,0,0,0,0,3,250000,4,2,128,4,5000
"2",26,655,6,0,1,473,156,2329,2361,5,3,0,15,7,79,0,1, 373,0,0,0,0,0,3,250000,4,2,128,4,5000
"3",14,21,4,0,0,0,0,3081,3057,8,4,1,114,12,16,2,1, 373,0,0,0,0,0,3,250000,4,2,128,4,5000
"3",7,22,4,0,0,0,0,3081,3057,6,4,1,114,12,16,2,1, 375,0,0,0,0,0,3,250000,4,2,128,4,5000
"3",34,259,0,0,0,83,157,3081,3057,7,4,1,27,8,112,1,1, 377,1,0,0,0,0,3,250000,4,2,128,4,5000
"3",46,328,5,0,0,158,145,3081,3057,6,4,1,111,8,22,1,1, 378,0,0,0,0,0,3,250000,4,2,128,4,5000
"3",37,328,4,0,0,159,146,3081,3057,8,4,1,111,8,22,1,1, 377,0,0,0,0,0,3,250000,4,2,128,4,5000
"3",0,329,4,0,0,158,146,3081,3057,7,4,1,107,9,26,2,0, 375,1,0,0,0,0,3,250000,4,2,128,4,5000
"3",28,327,4,0,0,161,145,3081,3057,7,4,1,32,6,104,1,1, 375,1,0,0,0,0,3,250000,4,2,128,4,5000
"3",19,328,4,0,0,161,146,3081,3057,7,4,1,37,6,99,1,1, 376,1,0,0,0,0,3,250000,4,2,128,4,5000
"3",60,333,4,0,0,160,151,3081,3057,7,4,1,103,8,30,1,1, 376,1,0,0,0,0,3,250000,4,2,128,4,5000
"3",4,333,4,0,0,159,151,3081,3057,7,4,1,104,8,29,1,1, 375,1,0,0,0,0,3,250000,4,2,128,4,5000
"3",42,333,4,0,0,161,151,3081,3057,7,4,1,104,8,30,1,1, 378,0,0,0,0,0,3,250000,4,2,128,4,5000
"3",56,334,4,0,0,160,151,3081,3057,7,4,1,107,8,27,1,1, 378,1,0,0,0,0,3,250000,4,2,128,4,5000
"3",38,334,4,0,0,160,151,3081,3057,7,4,1,107,7,27,1,1, 376,0,0,0,0,0,3,250000,4,2,128,4,5000
"3",1,334,4,0,0,160,151,3081,3057,7,4,1,103,8,30,1,1, 376,0,0,0,0,0,3,250000,4,2,128,4,5000
"3",2,335,4,0,0,159,153,3081,3057,4,4,1,103,8,31,1,1, 376,0,0,0,0,0,3,250000,4,2,128,4,5000
"3",13,335,4,0,0,160,152,3081,3057,6,4,1,103,8,30,1,1, 376,1,0,0,0,0,3,250000,4,2,128,4,5000
"3",39,335,4,0,0,160,152,3081,3057,7,4,1,107,7,27,1,1, 377,0,0,0,0,0,3,250000,4,2,128,4,5000
"3",51,336,4,0,0,159,153,3081,3057,7,4,1,103,8,30,1,1, 378,0,0,0,0,0,3,250000,4,2,128,4,5000
"3",45,335,4,0,0,161,152,3081,3057,7,4,1,108,7,26,1,1, 378,1,0,0,0,0,3,250000,4,2,128,4,5000
"3",33,332,4,0,0,161,151,3081,3057,7,4,1,38,4,99,1,1, 378,1,0,0,0,0,3,250000,4,2,128,4,5000
"3",20,331,5,0,0,161,152,3081,3057,5,4,1,26,3,112,1,1, 374,1,0,0,0,0,3,250000,4,2,128,4,5000
"3",26,332,4,0,0,161,151,3081,3057,7,4,1,26,5,112,1,1, 375,0,0,0,0,0,3,250000,4,2,128,4,5000
"3",62,339,4,0,0,159,157,3081,3057,7,4,1,108,8,26,1,1, 376,1,0,0,0,0,3,250000,4,2,128,4,5000
"3",55,341,4,0,0,158,158,3081,3057,7,4,1,111,9,22,1,1, 377,0,0,0,0,0,3,250000,4,2,128,4,5000
"3",52,338,4,0,0,159,157,3081,3057,8,4,1,100,7,35,1,1, 375,1,0,0,0,0,3,250000,4,2,128,4,5000
"3",11,340,4,0,0,159,158,3081,3057,4,4,1,103,8,31,1,1, 372,1,0,0,0,0,3,250000,4,2,128,4,5000
"3",47,339,4,0,0,158,158,3081,3057,7,4,1,104,7,31,1,1, 378,1,0,0,0,0,3,250000,4,2,128,4,5000
"3",12,339,4,0,0,159,158,3081,3057,7,4,1,100,7,35,1,1, 375,1,0,0,0,0,3,250000,4,2,128,4,5000
"3",58,339,4,0,0,160,159,3081,3057,7,4,1,99,7,36,1,1, 377,1,0,0,0,0,3,250000,4,2,128,4,5000
"3",5,339,4,0,0,159,158,3081,3057,8,4,1,100,7,35,1,1, 374,1,0,0,0,0,3,250000,4,2,128,4,5000
"3",6,340,4,0,0,160,159,3081,3057,4,4,1,100,7,35,1,1, 376,1,0,0,0,0,3,250000,4,2,128,4,5000
"3",35,340,4,0,0,160,158,3081,3057,7,4,1,100,6,35,1,1, 376,1,0,0,0,0,3,250000,4,2,128,4,5000
"3",53,341,5,0,0,160,159,3081,3057,7,4,1,108,7,26,1,1, 376,1,0,0,0,0,3,250000,4,2,128,4,5000
"3",41,340,4,0,0,161,158,3081,3057,7,4,1,100,6,35,1,1, 377,0,0,0,0,0,3,250000,4,2,128,4,5000
"3",49,340,4,0,0,159,159,3081,3057,8,4,1,100,6,35,1,1, 375,1,0,0,0,0,3,250000,4,2,128,4,5000
