
experiment_id,rank,runtime,p2m,m2m,l2l,m2l,p2p,source_tree,target_tree,source_domain,target_domain,layout,ghost_exchange_v,ghost_exchange_v_runtime,ghost_exchange_u,gather_global_fmm,scatter_global_fmm,source_to_target_data,source_data,target_data,global_fmm,ghost_fmm_v,ghost_fmm_u,expansion_order,n_points,local_depth,global_depth,block_size,n_threads,n_samples
"0",1233,1583,37,5,7,396,41, 7341,7240,290,6,6,290,767,31,24,293, 3274,25,19,0,0,0,6,250000,4,4,1e-7,8,5000
"0",2027,1537,43,5,10,417,45, 7342,7239,163,6,8,363,550,35,163,291, 3277,25,19,0,0,0,6,250000,4,4,1e-7,8,5000
"0",498,1716,19,2,7,421,44, 7341,7240,257,6,8,387,820,36,96,294, 3297,25,19,0,0,0,6,250000,4,4,1e-7,8,5000
"0",1821,1753,22,3,11,418,45, 7341,7240,161,6,6,370,871,34,79,292, 3287,26,19,0,0,0,6,250000,4,4,1e-7,8,5000
"0",2025,1537,43,5,12,418,45, 7342,7239,289,6,8,363,546,36,163,291, 3284,25,19,0,0,0,6,250000,4,4,1e-7,8,5000
"0",760,1511,51,5,12,422,44, 7342,7239,289,6,7,363,527,36,144,293, 3302,25,19,0,0,0,6,250000,4,4,1e-7,8,5000
"0",1749,1541,44,5,11,422,44, 7341,7240,289,6,7,364,688,34,20,293, 3296,25,20,0,0,0,6,250000,4,4,1e-7,8,5000
"0",1231,1534,44,5,11,429,44, 7342,7239,257,6,6,363,676,35,19,293, 3275,25,19,0,0,0,6,250000,4,4,1e-7,8,5000
"0",1259,1534,41,5,7,431,44, 7341,7240,163,6,6,364,683,35,16,293, 3269,25,19,0,0,0,6,250000,4,4,1e-7,8,5000
"0",1434,1520,43,5,12,429,44, 7341,7239,273,6,6,358,567,37,114,292, 3299,25,20,0,0,0,6,250000,4,4,1e-7,8,5000
"0",1281,1544,43,5,13,428,44, 7341,7240,246,6,5,367,610,35,96,292, 3291,25,20,0,0,0,6,250000,4,4,1e-7,8,5000
"0",1557,1520,44,5,11,431,44, 7342,7239,166,6,6,362,650,36,30,292, 3291,25,20,0,0,0,6,250000,4,4,1e-7,8,5000
"0",230,1539,44,5,11,430,44, 7342,7240,164,6,7,361,538,36,158,294, 3283,25,19,0,0,0,6,250000,4,4,1e-7,8,5000
"0",1552,1596,51,5,13,432,41, 7342,7239,162,6,6,302,718,32,33,289, 3294,25,20,0,0,0,6,250000,4,4,1e-7,8,5000
"0",997,1654,42,5,12,435,40, 7342,7239,204,6,7,263,778,28,36,294, 3308,25,19,0,0,0,6,250000,4,4,1e-7,8,5000
"0",1213,1541,39,5,8,434,45, 7341,7240,177,6,6,361,592,36,112,292, 3258,25,19,0,0,0,6,250000,4,4,1e-7,8,5000
"0",94,1549,43,5,11,430,47, 7341,7240,83,6,5,365,649,35,57,293, 3310,25,19,0,0,0,6,250000,4,4,1e-7,8,5000
"0",953,1540,43,5,11,434,44, 7342,7239,289,6,6,362,660,35,36,293, 3264,25,19,0,0,0,6,250000,4,4,1e-7,8,5000
"0",1402,1544,42,5,7,437,45, 7342,7240,288,6,6,360,553,36,149,292, 3289,25,19,0,0,0,6,250000,4,4,1e-7,8,5000
"0",905,1541,44,5,11,437,44, 7341,7239,36,6,6,367,579,35,114,293, 3273,25,19,0,0,0,6,250000,4,4,1e-7,8,5000
"0",1591,1540,47,5,11,437,43, 7342,7239,32,6,6,367,580,35,111,292, 3305,25,20,0,0,0,6,250000,4,4,1e-7,8,5000
