depth,surface_diff,svd_threshold,expansion_order,runtime,min_rel_err,mean_rel_err,max_rel_err,n_iter,n_oversamples,setup_time,cutoff_rank,rsvd
5,0,0,2,320,0.045263924,0.045530926,0.04568244,0,10,605,4,1
5,0,0,3,323,0.0020453646,0.0020618686,0.0020933603,0,10,652,13,1
5,0,0,4,387,0.00022857399,0.00023579609,0.00024318507,0,10,656,28,1
5,0,0,5,386,0.00007730808,0.00007918069,0.00008245388,0,10,734,49,1
5,0,0.0000001,2,341,0.045263924,0.045530964,0.045682546,0,10,622,4,1
5,0,0.0000001,3,323,0.0020453646,0.0020618686,0.0020933603,0,10,637,13,1
5,0,0.0000001,4,384,0.00022857399,0.00023569765,0.00024308662,0,10,656,28,1
5,0,0.0000001,5,417,0.00007730808,0.000079115,0.00008235538,0,10,719,49,1
5,0,0.00001,2,318,0.045263924,0.045530964,0.045682546,0,10,620,4,1
5,0,0.00001,3,318,0.0020454635,0.0020620006,0.0020935584,0,10,621,13,1
5,0,0.00001,4,355,0.00022867254,0.00023582893,0.00024318507,0,10,652,28,1
5,0,0.00001,5,354,0.00007730808,0.00007924638,0.00008255239,0,10,752,49,1
5,0,0.001,2,340,0.045263924,0.045530897,0.04568244,0,10,611,4,1
5,0,0.001,3,352,0.0020503092,0.0020667827,0.0020983105,0,10,618,13,1
5,0,0.001,4,421,0.00022975651,0.00023668258,0.00024397286,0,10,661,28,1
5,0,0.001,5,383,0.00007553554,0.00007740736,0.000080779326,0,10,724,49,1
5,0,0.1,2,337,0.041530646,0.041821063,0.0419829,0,10,615,4,1
5,0,0.1,3,320,0.00069129514,0.0007076102,0.0007391695,0,10,619,13,1
5,0,0.1,4,361,0.0011969064,0.0012160117,0.0012277166,0,10,648,21,1
5,0,0.1,5,366,0.00013727516,0.00013979785,0.00014293112,0,10,741,25,1
5,1,0,2,340,0.038544692,0.038724437,0.039083812,0,10,622,7,1
5,1,0,3,333,0.000007980002,0.0000287179,0.00006704454,0,10,642,25,1
5,1,0,4,390,0.00011444791,0.00012784213,0.00013780955,0,10,707,49,1
5,1,0,5,406,0.00005337832,0.000054879434,0.00005713795,0,10,904,76,1
5,1,0.0000001,2,339,0.038544603,0.03872432,0.03908363,0,10,621,7,1
5,1,0.0000001,3,384,0.000007980002,0.0000287179,0.00006704454,0,10,653,25,1
5,1,0.0000001,4,389,0.00011434934,0.00012774364,0.00013780955,0,10,750,49,1
5,1,0.0000001,5,426,0.00005327984,0.000054846634,0.00005703944,0,10,903,76,1
5,1,0.00001,2,317,0.038544692,0.038724408,0.039083723,0,10,657,7,1
5,1,0.00001,3,329,0.00000807852,0.000028783566,0.00006704454,0,10,664,25,1
5,1,0.00001,4,411,0.00011454648,0.000127875,0.00013790805,0,10,741,49,1
5,1,0.00001,5,374,0.00005327984,0.000054780936,0.00005694093,0,10,902,76,1
5,1,0.001,2,333,0.03854515,0.038724925,0.039084267,0,10,652,7,1
5,1,0.001,3,369,0.0000092607315,0.000029078656,0.00006576272,0,10,704,25,1
5,1,0.001,4,335,0.000114152215,0.00012751379,0.00013751407,0,10,812,49,1
5,1,0.001,5,359,0.000052098094,0.00005363149,0.00005595585,0,10,941,76,1
5,1,0.1,2,314,0.042228784,0.042416316,0.04278978,0,10,698,7,1
5,1,0.1,3,324,0.0004371465,0.00048548044,0.00051079964,0,10,698,20,1
5,1,0.1,4,331,0.0006278102,0.00064286677,0.0006535439,0,10,758,25,1
5,1,0.1,5,366,0.0004585221,0.00046094888,0.00046390246,0,10,892,25,1
5,2,0,2,308,0.005068808,0.0052457894,0.0055876425,0,10,718,7,1
5,2,0,3,333,0.00013484995,0.0001593671,0.00020806458,0,10,696,25,1
5,2,0,4,366,0.00004554572,0.00006265786,0.00007388404,0,10,849,55,1
5,2,0,5,407,0.000050916347,0.0000523507,0.000054576733,0,10,1157,97,1
5,2,0.0000001,2,318,0.005068808,0.0052458216,0.0055877403,0,10,692,7,1
5,2,0.0000001,3,352,0.00013484995,0.00015933426,0.00020806458,0,10,726,25,1
5,2,0.0000001,4,351,0.000045447137,0.000062559346,0.00007378554,0,10,880,55,1
5,2,0.0000001,5,443,0.000050817867,0.000052219315,0.000054478223,0,10,1142,97,1
5,2,0.00001,2,359,0.0050687105,0.0052456595,0.005587545,0,10,638,7,1
5,2,0.00001,3,334,0.00013484995,0.00015933423,0.00020796596,0,10,724,25,1
5,2,0.00001,4,383,0.000045447137,0.000062559346,0.00007388404,0,10,854,55,1
5,2,0.00001,5,396,0.000050817867,0.000052252155,0.000054576733,0,10,1127,97,1
5,2,0.001,2,372,0.005068125,0.005245009,0.0055868626,0,10,674,7,1
5,2,0.001,3,331,0.0001332737,0.00015772434,0.00020628926,0,10,737,25,1
5,2,0.001,4,350,0.000043672706,0.00006085164,0.00007211095,0,10,913,55,1
5,2,0.001,5,374,0.000049833074,0.000051234096,0.000053493135,0,10,1141,94,1
5,2,0.1,2,346,0.007169109,0.007347657,0.007693434,0,10,648,7,1
5,2,0.1,3,321,0.00082135404,0.0008760207,0.0009035112,0,10,725,20,1
5,2,0.1,4,338,0.00019092906,0.0002085773,0.00022053614,0,10,860,25,1
5,2,0.1,5,359,0.00035198548,0.00035612247,0.00036050205,0,10,1166,30,1
