depth,surface_diff,svd_threshold,expansion_order,runtime,min_rel_err,mean_rel_err,max_rel_err,n_iter,n_oversamples,setup_time,cutoff_rank,rsvd
5,0,0,2,460,0.035973467,0.0362308,0.036809117,0,5,528,4,1
5,0,0,3,451,0.00037119538,0.00046414422,0.0005985669,0,5,543,13,1
5,0,0,4,449,0.00029182903,0.00032130943,0.0003406561,0,5,587,28,1
5,0,0,5,469,0.00008950427,0.00009670474,0.00010478199,0,5,642,49,1
5,0,0.0000001,2,430,0.035973642,0.036230866,0.036809202,0,5,536,4,1
5,0,0.0000001,3,445,0.00037119538,0.00046404512,0.0005984855,0,5,548,13,1
5,0,0.0000001,4,445,0.00029182903,0.00032134994,0.00034081837,0,5,569,28,1
5,0,0.0000001,5,517,0.000089584755,0.0000967723,0.000104944294,0,5,643,49,1
5,0,0.00001,2,438,0.035973642,0.036230892,0.036809202,0,5,535,4,1
5,0,0.00001,3,436,0.00037119538,0.00046413078,0.0005985669,0,5,557,13,1
5,0,0.00001,4,475,0.00029166663,0.00032110236,0.00034049383,0,5,578,28,1
5,0,0.00001,5,501,0.00008974572,0.000096785756,0.000104944294,0,5,643,49,1
5,0,0.001,2,447,0.035973642,0.03623086,0.036809117,0,5,541,4,1
5,0,0.001,3,445,0.00036957028,0.00046258466,0.00059710274,0,5,567,13,1
5,0,0.001,4,474,0.00028996146,0.0003197973,0.00033952016,0,5,580,28,1
5,0,0.001,5,456,0.00008877993,0.00009591682,0.00010397044,0,5,643,49,1
5,0,0.1,2,433,0.034725457,0.03499567,0.03559377,0,5,545,4,1
5,0,0.1,3,445,0.0000118422095,0.000051052568,0.00013935503,0,5,555,13,1
5,0,0.1,4,458,0.0009780558,0.0009932743,0.0010139117,0,5,574,20,1
5,0,0.1,5,509,0.00028638873,0.00030192535,0.00031699552,0,5,636,25,1
5,1,0,2,443,0.03318178,0.033771735,0.034218736,0,5,545,7,1
5,1,0,3,456,0.00044754223,0.00048307082,0.0005047157,0,5,569,25,1
5,1,0,4,469,0.0000977134,0.00010439198,0.0001194653,0,5,632,49,1
5,1,0,5,505,0.00008651871,0.000090921014,0.00009715337,0,5,827,76,1
5,1,0.0000001,2,465,0.03318178,0.033771742,0.034218736,0,5,552,7,1
5,1,0.0000001,3,462,0.00044737986,0.00048299428,0.0005047157,0,5,570,25,1
5,1,0.0000001,4,491,0.0000977134,0.00010442347,0.0001195465,0,5,641,49,1
5,1,0.0000001,5,590,0.000086356245,0.000090911904,0.000096991054,0,5,800,76,1
5,1,0.00001,2,443,0.03318178,0.033771735,0.034218736,0,5,543,7,1
5,1,0.00001,3,472,0.00044754223,0.0004830618,0.00050487794,0,5,576,25,1
5,1,0.00001,4,468,0.0000977134,0.000104477476,0.0001195465,0,5,678,49,1
5,1,0.00001,5,484,0.00008651871,0.000090948,0.000096991054,0,5,796,76,1
5,1,0.001,2,465,0.03318102,0.033770945,0.034217976,0,5,546,7,1
5,1,0.001,3,456,0.00044875982,0.0004846006,0.0005064997,0,5,593,25,1
5,1,0.001,4,470,0.00009666714,0.000103405924,0.00011832844,0,5,637,49,1
5,1,0.001,5,487,0.00008603132,0.00009059228,0.00009666643,0,5,797,76,1
5,1,0.1,2,458,0.032727197,0.033305652,0.03374364,0,5,552,7,1
5,1,0.1,3,476,0.0008580819,0.0008661386,0.0008757463,0,5,576,20,1
5,1,0.1,4,516,0.00053332775,0.00054357224,0.00056288583,0,5,681,25,1
5,1,0.1,5,472,0.0002381329,0.0002521731,0.0002678841,0,5,817,25,1
5,2,0,2,479,0.0029307576,0.0036295946,0.004061112,0,5,576,7,1
5,2,0,3,460,0.00025179688,0.00028227188,0.0003006516,0,5,627,25,1
5,2,0,4,473,0.00008313287,0.00008914319,0.000102368555,0,5,798,55,1
5,2,0,5,521,0.00008326945,0.000087633794,0.00009342017,0,5,1055,97,1
5,2,0.0000001,2,499,0.0029308384,0.0036296616,0.004061112,0,5,561,7,1
5,2,0.0000001,3,466,0.00025195928,0.00028233483,0.00030081384,0,5,618,25,1
5,2,0.0000001,4,473,0.00008288958,0.00008902608,0.000102368555,0,5,749,55,1
5,2,0.0000001,5,516,0.00008326945,0.00008764282,0.00009342017,0,5,1049,97,1
5,2,0.00001,2,454,0.0029307576,0.0036296302,0.004061112,0,5,553,7,1
5,2,0.00001,3,484,0.00025179688,0.00028228993,0.00030081384,0,5,626,25,1
5,2,0.00001,4,504,0.000083051775,0.00008908909,0.000102368555,0,5,767,55,1
5,2,0.00001,5,500,0.00008326945,0.00008760677,0.000093257855,0,5,1057,97,1
5,2,0.001,2,456,0.00292995,0.0036286782,0.004060146,0,5,562,7,1
5,2,0.001,3,507,0.0002504976,0.00028104775,0.00029967813,0,5,615,25,1
5,2,0.001,4,490,0.00008207859,0.00008804015,0.000101232145,0,5,736,55,1
5,2,0.001,5,506,0.00008310699,0.00008751669,0.000093257855,0,5,1007,94,1
5,2,0.1,2,454,0.0029492534,0.0036633408,0.004105071,0,5,555,7,1
5,2,0.1,3,475,0.0010583757,0.001070401,0.0010788619,0,5,608,20,1
5,2,0.1,4,473,0.00027631997,0.00028945965,0.00030579366,0,5,742,25,1
5,2,0.1,5,500,0.00023756968,0.00024722662,0.0002571677,0,5,1081,30,1
