depth,surface_diff,svd_threshold,expansion_order,runtime,min_rel_err,mean_rel_err,max_rel_err,n_iter,n_oversamples,setup_time,cutoff_rank,rsvd
4,0,0,2,1654,0.021602618,0.025549881,0.03036154,0,5,397,4,1
4,0,0,3,1577,0.0000004052828,0.00029557841,0.0006234574,0,5,400,13,1
4,0,0,4,1644,0.00018829077,0.00030884522,0.00040389723,0,5,441,28,1
4,0,0,5,1638,0.00009352362,0.00010571333,0.00011823197,0,5,512,49,1
4,0,0.0000001,2,1601,0.021602701,0.025549946,0.030361626,0,5,409,4,1
4,0,0.0000001,3,1839,0.0000004863394,0.00029555813,0.00062353874,0,5,417,13,1
4,0,0.0000001,4,1660,0.00018829077,0.00030882744,0.00040389723,0,5,434,28,1
4,0,0.0000001,5,1873,0.00009352362,0.00010571486,0.00011823197,0,5,481,49,1
4,0,0.00001,2,2059,0.021602701,0.025549944,0.030361626,0,5,410,4,1
4,0,0.00001,3,2022,0.0000004052828,0.00029558866,0.0006234574,0,5,411,13,1
4,0,0.00001,4,1976,0.00018820955,0.0003086688,0.00040373535,0,5,432,28,1
4,0,0.00001,5,1994,0.00009352841,0.000105727144,0.00011823197,0,5,501,49,1
4,0,0.001,2,1692,0.021602785,0.025549967,0.030361626,0,5,428,4,1
4,0,0.001,3,1671,0.0000012969028,0.00029627862,0.0006222372,0,5,413,13,1
4,0,0.001,4,1842,0.00018715377,0.00030815505,0.00040308782,0,5,431,28,1
4,0,0.001,5,1693,0.00009240167,0.00010497523,0.00011758375,0,5,504,49,1
4,0,0.1,2,1645,0.019913908,0.024031363,0.029092075,0,5,404,4,1
4,0,0.1,3,1657,0.0000072308694,0.0007670476,0.0012657479,0,5,414,13,1
4,0,0.1,4,1704,0.0006684564,0.00084909453,0.00095696334,0,5,429,20,1
4,0,0.1,5,1676,0.00027355878,0.00031824326,0.0003384951,0,5,492,25,1
4,1,0,2,1676,0.019099088,0.024369193,0.028700076,0,5,410,7,1
4,1,0,3,1783,0.00037174008,0.0004516265,0.0005277213,0,5,471,25,1
4,1,0,4,1795,0.00003268059,0.00013754994,0.00019722678,0,5,503,49,1
4,1,0,5,1706,0.000084731495,0.00009484546,0.00010458783,0,5,655,76,1
4,1,0.0000001,2,1735,0.019099088,0.024369163,0.0287,0,5,410,7,1
4,1,0.0000001,3,1685,0.00037190155,0.0004517677,0.00052788365,0,5,456,25,1
4,1,0.0000001,4,1689,0.00003268059,0.00013754994,0.00019706476,0,5,505,49,1
4,1,0.0000001,5,1698,0.00008456904,0.00009479803,0.00010458783,0,5,674,76,1
4,1,0.00001,2,1697,0.019099088,0.024369182,0.028700076,0,5,411,7,1
4,1,0.00001,3,1693,0.00037165938,0.0004515829,0.0005277213,0,5,437,25,1
4,1,0.00001,4,1672,0.000032759403,0.00013760974,0.00019722678,0,5,499,49,1
4,1,0.00001,5,1951,0.0000844878,0.000094745075,0.00010442594,0,5,655,76,1
4,1,0.001,2,1684,0.019098932,0.024368739,0.028699465,0,5,412,7,1
4,1,0.001,3,1831,0.00037642242,0.00045501857,0.0005303995,0,5,441,25,1
4,1,0.001,4,1708,0.000031392727,0.00013638032,0.00019609259,0,5,529,49,1
4,1,0.001,5,1866,0.0000844878,0.000094937124,0.00010523536,0,5,714,76,1
4,1,0.1,2,1701,0.018958438,0.02410918,0.02840386,0,5,440,7,1
4,1,0.1,3,1685,0.0007160838,0.0008464529,0.00096720626,0,5,477,20,1
4,1,0.1,4,1691,0.00043187503,0.0005171282,0.0005812077,0,5,522,25,1
4,1,0.1,5,1697,0.00020801488,0.0002455662,0.0002663484,0,5,675,25,1
4,2,0,2,1677,0.00009911245,0.0040006815,0.008268223,0,5,451,7,1
4,2,0,3,1691,0.00020627135,0.00030864263,0.00039597962,0,5,488,25,1
4,2,0,4,1922,0.000029653596,0.00013066361,0.00018587537,0,5,618,55,1
4,2,0,5,2053,0.000081482234,0.00009209798,0.000102624705,0,5,885,97,1
4,2,0.0000001,2,1711,0.00009903122,0.0040006274,0.008268223,0,5,419,7,1
4,2,0.0000001,3,1703,0.00020651397,0.00030877042,0.0003961412,0,5,496,25,1
4,2,0.0000001,4,1699,0.000029653596,0.00013068765,0.00018595635,0,5,582,55,1
4,2,0.0000001,5,1730,0.00008156346,0.00009219873,0.00010278668,0,5,937,97,1
4,2,0.00001,2,1696,0.00009903122,0.0040006395,0.008268223,0,5,432,7,1
4,2,0.00001,3,1669,0.00020643309,0.00030870235,0.0003960604,0,5,477,25,1
4,2,0.00001,4,1818,0.000029816076,0.00013077335,0.0001861183,0,5,595,55,1
4,2,0.00001,5,1698,0.00008131977,0.000092044356,0.000102624705,0,5,905,97,1
4,2,0.001,2,1679,0.0000982189,0.0040000663,0.008267507,0,5,441,7,1
4,2,0.001,3,1713,0.00020740357,0.00030867787,0.00039533325,0,5,479,25,1
4,2,0.001,4,1670,0.00002875995,0.00013056962,0.00018587537,0,5,644,55,1
4,2,0.001,5,1704,0.000081482234,0.000092340524,0.00010286768,0,5,914,94,1
4,2,0.1,2,1679,0.000027314882,0.004318996,0.008730563,0,5,445,7,1
4,2,0.1,3,1655,0.0008415374,0.0009840335,0.0010966923,0,5,489,20,1
4,2,0.1,4,1686,0.00020169099,0.00034109395,0.00041247692,0,5,642,25,1
4,2,0.1,5,1718,0.00020534932,0.0002225245,0.00024061241,0,5,854,30,1
