depth,surface_diff,svd_threshold,expansion_order,runtime,min_rel_err,mean_rel_err,max_rel_err,n_iter,n_oversamples,setup_time,cutoff_rank,rsvd
4,0,0,2,538,0.034879345,0.04022969,0.053911656,0,20,464,4,1
4,0,0,3,546,0.0000049771515,0.00043308246,0.0006940614,0,20,483,13,1
4,0,0,4,535,0.000035833415,0.000081484686,0.00013972657,0,20,537,28,1
4,0,0,5,532,0,0.0000030850708,0.000010575866,0,20,595,49,1
4,0,0.0000001,2,493,0.034879263,0.04022955,0.053911563,0,20,486,4,1
4,0,0.0000001,3,511,0.0000051377056,0.00043321043,0.0006942123,0,20,491,13,1
4,0,0.0000001,4,579,0.00003590791,0.00008153651,0.00013965143,0,20,512,28,1
4,0,0.0000001,5,630,0,0.000003079774,0.000010797735,0,20,571,49,1
4,0,0.00001,2,505,0.03487918,0.040229436,0.053911474,0,20,484,4,1
4,0,0.00001,3,516,0.0000050574286,0.00043311034,0.0006940614,0,20,497,13,1
4,0,0.00001,4,551,0.00003577735,0.00008144127,0.00013965143,0,20,527,28,1
4,0,0.00001,5,524,0,0.0000030865297,0.000010575866,0,20,593,49,1
4,0,0.001,2,597,0.03487918,0.040229425,0.053911384,0,20,482,4,1
4,0,0.001,3,507,0.0000046560435,0.0004328084,0.0006938351,0,20,508,13,1
4,0,0.001,4,512,0.000035311947,0.00008087685,0.0001390502,0,20,521,28,1
4,0,0.001,5,523,0.00000015439704,0.0000030850404,0.000010723779,0,20,589,49,1
4,0,0.1,2,519,0.0370826,0.04311066,0.058030326,0,20,480,4,1
4,0,0.1,3,534,0.0009043941,0.0012578623,0.0014413642,0,20,492,13,1
4,0,0.1,4,514,0.000048378413,0.00016563275,0.0002261079,0,20,520,28,1
4,0,0.1,5,545,0.00000007566951,0.000013836185,0.00007608963,0,20,586,33,1
4,1,0,2,535,0.03331201,0.03534527,0.03707,0,20,487,7,1
4,1,0,3,515,0.00000031166226,0.000055878263,0.0001268581,0,20,515,25,1
4,1,0,4,529,0.00000007532162,0.000011736168,0.000061713,0,20,594,49,1
4,1,0,5,566,0.00000007557461,0.0000046758387,0.000014273669,0,20,784,76,1
4,1,0.0000001,2,505,0.03331201,0.035345286,0.037070073,0,20,508,7,1
4,1,0.0000001,3,513,0.00000054540885,0.000055986064,0.00012693259,0,20,513,25,1
4,1,0.0000001,4,549,0.00000007532162,0.000011746532,0.00006163784,0,20,589,49,1
4,1,0.0000001,5,561,0.000000079050295,0.0000048267543,0.0000143476245,0,20,768,76,1
4,1,0.00001,2,511,0.03331201,0.035345167,0.03707,0,20,487,7,1
4,1,0.00001,3,585,0.00000054540885,0.000056082437,0.00012700706,0,20,515,25,1
4,1,0.00001,4,530,0.000000078654665,0.000011794229,0.00006156267,0,20,590,49,1
4,1,0.00001,5,560,0.00000007498192,0.000004639133,0.000014199713,0,20,764,76,1
4,1,0.001,2,538,0.033311453,0.035344455,0.037068814,0,20,488,7,1
4,1,0.001,3,543,0.00000077635326,0.000053565247,0.00012477262,0,20,516,25,1
4,1,0.001,4,542,0.00000007828537,0.000011959134,0.00006133718,0,20,604,49,1
4,1,0.001,5,553,0.00000007498192,0.0000048088687,0.000014199713,0,20,828,76,1
4,1,0.1,2,524,0.032212093,0.03402995,0.03548949,0,20,515,7,1
4,1,0.1,3,522,0.00025024184,0.0004414736,0.0005738029,0,20,536,25,1
4,1,0.1,4,529,0.000011952607,0.00010010579,0.00016186693,0,20,616,30,1
4,1,0.1,5,572,0.00000022349826,0.000019764877,0.00008519515,0,20,842,36,1
4,2,0,2,516,0.0042979275,0.005765937,0.0073459647,0,20,529,7,1
4,2,0,3,528,0.000009754433,0.00008690413,0.00017155996,0,20,594,25,1
4,2,0,4,571,0,0.000012713173,0.000049837032,0,20,737,55,1
4,2,0,5,607,0,0.0000033200308,0.00001040033,0,20,1057,97,1
4,2,0.0000001,2,526,0.0042981487,0.0057660886,0.007346114,0,20,514,7,1
4,2,0.0000001,3,546,0.000009917009,0.00008693483,0.00017148461,0,20,552,25,1
4,2,0.0000001,4,568,0.0000002381008,0.000012559485,0.00005021286,0,20,717,55,1
4,2,0.0000001,5,585,0,0.000003309556,0.00001040033,0,20,1031,97,1
4,2,0.00001,2,522,0.0042981487,0.005766011,0.007346114,0,20,505,7,1
4,2,0.00001,3,539,0.000009835721,0.00008695114,0.00017148461,0,20,560,25,1
4,2,0.00001,4,543,0.00000007936694,0.000012671652,0.000049987364,0,20,698,55,1
4,2,0.00001,5,563,0,0.0000034332186,0.000010703992,0,20,1010,97,1
4,2,0.001,2,522,0.0042979275,0.0057657976,0.0073458897,0,20,514,7,1
4,2,0.001,3,544,0.000012762089,0.000088800174,0.00017306712,0,20,556,25,1
4,2,0.001,4,548,0.0000002381008,0.0000126818395,0.000049837032,0,20,742,55,1
4,2,0.001,5,580,0,0.0000032017524,0.000010096667,0,20,1103,97,1
4,2,0.1,2,546,0.003157014,0.004385848,0.006083785,0,20,532,7,1
4,2,0.1,3,532,0.00029191258,0.00040383628,0.00047262321,0,20,549,25,1
4,2,0.1,4,563,0.0000012956183,0.00003244244,0.000074707554,0,20,698,33,1
4,2,0.1,5,573,0.00000029319597,0.000025039482,0.000087878056,0,20,998,36,1
