depth,surface_diff,svd_threshold,expansion_order,runtime,min_rel_err,mean_rel_err,max_rel_err,n_iter,n_oversamples,setup_time,cutoff_rank,rsvd
5,0,0,9,1323,0.0000000013960811640439464,0.0000000022804193842809202,0.0000000027655261899632805,0,5,3732,193,1
5,0,0.00000000001,9,1192,0.0000000013960824477871268,0.0000000022804207291313214,0.0000000027655271069318368,0,5,3717,193,1
5,0,0.000000001,9,1162,0.0000000013959427031723388,0.0000000022802463869139216,0.0000000027653470143073816,0,5,3753,193,1
5,0,0.0000001,9,1119,0.000000001478308949367504,0.0000000023653298210765075,0.000000002850342113538571,0,5,3725,193,1
5,0,0.00001,9,1130,0.000000007569251474635346,0.000000008054930204501705,0.000000008657246840230581,0,5,3740,193,1
5,1,0,9,1587,0.0000000035724283953815973,0.000000003777349340407857,0.000000003910160798459483,0,5,7751,244,1
5,1,0.00000000001,9,1480,0.0000000035724320632192396,0.000000003777352947063783,0.000000003910163732758856,0,5,7745,244,1
5,1,0.000000001,9,1441,0.000000003572214743838921,0.000000003777126705364827,0.0000000039099438436995616,0,5,7773,244,1
5,1,0.0000001,9,1392,0.0000000036456144103842103,0.000000003852514279189575,0.000000003985902217636093,0,5,7765,244,1
5,1,0.00001,9,1233,0.0000000062278930364897346,0.000000006467205470817321,0.0000000067402744755792974,0,5,7731,231,1
5,2,0,9,1911,0.00000000020272872358425977,0.0000000002338729904811552,0.0000000002596124368533671,0,5,12077,301,1
5,2,0.00000000001,9,1437,0.0000000002027285401923764,0.00000000023387402968025194,0.0000000002596142706928431,0,5,12383,301,1
5,2,0.000000001,9,1406,0.00000000020254221403888106,0.00000000023367590768277836,0.0000000002594044794567891,0,5,11819,301,1
5,2,0.0000001,9,1330,0.0000000002427540021263099,0.00000000027395822919556885,0.00000000029925344450071706,0,5,12215,301,1
5,2,0.00001,9,1269,0.000000005229230139703364,0.0000000053545278696180365,0.0000000054978786564775505,0,5,11291,237,1
