depth,surface_diff,svd_threshold,expansion_order,runtime,min_rel_err,mean_rel_err,max_rel_err,n_iter,n_oversamples,setup_time,cutoff_rank,rsvd
5,0,0,5,976,0.000008410024248854792,0.000008463867235825936,0.000008542078962078652,0,0,957,97,0
5,0,0,6,1222,0.0000019397910351121084,0.0000019580617041074444,0.000001994095427460896,0,0,1555,151,0
5,0,0,7,1528,0.00000009753452111330045,0.00000010046291496746897,0.00000010282663913254533,0,0,2692,217,0
5,0,0.00000000001,5,942,0.000008410024253989729,0.000008463867241205271,0.000008542078967030147,0,0,991,97,0
5,0,0.00000000001,6,1122,0.000001939791045015407,0.0000019580617138271474,0.0000019940954369968994,0,0,1488,151,0
5,0,0.00000000001,7,1570,0.0000000975345095601095,0.00000010046290500330838,0.00000010282663069651696,0,0,2732,217,0
5,0,0.000000001,5,1148,0.000008410023330067747,0.000008463866290040386,0.000008542078053387393,0,0,1078,97,0
5,0,0.000000001,6,1367,0.0000019397928985828484,0.0000019580635893618257,0.0000019940973518997183,0,0,1531,151,0
5,0,0.000000001,7,1463,0.00000009753494803121396,0.00000010046330314211953,0.00000010282700243194112,0,0,2704,217,0
5,0,0.0000001,5,1119,0.00000841009077747276,0.000008463934634908979,0.000008542138397088917,0,0,973,97,0
5,0,0.0000001,6,1106,0.0000019397368998291326,0.0000019580062534756038,0.000001994030943539431,0,0,1649,151,0
5,0,0.0000001,7,1292,0.00000009736354158927202,0.00000010029575428325158,0.00000010266442769457011,0,0,2904,217,0
5,0,0.00001,5,936,0.0000084010553377551,0.000008454820192178432,0.000008532693355166803,0,0,979,97,0
5,0,0.00001,6,1026,0.000001943773996140246,0.0000019620544981737677,0.000001997569119869371,0,0,1458,146,0
5,0,0.00001,7,1215,0.00000010166746393741587,0.00000010460159846334528,0.0000001070196450972724,0,0,2841,190,0
5,1,0,5,1016,0.000004127786630798119,0.000004193172290691458,0.0000042748545199515376,0,0,1230,97,0
5,1,0,6,1544,0.0000011461132499179711,0.000001166783516875036,0.000001203986471397051,0,0,2146,151,0
5,1,0,7,1679,0.00000006845441870057553,0.00000006885418858575646,0.00000006946099817026953,0,0,4174,217,0
5,1,0.00000000001,5,1102,0.000004127786630798119,0.000004193172289652269,0.000004274854518117714,0,0,1233,97,0
5,1,0.00000000001,6,1228,0.0000011461132546859647,0.0000011667835223156254,0.000001203986477082213,0,0,2295,151,0
5,1,0.00000000001,7,1415,0.0000000684544141159762,0.00000006885418430666463,0.0000000694609941356073,0,0,4013,217,0
5,1,0.000000001,5,991,0.00000412778633297216,0.000004193171979909672,0.0000042748541916970775,0,0,1227,97,0
5,1,0.000000001,6,1133,0.0000011461148367429078,0.0000011667849663897693,0.0000012039877896210834,0,0,2334,151,0
5,1,0.000000001,7,1350,0.00000006845489751612851,0.00000006885465152265874,0.00000006946144968565187,0,0,3959,217,0
5,1,0.0000001,5,984,0.000004127782892568829,0.000004193177031403408,0.000004274867584662423,0,0,1185,97,0
5,1,0.0000001,6,1167,0.0000011460007436081834,0.0000011666778449923881,0.0000012038871288749413,0,0,2346,151,0
5,1,0.0000001,7,1508,0.00000006841294623174417,0.00000006881844292544216,0.00000006942519677836229,0,0,3984,217,0
5,1,0.00001,5,1011,0.000004120194131536353,0.000004186100116424077,0.000004268216641658854,0,0,1350,97,0
5,1,0.00001,6,1315,0.0000011492802354302,0.0000011705271317550864,0.0000012082867270930222,0,0,2204,151,0
5,1,0.00001,7,1243,0.00000007414226078585621,0.00000007444325417168975,0.00000007502226750043028,0,0,4039,211,0
5,2,0,5,1150,0.0000034892381249565744,0.000003610548283405525,0.0000037320227163777465,0,0,1547,97,0
5,2,0,6,1328,0.0000008558956504332852,0.000000896010776509621,0.0000009534342977938354,0,0,2639,151,0
5,2,0,7,1628,0.0000000015316754371110622,0.000000001878905772230438,0.0000000024773977442696267,0,0,5359,217,0
5,2,0.00000000001,5,1203,0.0000034892381271572617,0.000003610548285789577,0.0000037320227187617203,0,0,1531,97,0
5,2,0.00000000001,6,1640,0.0000008558956526338963,0.0000008960107788325651,0.0000009534343001779344,0,0,2565,151,0
5,2,0.00000000001,7,1949,0.000000001531668468219513,0.00000000187890308244987,0.0000000024773993947251478,0,0,5463,217,0
5,2,0.000000001,5,1185,0.0000034892381121192323,0.0000036105482676341616,0.0000037320226973059585,0,0,1482,97,0
5,2,0.000000001,6,1562,0.0000008558964426532954,0.0000008960115166104637,0.0000009534349930337913,0,0,2528,151,0
5,2,0.000000001,7,1819,0.000000001531503782308692,0.0000000018787276397348717,0.000000002477208492036543,0,0,5632,217,0
5,2,0.0000001,5,1108,0.0000034893355337926427,0.0000036106492205139326,0.0000037321274998996474,0,0,1444,97,0
5,2,0.0000001,6,1430,0.000000855752212582018,0.0000008958734072100023,0.0000009533023551513666,0,0,2621,151,0
5,2,0.0000001,7,1594,0.000000001581555645155848,0.0000000019310549030966182,0.000000002531883865616038,0,0,5410,217,0
5,2,0.00001,5,1365,0.0000034867026016751844,0.000003608348052336891,0.0000037301160631279054,0,0,1437,97,0
5,2,0.00001,6,1227,0.0000008566785651598507,0.0000008968898259665982,0.0000009544037790115956,0,0,2780,151,0
5,2,0.00001,7,1519,0.0000000011150011772841225,0.0000000015523715917703226,0.0000000017720950494983968,0,0,5501,217,0
