depth,expansion_order,block_size,runtime,min_rel_err,mean_rel_err,max_rel_err,setup_time
4,9,16,3325,0.0000000000005103449143832728,0.00000000022747167249885665,0.0000000014465133220098652,2192
4,9,32,3512,0.0000000000005103449143832728,0.00000000022747167249885665,0.0000000014465133220098652,2242
4,9,64,4215,0.0000000000005103449143832728,0.00000000022747167249885665,0.0000000014465133220098652,2138
4,9,128,3372,0.0000000000005103449143832728,0.00000000022747167249885665,0.0000000014465133220098652,2041
4,10,16,3302,0.0000000000023398525136432676,0.00000000009934430008110297,0.0000000004099153876910559,2366
4,10,32,3388,0.0000000000023398525136432676,0.00000000009934430008110297,0.0000000004099153876910559,2397
4,10,64,3216,0.0000000000023398525136432676,0.00000000009934430008110297,0.0000000004099153876910559,2875
4,10,128,3285,0.0000000000023398525136432676,0.00000000009934430008110297,0.0000000004099153876910559,2693
5,9,16,2744,0.0000000021643917371931927,0.0000000022260050805335313,0.0000000022577535679045724,2971
5,9,32,2341,0.0000000021643917371931927,0.0000000022260050805335313,0.0000000022577535679045724,2792
5,9,64,2317,0.0000000021643917371931927,0.0000000022260050805335313,0.0000000022577535679045724,2804
5,9,128,2457,0.0000000021643917371931927,0.0000000022260050805335313,0.0000000022577535679045724,2727
5,10,16,2800,0.0000000004833735064728186,0.0000000005123904135397439,0.0000000005365399864707519,3233
5,10,32,2720,0.0000000004833735064728186,0.0000000005123904135397439,0.0000000005365399864707519,3284
5,10,64,2652,0.0000000004833735064728186,0.0000000005123904135397439,0.0000000005365399864707519,3281
5,10,128,2633,0.0000000004833735064728186,0.0000000005123904135397439,0.0000000005365399864707519,3323
