depth,surface_diff,svd_threshold,expansion_order,runtime,min_rel_err,mean_rel_err,max_rel_err,n_iter,n_oversamples,setup_time,cutoff_rank,rsvd
5,0,0,5,1216,0.0000007607225286464928,0.0000021758767558497086,0.000004113182791147333,0,20,801,49,1
5,0,0,6,1339,0.000000008097765312974014,0.0000004836445911155426,0.0000011223437778410126,0,20,959,76,1
5,0,0,7,1394,0.0000002532160945916584,0.0000003300944414162167,0.00000037985902981947615,0,20,1519,109,1
5,0,0.00000000001,5,1271,0.0000007607225292530522,0.0000021758767559798234,0.000004113182791603473,0,20,749,49,1
5,0,0.00000000001,6,1488,0.00000000809776500969386,0.0000004836445917882902,0.0000011223437790562785,0,20,962,76,1
5,0,0.00000000001,7,1424,0.0000002532160924649468,0.00000033009443991942353,0.0000003798590286060289,0,20,1401,109,1
5,0,0.000000001,5,1229,0.0000007607225468432746,0.0000021758767643067934,0.000004113182788410495,0,20,714,49,1
5,0,0.000000001,6,1481,0.000000008097692980657436,0.0000004836447112107621,0.0000011223439820056778,0,20,939,76,1
5,0,0.000000001,7,1401,0.0000002532162025982243,0.00000033009457237193283,0.00000037985915723143685,0,20,1402,109,1
5,0,0.0000001,5,1223,0.0000007608135603220929,0.000002175963604122266,0.000004113270659314314,0,20,697,49,1
5,0,0.0000001,6,1255,0.000000008103494275071061,0.0000004836470281296188,0.0000011223423845386997,0,20,933,76,1
5,0,0.0000001,7,1395,0.00000025322672951665483,0.0000003301053264973821,0.000000379869855892432,0,20,1407,109,1
5,0,0.00001,5,1289,0.0000007561283693796457,0.000002172722137004616,0.0000041112344565558435,0,20,706,49,1
5,0,0.00001,6,1362,0.0000000056234476550936745,0.0000004848764654706036,0.0000011247004012058966,0,20,995,76,1
5,0,0.00001,7,1546,0.0000002543617345168661,0.00000033158827467284465,0.0000003807874334534977,0,20,1502,109,1
5,1,0,5,1337,0.0000006988371853913039,0.0000016620733982287415,0.0000028467371676581163,0,20,1022,76,1
5,1,0,6,1440,0.0000004973132676145885,0.0000006837784095712566,0.0000008073675707176135,0,20,1743,109,1
5,1,0,7,1631,0.00000003053842179893369,0.000000053702230324479966,0.00000006394108115572093,0,20,2687,148,1
5,1,0.00000000001,5,1350,0.0000006988371873626221,0.0000016620733998555839,0.0000028467371693306328,0,20,1040,76,1
5,1,0.00000000001,6,1620,0.000000497313267917869,0.000000683778410026602,0.0000008073675707176135,0,20,1714,109,1
5,1,0.00000000001,7,1579,0.00000003053842225465739,0.00000005370223028124518,0.0000000639410808523593,0,20,2833,148,1
5,1,0.000000001,5,1253,0.0000006988369958414699,0.0000016620731218233382,0.0000028467368590028043,0,20,1053,76,1
5,1,0.000000001,6,1377,0.0000004973134168285748,0.0000006837786205845967,0.0000008073678260063112,0,20,1632,109,1
5,1,0.000000001,7,1479,0.00000003053870814532758,0.00000005370250014222735,0.00000006394136115849574,0,20,2770,148,1
5,1,0.0000001,5,1294,0.0000006988743248759362,0.0000016621098574862981,0.0000028467701367588954,0,20,1018,76,1
5,1,0.0000001,6,1529,0.0000004973553453521617,0.0000006838234109855329,0.0000008074126102427701,0,20,1697,109,1
5,1,0.0000001,7,1642,0.00000003055763480647088,0.00000005371916641001284,0.00000006395691056502718,0,20,2979,148,1
5,1,0.00001,5,1298,0.0000006909854869701291,0.00000165453942664781,0.000002838810157041169,0,20,1060,76,1
5,1,0.00001,6,1380,0.0000004948161075681737,0.0000006816584952752633,0.0000008059937021307379,0,20,1610,109,1
5,1,0.00001,7,1457,0.00000003232736884722946,0.00000005556381144753337,0.00000006555145690033714,0,20,2698,148,1
5,2,0,5,1489,0.0000007057526092734256,0.0000014173138225550166,0.0000022050025620087226,0,20,1352,97,1
5,2,0,6,1582,0.0000002660704674012455,0.0000004384154136536563,0.0000005716860613677316,0,20,2263,148,1
5,2,0,7,1845,0.0000000012262785929134829,0.000000008570763349346748,0.000000021602548786465644,0,20,4669,193,1
5,2,0.00000000001,5,1378,0.0000007057526079086668,0.0000014173138209930806,0.000002205002560640298,0,20,1380,97,1
5,2,0.00000000001,6,1474,0.0000002660704658848439,0.0000004384154121135812,0.0000005716860596952037,0,20,2220,148,1
5,2,0.00000000001,7,1741,0.0000000012262808675146645,0.000000008570764347111209,0.00000002160254559640005,0,20,4474,193,1
5,2,0.000000001,5,1358,0.0000007057522899198698,0.0000014173134202299702,0.0000022050021330837212,0,20,1324,97,1
5,2,0.000000001,6,1382,0.0000002660707467224199,0.0000004384156921633462,0.000000571686350106867,0,20,2296,148,1
5,2,0.000000001,7,1539,0.0000000012260374851882435,0.000000008570503251866564,0.000000021602302088059707,0,20,4883,193,1
5,2,0.0000001,5,1347,0.0000007057643684900442,0.000001417324569934358,0.0000022050127116119187,0,20,1386,97,1
5,2,0.0000001,6,1351,0.0000002660871030849802,0.00000043843547135628364,0.0000005717043615598646,0,20,2239,148,1
5,2,0.0000001,7,1403,0.000000001232025448618557,0.000000008571228158961359,0.0000000216063407111017,0,20,4446,193,1
5,2,0.00001,5,1363,0.0000007045071754409177,0.0000014163617773502098,0.000002204564984308127,0,20,1379,97,1
5,2,0.00001,6,1355,0.00000026537586145279515,0.00000043924412810286167,0.0000005739148711451752,0,20,2538,148,1
5,2,0.00001,7,1373,0.0000000010879382057432115,0.0000000058724059027231794,0.000000018405334549059944,0,20,4804,193,1
