depth,expansion_order,block_size,runtime,min_rel_err,mean_rel_err,max_rel_err,setup_time
4,6,16,3908,0.00000037560804230294346,0.0000007475333502813584,0.0000011253939164124917,1189
4,6,32,3807,0.00000037560804230294346,0.0000007475333502813584,0.0000011253939164124917,1120
4,6,64,3807,0.00000037560804230294346,0.0000007475333502813584,0.0000011253939164124917,1106
4,6,128,3926,0.00000037560804230294346,0.0000007475333502813584,0.0000011253939164124917,1116
4,7,16,4147,0.0000000005889426506218525,0.000000025383661277167844,0.00000004945221017016544,1292
4,7,32,3945,0.0000000005889426506218525,0.000000025383661277167844,0.00000004945221017016544,1274
4,7,64,3999,0.0000000005889426506218525,0.000000025383661277167844,0.00000004945221017016544,1275
4,7,128,3868,0.0000000005889426506218525,0.000000025383661277167844,0.00000004945221017016544,1289
4,8,16,4340,0.00000000006470600320980875,0.000000003301950390167224,0.000000009053937428063657,1539
4,8,32,4378,0.00000000006470600320980875,0.000000003301950390167224,0.000000009053937428063657,1518
4,8,64,4236,0.00000000006470600320980875,0.000000003301950390167224,0.000000009053937428063657,1544
4,8,128,4132,0.00000000006470600320980875,0.000000003301950390167224,0.000000009053937428063657,1502
5,6,16,1344,0.0000007512576018138126,0.0000012157478625648717,0.0000015082685753323195,1372
5,6,32,1316,0.0000007512576018138126,0.0000012157478625648717,0.0000015082685753323195,1367
5,6,64,1341,0.0000007512576018138126,0.0000012157478625648717,0.0000015082685753323195,1376
5,6,128,1346,0.0000007512576018138126,0.0000012157478625648717,0.0000015082685753323195,1390
5,7,16,1641,0.000000034474730293125574,0.00000004788905949357617,0.00000006595640103009428,1633
5,7,32,1535,0.000000034474730293125574,0.00000004788905949357617,0.00000006595640103009428,1743
5,7,64,1441,0.000000034474730293125574,0.00000004788905949357617,0.00000006595640103009428,1783
5,7,128,1546,0.000000034474730293125574,0.00000004788905949357617,0.00000006595640103009428,1763
5,8,16,1763,0.00000000767545012547503,0.000000009393569489343976,0.000000011201262840360777,2051
5,8,32,1709,0.00000000767545012547503,0.000000009393569489343976,0.000000011201262840360777,2090
5,8,64,1573,0.00000000767545012547503,0.000000009393569489343976,0.000000011201262840360777,2063
5,8,128,1712,0.00000000767545012547503,0.000000009393569489343976,0.000000011201262840360777,2046
