depth,expansion_order,block_size,runtime,min_rel_err,mean_rel_err,max_rel_err,setup_time
4,9,16,2244,0.00000000006671614691618004,0.000000000165335668400375,0.0000000005717558733701871,2319
4,9,32,2051,0.00000000006671614691618004,0.000000000165335668400375,0.0000000005717558733701871,2330
4,9,64,1997,0.00000000006671614691618004,0.000000000165335668400375,0.0000000005717558733701871,2190
4,9,128,2003,0.00000000006671614691618004,0.000000000165335668400375,0.0000000005717558733701871,2128
4,10,16,2434,0.0000000000005858423417081946,0.000000000014318952674526936,0.00000000009358838086157819,2526
4,10,32,2260,0.0000000000005858423417081946,0.000000000014318952674526936,0.00000000009358838086157819,2443
4,10,64,2309,0.0000000000005858423417081946,0.000000000014318952674526936,0.00000000009358838086157819,2402
4,10,128,2402,0.0000000000005858423417081946,0.000000000014318952674526936,0.00000000009358838086157819,2431
5,9,16,7797,0.00000000021553372389520778,0.00000000037141593359165344,0.0000000006141323217507616,3568
5,9,32,5694,0.00000000021553372389520778,0.00000000037141593359165344,0.0000000006141323217507616,3164
5,9,64,5750,0.00000000021553372389520778,0.00000000037141593359165344,0.0000000006141323217507616,3161
5,9,128,5620,0.00000000021553372389520778,0.00000000037141593359165344,0.0000000006141323217507616,3029
5,10,16,9947,0.000000000014970181371864145,0.000000000021195864797384797,0.00000000003488288867966985,3714
5,10,32,8079,0.000000000014970181371864145,0.000000000021195864797384797,0.00000000003488288867966985,3734
5,10,64,7248,0.000000000014970181371864145,0.000000000021195864797384797,0.00000000003488288867966985,3686
5,10,128,7324,0.000000000014970181371864145,0.000000000021195864797384797,0.00000000003488288867966985,3692
